Fecha,AOD_media,AOD_mediana,AOD_moda,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-01-01,0,0,0,1012.42,24.66,20.92,26.07,107.90875,,Precaucion,Emergencia,Deseable,Deseable,Aceptable
2018-01-02,0,0,0,21.57,73.18,19.13,18.82,27.32833333,,Aceptable,Deseable,Precaucion,Deseable,Deseable
2018-01-03,0,0,0,25.99,74.71,27.42,30.23,36.47708333,,Aceptable,Aceptable,Precaucion,Aceptable,Aceptable
2018-01-04,0.245,0.241,0.169,19.31,3.94,7.13,21.31,19.57291667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-05,0.426,0.416,0.416,20.42,47.43,63.62,40.92,31.29958333,,Aceptable,Deseable,Aceptable,Precaucion,Aceptable
2018-01-06,0,0,0,9.33,30.65,25.44,23.75,22.52041667,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-01-07,0.207,0.202,0.171,17.16,16.01,19.91,19.39,27.33375,,Aceptable,Deseable,Deseable,Deseable,Deseable
2018-01-08,0.314,0.32,0.352,13.43,25,26.54,30.46,17.59791667,,Deseable,Deseable,Deseable,Aceptable,Aceptable
2018-01-09,0,0,0,19.31,50.42,16.43,30.44,27.35583333,,Aceptable,Deseable,Precaucion,Deseable,Aceptable
2018-01-10,0,0,0,15.87,41.7,13.35,33.11,22.73583333,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-01-11,0.215,0.197,0.225,30.9,38.36,19.48,28.36,29.69454545,,Aceptable,Aceptable,Aceptable,Deseable,Aceptable
2018-01-12,0.528,0.528,0.528,24.97,32.37,18.13,27.89,23.84583333,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-01-13,0,0,0,21.11,29.56,29.73,19.34,24.455,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-01-14,0,0,0,10.21,4.71,7.35,11.34,13.61541667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-15,0,0,0,10.26,17.03,25.5,21.8,14.02458333,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-01-16,0,0,0,21.2,42.12,29.92,36.45,28.06083333,,Aceptable,Deseable,Aceptable,Aceptable,Aceptable
2018-01-17,0,0,0,15.19,25.03,22.45,28.89,20.94416667,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-01-18,0,0,0,14.88,17.65,5.85,48.45,21.81875,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-01-19,0,0,0,18.87,25.18,4.83,16.29,17.57541667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-20,0,0,0,9.2,13.57,8.3,15.91,12.75041667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-21,0,0,0,17.17,16.59,1.79,14.96,16.6775,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-22,0,0,0,16.44,2.51,12.79,19.02,12.95583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-23,0,0,0,14.16,3.25,4.5,19.58,13.54666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-24,0.256,0.252,0.283,4.11,4.03,5.94,9.92,12.01958333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-25,0.268,0.264,0.264,9.97,4.37,3.9,5.62,9.60625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-26,0,0,0,6.74,5.26,6.43,52.54,14.41666667,,Deseable,Deseable,Deseable,Deseable,Precaucion
2018-01-27,0,0,0,23.3,29.75,33.52,29.97,26.78583333,,Aceptable,Deseable,Aceptable,Aceptable,Aceptable
2018-01-28,0.377,0.37,0.37,40.26,2.96,7.4,15.77,18.8625,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-01-29,0.205,0.214,0.142,4.65,5.54,14.69,24.84,13.15875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-30,0.2,0.194,0.231,10.24,6.55,15.56,24.91,14.41583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-31,0.21,0.214,0.222,95.08,6.4,27.8,28.24,25.49,,Aceptable,Precaucion,Deseable,Aceptable,Aceptable
2018-02-01,0.255,0.24,0.151,10.98,10.14,21.23,20.73,16.7675,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-02,0,0,0,21.64,15.65,21.35,21.88,19.08291667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-03,0.565,0.586,0.586,30.06,40.53,6.44,19.24,27.00083333,,Aceptable,Aceptable,Aceptable,Deseable,Deseable
2018-02-04,0,0,0,13.31,20.17,22.87,14.34,19.265,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-05,0,0,0,6.31,15.06,10.33,17.87,14.96833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-06,0,0,0,9.23,19.33,22.04,25.41,15.0675,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-02-07,0.48,0.495,0.495,4.35,19.85,24.1,28.63,17.7375,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-02-08,0.458,0.477,0.477,12.05,35.22,22.67,24.4,20.79291667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-09,0.368,0.369,0.369,12.05,37.15,25.25,19.94,18.865,,Deseable,Deseable,Aceptable,Aceptable,Deseable
