Fecha,TMP,PM25,AOD_mean,IQCA
2018-01-01,12.124166666666667,18.252916666666668,,Deseable
2018-01-02,14.378333333333332,18.17875,,Deseable
2018-01-03,14.8975,17.831666666666667,553.201,Deseable
2018-01-04,15.255416666666669,16.02875,133.207,Deseable
2018-01-05,14.703333333333331,16.988333333333333,337.274,Deseable
2018-01-06,14.6675,14.036666666666669,,Deseable
2018-01-07,14.392083333333334,14.914166666666668,93.031,Deseable
2018-01-08,14.2475,15.989583333333334,,Deseable
2018-01-09,14.53,23.005,,Deseable
2018-01-10,14.858333333333334,17.104285714285716,,Deseable
2018-01-11,15.066250000000002,16.492916666666666,233.934,Deseable
2018-01-12,14.928333333333336,20.221666666666668,381.695,Deseable
2018-01-13,14.357916666666666,15.465833333333334,,Deseable
2018-01-14,14.152500000000002,11.455,463.267,Deseable
2018-01-15,13.122083333333334,8.024583333333334,,Deseable
2018-01-16,13.927916666666668,15.645833333333334,,Deseable
2018-01-17,14.227916666666664,8.9575,,Deseable
2018-01-18,14.8025,7.960416666666667,,Deseable
2018-01-19,15.790416666666667,7.265416666666667,,Deseable
2018-01-20,15.730416666666668,8.29125,,Deseable
2018-01-21,16.047083333333333,7.544166666666666,370.492,Deseable
2018-01-22,15.796666666666669,9.64875,337.336,Deseable
2018-01-23,15.935416666666669,14.360416666666666,424.0,Deseable
2018-01-24,16.320833333333333,15.542916666666663,200.224,Deseable
2018-01-25,15.75125,10.715833333333334,243.319,Deseable
2018-01-26,15.72125,16.6725,,Deseable
2018-01-27,17.055416666666666,12.951666666666666,395.846,Deseable
2018-01-28,17.0575,13.332083333333337,287.905,Deseable
2018-01-29,16.507083333333334,13.212916666666668,95.581,Deseable
2018-01-30,16.559583333333332,15.32125,116.7,Deseable
2018-01-31,17.170833333333334,17.2495,190.477,Deseable
2018-02-01,16.64125,17.802083333333332,258.415,Deseable
2018-02-02,16.440833333333334,15.10625,,Deseable
2018-02-03,16.010416666666668,18.31833333333333,471.856,Deseable
2018-02-04,16.727083333333333,8.694166666666666,,Deseable
2018-02-05,17.106666666666666,7.707083333333333,486.528,Deseable
2018-02-06,15.642916666666666,7.620833333333334,,Deseable
2018-02-07,16.905833333333334,7.661666666666666,402.793,Deseable
2018-02-08,17.393333333333334,7.177499999999999,251.709,Deseable
2018-02-09,17.397916666666667,10.550416666666669,272.452,Deseable
2018-02-10,16.91125,13.625,444.752,Deseable
2018-02-11,16.78625,12.75875,,Deseable
2018-02-12,16.472083333333334,19.767916666666668,422.997,Deseable
2018-02-13,15.642083333333332,17.91208333333333,425.227,Deseable
2018-02-14,16.152916666666666,16.95625,429.893,Deseable
2018-02-15,15.50125,10.856666666666667,,Deseable
2018-02-16,16.21875,11.5925,,Deseable
2018-02-17,15.844583333333333,14.179166666666667,,Deseable
2018-02-18,15.848333333333334,11.99125,,Deseable
2018-02-19,14.815,9.599166666666669,530.0,Deseable
2018-02-20,15.78125,11.015833333333331,,Deseable
2018-02-21,16.38,7.23375,293.718,Deseable
2018-02-22,15.052083333333334,7.204999999999999,,Deseable
2018-02-23,14.950833333333334,5.692083333333334,,Deseable
2018-02-24,14.40625,5.201666666666667,,Deseable
2018-02-25,15.442916666666669,8.453333333333333,291.063,Deseable
2018-02-26,14.443333333333332,11.04,480.113,Deseable
2018-02-27,15.135,11.91875,,Deseable
2018-02-28,15.019166666666663,9.775833333333331,,Deseable
2018-03-01,16.316666666666666,14.390416666666669,279.279,Deseable
2018-03-02,15.162916666666668,13.470416666666669,,Deseable
2018-03-03,15.8575,12.991666666666667,,Deseable
2018-03-04,15.8575,14.87375,,Deseable
2018-03-05,16.276666666666667,11.813333333333333,,Deseable
2018-03-06,16.247916666666665,11.359166666666669,,Deseable
2018-03-07,16.576249999999998,16.05666666666667,387.63,Deseable
2018-03-08,17.083333333333332,16.317083333333333,,Deseable
2018-03-09,17.158333333333335,12.8325,297.477,Deseable
2018-03-10,17.24083333333333,14.909583333333332,203.982,Deseable
2018-03-11,17.8525,10.839583333333332,334.295,Deseable
2018-03-12,17.583333333333332,13.2425,215.871,Deseable
2018-03-13,17.295416666666664,18.316666666666663,571.467,Deseable
2018-03-14,17.152916666666666,19.39875,223.744,Deseable
2018-03-15,15.980416666666663,30.62333333333333,,Aceptable
2018-03-16,16.874166666666667,18.96,,Deseable
2018-03-17,15.72875,21.717916666666667,,Deseable
2018-03-18,16.23,16.576249999999998,534.044,Deseable
2018-03-19,15.099583333333332,9.808095238095238,566.899,Deseable
2018-03-20,15.787083333333332,23.297083333333333,568.34,Deseable
2018-03-21,17.395833333333332,14.224166666666669,,Deseable
2018-03-22,16.294166666666666,17.56083333333333,,Deseable
2018-03-23,15.2625,20.2275,,Deseable
2018-03-24,13.542083333333332,15.825416666666667,,Deseable
2018-03-25,16.55,16.380416666666665,230.39,Deseable
2018-03-26,16.580416666666668,17.85875,589.25,Deseable
2018-03-27,16.034347826086954,22.35619047619048,412.661,Deseable
2018-03-28,15.974166666666669,21.305416666666662,350.383,Deseable
2018-03-29,15.080833333333333,22.36208333333333,,Deseable
2018-03-30,15.1675,12.157083333333333,,Deseable
2018-03-31,14.63125,11.32875,,Deseable
2018-04-01,14.365416666666668,6.875,,Deseable
2018-04-02,14.116666666666667,8.4975,,Deseable
2018-04-03,15.487083333333333,11.9675,,Deseable
2018-04-04,14.26375,11.270833333333334,,Deseable
2018-04-05,13.6125,12.3675,,Deseable
2018-04-06,13.957083333333332,9.23375,,Deseable
2018-04-07,14.481666666666667,15.594583333333333,,Deseable
2018-04-08,15.865833333333333,13.765,562.521,Deseable
2018-04-09,16.21,12.03625,,Deseable
2018-04-10,14.842083333333331,9.993333333333334,,Deseable
2018-04-11,13.934166666666668,17.830833333333334,,Deseable
2018-04-12,14.44,18.46125,167.964,Deseable
2018-04-13,15.905,14.434583333333334,,Deseable
2018-04-14,15.481666666666667,14.33625,399.529,Deseable
2018-04-15,16.32125,12.894166666666663,538.31,Deseable
2018-04-16,15.833333333333334,16.61625,,Deseable
2018-04-17,15.975,10.467916666666667,399.038,Deseable
2018-04-18,17.334166666666665,13.04875,366.578,Deseable
2018-04-19,16.952083333333334,12.406666666666666,,Deseable
2018-04-20,17.28708333333333,10.96875,308.769,Deseable
2018-04-21,16.701249999999998,14.76375,247.434,Deseable
