Fecha,AOD_media,AOD_mediana,AOD_moda,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-01-01,0,0,0,56.6,8.34,12.38,8.51,13.23,,Deseable,Precaucion,Deseable,Deseable,Deseable
2018-01-02,0,0,0,20,23.45,24,9.55,19.17875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-03,0.427,0.429,0.471,17.28,23.71,9.37,21.57,16.1375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-04,0.159,0.161,0.058,7.55,20.35,12.99,13.74,15.09458333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-05,0.352,0.354,0.405,17.98,31.22,7.72,3.53,16.30916667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-06,0,0,0,3.36,9.54,19.35,5.65,11.95166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-01-07,0.093,0.099,0.116,30.89,2.05,1.25,17.54,15.91208333,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-01-08,0,0,0,11.12,25.07,10.75,4.28,15.61333333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-09,0.541,0.541,0.541,1.8,36.73,20.23,3.08,19.9325,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-10,0,0,0,0.71,18.02,,20.66,17.81363636,,Deseable,Deseable,Deseable,Incorrecto,Deseable
2018-01-11,0.222,0.213,0.159,4.75,25.61,6.53,62.84,18.16625,,Deseable,Deseable,Aceptable,Deseable,Precaucion
2018-01-12,0.424,0.425,0.421,14.58,29.34,42.09,22.31,21.54125,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-01-13,0.559,0.543,0.543,12.77,27.47,20.33,7.15,14.13625,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-01-14,0.366,0.354,0.346,27.23,20.27,0,19.89,14.05583333,,Deseable,Aceptable,Deseable,Deseable,Deseable
