Fecha,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 2, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 3, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 4, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 5, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 6, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 7, 2021",0.000,0.000,0.000,1.894,0.000,0.000,0.051,2.168,0.000
"Jan 8, 2021",0.000,0.000,0.000,0.000,0.000,0.202,0.000,0.275,0.662
"Jan 9, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 10, 2021",0.000,0.000,0.000,0.000,0.210,0.023,0.503,3.057,0.000
"Jan 11, 2021",0.000,0.000,0.000,0.000,0.000,0.953,0.000,0.191,0.000
"Jan 12, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 13, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.269,0.438
"Jan 14, 2021",1.108,0.000,0.477,0.000,0.000,1.914,0.000,0.068,3.297
"Jan 15, 2021",1.649,0.000,0.410,0.000,0.000,2.495,0.211,0.514,0.661
"Jan 16, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 17, 2021",0.176,1.810,0.548,1.209,0.236,0.204,0.687,1.563,0.552
"Jan 18, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 19, 2021",1.648,3.143,3.617,1.763,2.500,3.290,0.398,3.709,2.176
"Jan 20, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 21, 2021",0.482,2.612,1.704,1.765,1.332,0.962,1.078,3.104,0.479
"Jan 22, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 23, 2021",0.000,1.597,1.627,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 24, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.274,0.772
"Jan 25, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 26, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Jan 27, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.000
"Jan 28, 2021",0.000,2.688,1.264,1.344,1.194,2.352,0.043,1.339,0.211
"Jan 29, 2021",0.000,0.000,0.000,0.139,0.300,2.433,0.000,1.667,4.545
"Jan 30, 2021",1.924,1.069,2.884,0.165,0.828,3.256,0.000,0.797,1.720
"Jan 31, 2021",1.600,2.221,2.818,1.951,2.433,2.357,1.463,1.626,2.688
"Feb 1, 2021",1.456,2.904,3.110,3.298,2.814,2.924,2.737,2.239,0.293
"Feb 2, 2021",0.281,0.490,1.543,0.000,0.000,0.648,0.166,0.531,1.158
"Feb 3, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 4, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 5, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 6, 2021",0.000,0.000,0.000,0.350,0.000,0.000,0.248,0.000,0.198
"Feb 7, 2021",1.787,0.015,0.856,0.000,0.225,3.870,0.003,2.846,2.749
"Feb 8, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 9, 2021",0.383,0.000,0.130,0.000,0.000,2.636,0.000,0.458,1.735
"Feb 10, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 11, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 12, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 13, 2021",0.000,0.461,0.392,0.984,0.067,1.175,2.240,1.614,3.965
"Feb 14, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.347,0.462
"Feb 15, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 16, 2021",0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.403,0.361
"Feb 17, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 18, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 19, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 20, 2021",0.000,0.592,0.572,0.491,0.000,0.142,0.379,1.511,0.750
"Feb 21, 2021",0.000,0.000,0.000,0.442,0.000,0.000,0.000,0.000,1.061
"Feb 22, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 23, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 24, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 25, 2021",0.000,0.000,0.000,0.000,0.137,0.000,0.000,0.000,0.522
"Feb 26, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 27, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Feb 28, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 1, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 2, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 3, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 4, 2021",0.000,0.000,0.000,0.000,0.000,5.410,0.000,1.563,0.319
"Mar 5, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 6, 2021",0.679,4.053,5.411,1.634,1.086,6.611,2.578,4.424,5.421
"Mar 7, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 8, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 9, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 10, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 11, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 12, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 13, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 14, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 15, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 16, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 17, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 18, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 19, 2021",0.000,0.000,0.000,0.000,0.000,0.028,0.000,5.810,7.655
"Mar 20, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 21, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 22, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 23, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 24, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.070,0.000
"Mar 25, 2021",0.000,0.000,0.659,0.000,0.000,0.379,0.000,0.000,0.000
"Mar 26, 2021",2.969,9.039,8.637,1.907,7.436,10.489,8.279,14.510,10.974
"Mar 27, 2021",0.000,0.000,0.000,0.000,0.000,5.894,0.000,0.000,2.938
"Mar 28, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 29, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 30, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Mar 31, 2021",0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 1, 2021",0.000,0.000,0.000,0.000,0.000,0.133,0.000,0.000,0.867
"Apr 2, 2021",3.887,4.939,7.177,0.761,2.777,7.568,0.654,2.928,3.765
"Apr 3, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 4, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 5, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 6, 2021",0.000,1.299,0.082,0.000,3.832,0.484,0.000,3.092,0.000
"Apr 7, 2021",0.293,0.000,0.492,0.000,0.000,0.000,0.000,0.710,0.000
"Apr 8, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 9, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 10, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 11, 2021",0.000,1.289,1.260,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 12, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 13, 2021",0.000,0.000,0.000,0.798,0.000,0.000,0.960,2.277,0.000
"Apr 14, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.053,2.528
"Apr 15, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 16, 2021",0.000,0.183,0.523,0.000,0.226,5.982,0.000,0.329,0.000
"Apr 17, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 18, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 19, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 20, 2021",3.570,6.444,5.659,3.756,3.586,4.382,4.758,3.121,3.856
"Apr 21, 2021",0.141,1.423,2.449,0.000,0.053,1.360,0.079,0.824,2.870
"Apr 22, 2021",4.680,4.334,4.018,4.451,4.085,4.918,4.775,2.773,4.963
"Apr 23, 2021",0.257,0.000,1.000,0.841,0.753,4.251,0.000,0.980,1.204
"Apr 24, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 25, 2021",0.656,7.432,6.376,1.839,3.987,0.611,0.000,5.082,0.071
"Apr 26, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 27, 2021",0.000,0.000,0.467,0.000,0.000,6.469,0.104,0.517,7.075
"Apr 28, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 29, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Apr 30, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"May 1, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"May 2, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"May 3, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"May 4, 2021",1.340,2.809,1.863,3.680,3.685,3.434,4.688,6.495,6.752
"May 5, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"May 6, 2021",4.327,2.895,4.340,3.496,3.393,3.509,4.665,6.886,1.729
"May 7, 2021",0.000,0.559,1.289,0.565,1.753,1.781,3.216,1.810,6.420
"May 8, 2021",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"May 9, 2021",0.392,2.066,3.074,0.555,1.220,4.232,2.758,4.597,5.638
"May 10, 2021",0.000,0.032,2.033,0.000,0.000,0.169,0.000,0.000,0.000
"May 11, 2021",0.000,1.455,0.947,0.051,0.758,0.000,0.000,0.000,0.749
