Fecha,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.099,4.123
2018-01-04,3.689,2.421,2.059,2.977,2.593,2.444,3.391,2.45,3.368
2018-01-05,0.0,0.0,0.006,0.025,0.0,0.689,0.0,1.058,0.377
2018-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-07,2.314,1.652,1.575,2.017,1.655,0.804,1.475,0.838,1.005
2018-01-08,0.068,1.806,0.429,0.0,0.056,0.0,0.342,0.0,0.0
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.002,1.81,0.162
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-11,0.888,2.606,2.832,2.479,2.709,2.54,3.723,2.211,2.694
2018-01-12,0.0,3.151,4.231,0.635,1.527,2.784,2.358,0.342,0.128
2018-01-13,0.0,0.575,0.022,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-14,0.0,0.0,0.0,1.406,0.733,0.758,0.05,0.148,1.778
2018-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0
2018-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.348,0.195,0.03
2018-01-21,0.0,1.239,0.9,0.0,0.504,0.019,0.0,0.033,0.0
2018-01-22,0.0,1.064,1.61,0.494,1.187,1.377,0.23,0.319,0.384
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153
2018-01-24,2.529,1.562,1.47,2.082,2.215,1.965,1.817,0.936,2.144
2018-01-25,0.123,3.03,4.142,0.116,0.79,4.034,1.194,3.017,2.601
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-27,0.0,0.0,0.0,0.0,0.186,0.0,0.0,0.366,0.603
2018-01-28,0.296,0.977,2.069,0.359,1.362,0.385,2.605,0.0,2.676
2018-01-29,4.127,1.797,2.504,2.135,3.711,1.67,2.939,2.47,1.033
2018-01-30,2.225,2.17,1.661,2.869,3.942,1.116,2.885,2.819,2.494
2018-01-31,2.235,1.962,2.0,2.102,2.382,2.401,2.489,2.031,2.819
2018-02-01,3.327,2.828,2.212,3.503,5.776,5.427,2.731,4.624,3.232
2018-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-03,0.201,0.41,0.488,0.403,0.0,3.37,1.081,2.486,4.478
2018-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.014,0.0
2018-02-05,0.0,0.0,0.0,0.539,1.014,0.247,0.969,1.517,1.942
2018-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-07,0.0,0.891,1.637,0.192,0.095,2.137,2.969,3.208,3.958
2018-02-08,1.06,0.939,0.991,0.598,2.573,3.171,1.637,1.533,4.834
2018-02-09,3.801,2.327,2.25,0.981,2.583,2.758,2.704,0.964,2.555
2018-02-10,1.789,0.471,0.0,3.579,5.255,3.058,2.441,2.521,0.923
2018-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-12,0.353,5.119,5.21,0.648,4.674,4.507,0.0,0.023,5.118
2018-02-13,0.424,1.601,3.646,0.004,1.463,4.212,1.798,0.0,2.196
2018-02-14,0.476,3.654,2.686,0.0,3.828,1.154,0.642,1.001,3.445
2018-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-19,0.0,0.0,0.0,0.0,0.0,0.916,0.0,0.766,0.0
2018-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-21,0.0,0.568,0.515,2.934,0.144,2.546,1.268,1.053,6.769
2018-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-23,0.0,0.0,0.0,5.453,0.0,0.0,0.259,0.857,0.0
2018-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.0
