Fecha,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jan 2, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jan 3, 2018",0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.29,12.26
"Jan 4, 2018",7.81,5.72,5.32,6.89,7.33,3.75,7.39,3.99,4.96
"Jan 5, 2018",0.00,0.00,0.02,0.08,0.00,2.03,0.00,3.15,1.11
"Jan 6, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jan 7, 2018",6.81,4.86,4.63,5.94,4.87,2.37,4.34,2.50,2.96
"Jan 8, 2018",0.20,5.32,1.26,0.00,0.17,0.00,1.01,0.00,0.00
"Jan 9, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.01,5.30,0.47
"Jan 10, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jan 11, 2018",2.59,7.59,8.25,7.22,7.89,7.40,10.85,6.52,7.85
"Jan 12, 2018",0.00,9.37,12.58,1.89,4.54,8.27,7.01,1.04,0.38
"Jan 13, 2018",0.00,1.67,0.07,0.00,0.00,0.00,0.00,0.00,0.00
"Jan 14, 2018",0.00,0.00,0.00,4.14,2.16,2.23,0.15,0.45,5.23
"Jan 15, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jan 16, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jan 17, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jan 18, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jan 19, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00
"Jan 20, 2018",0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.57,0.09
"Jan 21, 2018",0.00,3.65,2.65,0.00,1.48,0.06,0.00,0.10,0.00
"Jan 22, 2018",0.00,3.10,4.69,1.44,3.46,4.01,0.67,0.93,1.12
"Jan 23, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45
"Jan 24, 2018",7.44,4.60,4.33,6.13,6.52,5.78,5.35,2.80,6.31
"Jan 25, 2018",0.36,8.15,8.23,0.34,2.30,7.73,3.48,5.87,5.73
"Jan 26, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jan 27, 2018",0.00,0.00,0.00,0.00,0.54,0.00,0.00,1.07,1.60
"Jan 28, 2018",0.88,2.91,6.15,1.07,4.05,1.15,7.74,0.00,6.30
"Jan 29, 2018",6.70,3.88,4.81,6.22,6.16,3.29,6.43,4.58,2.56
"Jan 30, 2018",6.25,5.32,4.56,6.19,7.09,2.76,5.44,5.33,4.42
"Jan 31, 2018",6.58,5.77,5.84,6.18,7.01,5.88,7.32,6.04,7.87
"Feb 1, 2018",9.45,6.22,6.02,8.68,9.80,8.18,6.95,7.90,6.10
"Feb 2, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Feb 3, 2018",0.59,1.19,1.42,1.17,0.00,9.81,3.15,5.92,13.05
"Feb 4, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.04,0.00
"Feb 5, 2018",0.00,0.00,0.00,1.57,2.95,0.72,2.82,4.42,5.66
"Feb 6, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Feb 7, 2018",0.00,2.60,4.77,0.56,0.28,4.95,8.54,6.36,8.63
"Feb 8, 2018",3.12,2.76,2.92,1.76,6.13,6.99,4.82,4.19,7.34
"Feb 9, 2018",11.19,6.85,6.62,2.89,7.60,8.11,7.96,2.89,7.52
"Feb 10, 2018",5.11,1.34,0.00,10.21,14.99,8.32,6.97,7.23,2.63
"Feb 11, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Feb 12, 2018",1.00,14.46,14.71,1.83,13.20,12.72,0.00,0.06,14.45
"Feb 13, 2018",1.24,4.66,10.62,0.01,4.26,12.27,5.24,0.00,6.40
"Feb 14, 2018",1.29,9.88,7.27,0.00,10.35,3.12,1.74,2.71,9.32
"Feb 15, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Feb 16, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Feb 17, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Feb 18, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Feb 19, 2018",0.00,0.00,0.00,0.00,0.00,2.50,0.00,2.10,0.00
"Feb 20, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Feb 21, 2018",0.00,1.49,1.35,6.53,0.38,6.66,3.32,2.38,11.61
"Feb 22, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Feb 23, 2018",0.00,0.00,0.00,14.43,0.00,0.00,0.69,2.27,0.00
"Feb 24, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.00
"Feb 25, 2018",0.60,0.00,0.62,0.00,0.00,7.26,0.00,1.67,7.80
"Feb 26, 2018",0.00,0.27,0.02,0.00,0.00,12.58,0.00,3.64,12.11
"Feb 27, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Feb 28, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 1, 2018",11.10,5.39,8.48,2.63,3.15,7.69,5.59,0.59,7.88
"Mar 2, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 3, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 4, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 5, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 6, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 7, 2018",0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00
"Mar 8, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 9, 2018",0.00,1.80,2.59,0.00,0.68,2.37,0.00,0.00,7.84
"Mar 10, 2018",9.29,6.48,6.05,6.40,6.71,5.93,5.48,5.27,3.54
"Mar 11, 2018",7.21,9.82,9.38,2.04,10.82,10.37,3.81,7.45,6.30
"Mar 12, 2018",8.16,8.53,7.17,9.01,7.30,6.71,7.61,7.85,6.39
"Mar 13, 2018",13.39,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00
"Mar 14, 2018",3.64,5.71,6.14,6.42,7.97,6.61,7.94,6.98,6.07
"Mar 15, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 16, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 17, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 18, 2018",0.00,0.00,0.59,0.96,0.54,11.06,4.34,7.27,2.54
"Mar 19, 2018",0.00,0.00,0.24,0.00,0.00,8.05,0.00,0.00,0.00
"Mar 20, 2018",0.30,0.98,1.82,4.56,1.73,2.31,1.48,6.19,0.00
"Mar 21, 2018",0.00,3.27,1.37,0.00,1.04,0.00,3.36,4.60,3.05
"Mar 22, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 23, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 24, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 25, 2018",0.48,7.69,7.45,0.54,5.38,6.95,7.88,5.19,6.37
"Mar 26, 2018",0.00,2.92,1.46,0.00,0.12,0.23,4.39,0.00,10.02
"Mar 27, 2018",2.79,11.55,11.27,0.00,6.77,9.03,2.11,0.00,9.71
"Mar 28, 2018",0.00,0.95,0.18,0.86,0.78,9.63,6.77,0.98,8.06
"Mar 29, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar 30, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00
"Mar 31, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr 1, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr 2, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr 3, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.92,0.00
"Apr 4, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr 5, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr 6, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr 7, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr 8, 2018",0.00,0.00,0.97,1.17,0.00,0.56,1.38,4.25,0.00
"Apr 9, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr 10, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr 11, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr 12, 2018",6.85,3.17,4.92,3.98,2.22,6.10,3.82,3.12,1.01
"Apr 13, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr 14, 2018",3.86,3.50,8.43,0.76,4.05,8.30,4.13,0.00,0.00
"Apr 15, 2018",0.00,0.00,0.54,0.00,0.00,1.93,1.55,0.47,0.45
"Apr 16, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr 17, 2018",0.78,0.39,4.38,1.03,0.25,9.97,2.04,4.02,9.83
"Apr 18, 2018",0.00,0.00,2.97,0.00,0.00,9.08,0.12,3.25,8.05
"Apr 19, 2018",0.00,1.04,0.00,8.35,8.63,0.00,7.43,3.54,2.02
"Apr 20, 2018",0.03,0.79,0.42,4.80,1.49,1.93,6.15,0.24,5.21
"Apr 21, 2018",6.43,7.05,8.38,8.86,7.33,7.14,8.12,5.50,3.28
"Apr 22, 2018",0.30,5.46,5.63,3.53,5.20,5.67,5.62,3.68,5.86
"Apr 23, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr 24, 2018",0.00,4.83,9.23,0.00,1.04,4.34,0.39,6.89,2.45
