Fecha,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.29,12.26
2018-01-04,7.81,5.72,5.32,6.89,7.33,3.75,7.39,3.99,4.96
2018-01-05,0.0,0.0,0.02,0.08,0.0,2.03,0.0,3.15,1.11
2018-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-07,6.81,4.86,4.63,5.94,4.87,2.37,4.34,2.5,2.96
2018-01-08,0.2,5.32,1.26,0.0,0.17,0.0,1.01,0.0,0.0
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.01,5.3,0.47
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-11,2.59,7.59,8.25,7.22,7.89,7.4,10.85,6.52,7.85
2018-01-12,0.0,9.37,12.58,1.89,4.54,8.27,7.01,1.04,0.38
2018-01-13,0.0,1.67,0.07,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-14,0.0,0.0,0.0,4.14,2.16,2.23,0.15,0.45,5.23
2018-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2018-01-20,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.57,0.09
2018-01-21,0.0,3.65,2.65,0.0,1.48,0.06,0.0,0.1,0.0
2018-01-22,0.0,3.1,4.69,1.44,3.46,4.01,0.67,0.93,1.12
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
2018-01-24,7.44,4.6,4.33,6.13,6.52,5.78,5.35,2.8,6.31
2018-01-25,0.36,8.15,8.23,0.34,2.3,7.73,3.48,5.87,5.73
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-27,0.0,0.0,0.0,0.0,0.54,0.0,0.0,1.07,1.6
2018-01-28,0.88,2.91,6.15,1.07,4.05,1.15,7.74,0.0,6.3
2018-01-29,6.7,3.88,4.81,6.22,6.16,3.29,6.43,4.58,2.56
2018-01-30,6.25,5.32,4.56,6.19,7.09,2.76,5.44,5.33,4.42
2018-01-31,6.58,5.77,5.84,6.18,7.01,5.88,7.32,6.04,7.87
2018-02-01,9.45,6.22,6.02,8.68,9.8,8.18,6.95,7.9,6.1
2018-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-03,0.59,1.19,1.42,1.17,0.0,9.81,3.15,5.92,13.05
2018-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.04,0.0
2018-02-05,0.0,0.0,0.0,1.57,2.95,0.72,2.82,4.42,5.66
2018-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-07,0.0,2.6,4.77,0.56,0.28,4.95,8.54,6.36,8.63
2018-02-08,3.12,2.76,2.92,1.76,6.13,6.99,4.82,4.19,7.34
2018-02-09,11.19,6.85,6.62,2.89,7.6,8.11,7.96,2.89,7.52
2018-02-10,5.11,1.34,0.0,10.21,14.99,8.32,6.97,7.23,2.63
2018-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-12,1.0,14.46,14.71,1.83,13.2,12.72,0.0,0.06,14.45
2018-02-13,1.24,4.66,10.62,0.01,4.26,12.27,5.24,0.0,6.4
2018-02-14,1.29,9.88,7.27,0.0,10.35,3.12,1.74,2.71,9.32
2018-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-19,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.1,0.0
2018-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-21,0.0,1.49,1.35,6.53,0.38,6.66,3.32,2.38,11.61
2018-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-23,0.0,0.0,0.0,14.43,0.0,0.0,0.69,2.27,0.0
2018-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0
