Fecha,PM25,TMP,IQCA,AQI
2018-01-01 00:00,26.62,11.24,Aceptable,Moderate
2018-01-02 00:00,32.24,13.63,Aceptable,Moderate
2018-01-03 00:00,27.27,14.16,Aceptable,Moderate
2018-01-04 00:00,25.9,14.62,Aceptable,Moderate
2018-01-05 00:00,23.37,13.74,Deseable,Moderate
2018-01-06 00:00,21.89,13.66,Deseable,Moderate
2018-01-07 00:00,17.49,14.38,Deseable,Moderate
2018-01-08 00:00,23.45,13.63,Deseable,Moderate
2018-01-09 00:00,30.38,13.54,Aceptable,Moderate
2018-01-10 00:00,23.27,13.89,Deseable,Moderate
2018-01-11 00:00,29.33,14.39,Aceptable,Moderate
2018-01-12 00:00,25.78,14.05,Aceptable,Moderate
2018-01-13 00:00,18.58,13.71,Deseable,Moderate
2018-01-14 00:00,8.7,13.12,Deseable,Good
2018-01-15 00:00,10.39,12.19,Deseable,Moderate
2018-01-16 00:00,16.48,12.99,Deseable,Moderate
2018-01-17 00:00,9.54,13.0,Deseable,Moderate
2018-01-18 00:00,12.65,13.14,Deseable,Moderate
2018-01-19 00:00,12.67,14.35,Deseable,Moderate
2018-01-20 00:00,8.74,14.0,Deseable,Good
2018-01-21 00:00,9.28,14.16,Deseable,Moderate
2018-01-22 00:00,11.68,14.54,Deseable,Moderate
2018-01-23 00:00,20.31,14.58,Deseable,Moderate
2018-01-24 00:00,23.77,15.53,Deseable,Moderate
2018-01-25 00:00,16.09,15.1,Deseable,Moderate
2018-01-26 00:00,23.34,15.04,Deseable,Moderate
2018-01-27 00:00,15.25,15.48,Deseable,Moderate
2018-01-28 00:00,15.63,15.68,Deseable,Moderate
2018-01-29 00:00,19.26,15.27,Deseable,Moderate
2018-01-30 00:00,20.77,15.23,Deseable,Moderate
2018-01-31 00:00,22.83,15.87,Deseable,Moderate
2018-02-01 00:00,21.64,15.8,Deseable,Moderate
2018-02-02 00:00,18.1,15.36,Deseable,Moderate
2018-02-03 00:00,21.12,15.16,Deseable,Moderate
2018-02-04 00:00,12.05,15.7,Deseable,Moderate
2018-02-05 00:00,8.81,15.38,Deseable,Good
2018-02-06 00:00,10.62,14.5,Deseable,Moderate
2018-02-07 00:00,10.81,15.5,Deseable,Moderate
2018-02-08 00:00,11.07,15.68,Deseable,Moderate
2018-02-09 00:00,12.61,15.87,Deseable,Moderate
2018-02-10 00:00,14.08,15.27,Deseable,Moderate
2018-02-11 00:00,16.23,15.16,Deseable,Moderate
2018-02-12 00:00,23.34,14.88,Deseable,Moderate
2018-02-13 00:00,21.38,14.73,Deseable,Moderate
2018-02-14 00:00,21.45,14.94,Deseable,Moderate
2018-02-15 00:00,12.6,14.55,Deseable,Moderate
2018-02-16 00:00,15.35,14.76,Deseable,Moderate
2018-02-17 00:00,17.11,14.76,Deseable,Moderate
2018-02-18 00:00,14.09,14.84,Deseable,Moderate
2018-02-19 00:00,7.7,14.21,Deseable,Good
2018-02-20 00:00,14.49,14.81,Deseable,Moderate
2018-02-21 00:00,11.14,14.92,Deseable,Moderate
2018-02-22 00:00,8.84,13.5,Deseable,Good
2018-02-23 00:00,7.68,13.5,Deseable,Good
2018-02-24 00:00,7.08,12.6,Deseable,Good
2018-02-25 00:00,10.88,13.59,Deseable,Moderate
2018-02-26 00:00,12.73,13.41,Deseable,Moderate
2018-02-27 00:00,14.13,13.56,Deseable,Moderate
2018-02-28 00:00,12.91,13.94,Deseable,Moderate
2018-03-01 00:00,19.59,15.13,Deseable,Moderate
2018-03-02 00:00,13.08,14.06,Deseable,Moderate
2018-03-03 00:00,13.06,14.3,Deseable,Moderate
2018-03-04 00:00,15.58,14.73,Deseable,Moderate
2018-03-05 00:00,13.3,14.97,Deseable,Moderate
2018-03-06 00:00,15.24,14.51,Deseable,Moderate
2018-03-07 00:00,19.79,14.91,Deseable,Moderate
2018-03-08 00:00,15.3,15.17,Deseable,Moderate
2018-03-09 00:00,12.37,15.13,Deseable,Moderate
2018-03-10 00:00,21.45,16.27,Deseable,Moderate
2018-03-11 00:00,12.22,16.67,Deseable,Moderate
2018-03-12 00:00,19.14,16.44,Deseable,Moderate
2018-03-13 00:00,20.3,15.58,Deseable,Moderate
2018-03-14 00:00,27.5,15.58,Aceptable,Moderate
2018-03-15 00:00,33.58,15.33,Aceptable,Moderate
2018-03-16 00:00,27.95,15.76,Aceptable,Moderate
2018-03-17 00:00,21.2,14.3,Deseable,Moderate
2018-03-18 00:00,18.47,15.19,Deseable,Moderate
2018-03-19 00:00,15.2,14.17,Deseable,Moderate
2018-03-20 00:00,30.12,15.2,Aceptable,Moderate
2018-03-21 00:00,22.31,15.92,Deseable,Moderate
2018-03-22 00:00,22.09,15.44,Deseable,Moderate
2018-03-23 00:00,21.79,14.37,Deseable,Moderate
2018-03-24 00:00,27.75,13.67,Aceptable,Moderate
2018-03-25 00:00,25.73,15.08,Aceptable,Moderate
2018-03-26 00:00,21.21,15.89,Deseable,Moderate
2018-03-27 00:00,23.57,15.67,Deseable,Moderate
2018-03-28 00:00,18.97,15.25,Deseable,Moderate
2018-03-29 00:00,16.62,13.79,Deseable,Moderate
2018-03-30 00:00,16.96,14.35,Deseable,Moderate
2018-03-31 00:00,7.27,13.2,Deseable,Good
2018-04-01 00:00,10.0,13.4,Deseable,Moderate
2018-04-02 00:00,9.96,13.05,Deseable,Moderate
2018-04-03 00:00,16.97,14.22,Deseable,Moderate
2018-04-04 00:00,12.52,13.12,Deseable,Moderate
2018-04-05 00:00,21.1,13.13,Deseable,Moderate
2018-04-06 00:00,15.13,13.12,Deseable,Moderate
2018-04-07 00:00,19.42,13.9,Deseable,Moderate
2018-04-08 00:00,18.35,14.78,Deseable,Moderate
2018-04-09 00:00,16.3,15.1,Deseable,Moderate
2018-04-10 00:00,11.76,13.96,Deseable,Moderate
2018-04-11 00:00,22.54,13.65,Deseable,Moderate
2018-04-12 00:00,26.49,13.8,Aceptable,Moderate
2018-04-13 00:00,21.22,14.49,Deseable,Moderate
2018-04-14 00:00,19.28,14.92,Deseable,Moderate
2018-04-15 00:00,23.39,15.37,Deseable,Moderate
2018-04-16 00:00,20.58,14.41,Deseable,Moderate
2018-04-17 00:00,14.09,14.99,Deseable,Moderate
2018-04-18 00:00,18.99,16.05,Deseable,Moderate
2018-04-19 00:00,23.14,15.88,Deseable,Moderate
2018-04-20 00:00,17.24,16.05,Deseable,Moderate
2018-04-21 00:00,15.56,15.51,Deseable,Moderate
2018-04-22 00:00,14.7,15.34,Deseable,Moderate
2018-04-23 00:00,16.01,15.32,Deseable,Moderate
2018-04-24 00:00,26.25,15.64,Aceptable,Moderate
2018-04-25 00:00,22.53,15.44,Deseable,Moderate
2018-04-26 00:00,21.3,14.28,Deseable,Moderate
2018-04-27 00:00,25.85,15.21,Aceptable,Moderate
2018-04-28 00:00,13.23,13.07,Deseable,Moderate
2018-04-29 00:00,28.28,14.01,Aceptable,Moderate
2018-04-30 00:00,20.37,14.56,Deseable,Moderate
2018-05-01 00:00,22.25,14.86,Deseable,Moderate
2018-05-02 00:00,19.39,15.17,Deseable,Moderate
2018-05-03 00:00,23.43,15.09,Deseable,Moderate
2018-05-04 00:00,17.32,14.94,Deseable,Moderate
2018-05-05 00:00,14.64,15.05,Deseable,Moderate
2018-05-06 00:00,18.22,14.43,Deseable,Moderate
2018-05-07 00:00,11.86,12.55,Deseable,Moderate
2018-05-08 00:00,25.94,14.16,Aceptable,Moderate
2018-05-09 00:00,13.94,12.86,Deseable,Moderate
2018-05-10 00:00,27.4,13.78,Aceptable,Moderate
2018-05-11 00:00,24.07,14.87,Deseable,Moderate
2018-05-12 00:00,24.94,15.12,Deseable,Moderate
2018-05-13 00:00,12.18,12.97,Deseable,Moderate
2018-05-14 00:00,18.69,14.11,Deseable,Moderate
2018-05-15 00:00,16.73,14.91,Deseable,Moderate
2018-05-16 00:00,16.23,15.23,Deseable,Moderate
2018-05-17 00:00,22.85,15.45,Deseable,Moderate
2018-05-18 00:00,15.43,13.63,Deseable,Moderate
2018-05-19 00:00,17.28,14.62,Deseable,Moderate
2018-05-20 00:00,20.09,14.66,Deseable,Moderate
2018-05-21 00:00,12.76,14.08,Deseable,Moderate
2018-05-22 00:00,21.54,14.79,Deseable,Moderate
2018-05-23 00:00,15.29,13.86,Deseable,Moderate
2018-05-24 00:00,18.01,14.3,Deseable,Moderate
2018-05-25 00:00,16.98,14.67,Deseable,Moderate
2018-05-26 00:00,18.53,13.9,Deseable,Moderate
2018-05-27 00:00,17.87,13.6,Deseable,Moderate
2018-05-28 00:00,18.55,14.24,Deseable,Moderate
2018-05-29 00:00,23.79,14.65,Deseable,Moderate
2018-05-30 00:00,25.8,15.12,Aceptable,Moderate
2018-05-31 00:00,24.3,15.39,Deseable,Moderate
2018-06-01 00:00,29.75,15.59,Aceptable,Moderate
2018-06-02 00:00,20.15,16.22,Deseable,Moderate
2018-06-03 00:00,18.31,15.15,Deseable,Moderate
2018-06-04 00:00,17.22,15.04,Deseable,Moderate
2018-06-05 00:00,18.59,14.83,Deseable,Moderate
2018-06-06 00:00,21.99,15.44,Deseable,Moderate
2018-06-07 00:00,24.56,16.16,Deseable,Moderate
2018-06-08 00:00,19.79,16.1,Deseable,Moderate
2018-06-09 00:00,21.48,15.85,Deseable,Moderate
2018-06-10 00:00,16.68,15.11,Deseable,Moderate
2018-06-11 00:00,15.97,15.62,Deseable,Moderate
2018-06-12 00:00,26.7,15.3,Aceptable,Moderate
2018-06-13 00:00,21.12,15.44,Deseable,Moderate
2018-06-14 00:00,22.02,15.12,Deseable,Moderate
2018-06-15 00:00,22.56,14.99,Deseable,Moderate
2018-06-16 00:00,18.92,14.91,Deseable,Moderate
2018-06-17 00:00,14.39,14.81,Deseable,Moderate
2018-06-18 00:00,12.37,14.99,Deseable,Moderate
2018-06-19 00:00,18.65,14.62,Deseable,Moderate
2018-06-20 00:00,22.55,14.29,Deseable,Moderate
2018-06-21 00:00,15.9,14.87,Deseable,Moderate
2018-06-22 00:00,19.69,15.26,Deseable,Moderate
2018-06-23 00:00,20.98,14.0,Deseable,Moderate
2018-06-24 00:00,20.26,14.08,Deseable,Moderate
2018-06-25 00:00,20.57,13.58,Deseable,Moderate
2018-06-26 00:00,19.4,13.7,Deseable,Moderate
2018-06-27 00:00,16.56,13.53,Deseable,Moderate
2018-06-28 00:00,14.59,13.34,Deseable,Moderate
2018-06-29 00:00,17.81,12.43,Deseable,Moderate
2018-06-30 00:00,18.35,13.04,Deseable,Moderate
2018-07-01 00:00,12.94,14.28,Deseable,Moderate
2018-07-02 00:00,18.41,13.94,Deseable,Moderate
2018-07-03 00:00,24.58,14.1,Deseable,Moderate
2018-07-04 00:00,21.55,15.31,Deseable,Moderate
2018-07-05 00:00,18.22,15.33,Deseable,Moderate
2018-07-06 00:00,20.62,15.12,Deseable,Moderate
2018-07-07 00:00,15.79,15.41,Deseable,Moderate
2018-07-08 00:00,16.5,15.53,Deseable,Moderate
2018-07-09 00:00,14.28,15.92,Deseable,Moderate
2018-07-10 00:00,16.37,15.36,Deseable,Moderate
2018-07-11 00:00,23.79,15.11,Deseable,Moderate
2018-07-12 00:00,18.32,15.44,Deseable,Moderate
2018-07-13 00:00,11.97,15.8,Deseable,Moderate
2018-07-14 00:00,11.17,16.02,Deseable,Moderate
2018-07-15 00:00,10.71,15.32,Deseable,Moderate
2018-07-16 00:00,12.57,15.18,Deseable,Moderate
2018-07-17 00:00,13.58,15.71,Deseable,Moderate
2018-07-18 00:00,17.83,15.34,Deseable,Moderate
2018-07-19 00:00,20.22,14.98,Deseable,Moderate
2018-07-20 00:00,20.04,13.77,Deseable,Moderate
2018-07-21 00:00,21.62,14.76,Deseable,Moderate
2018-07-22 00:00,17.54,14.5,Deseable,Moderate
2018-07-23 00:00,16.49,14.91,Deseable,Moderate
2018-07-24 00:00,17.12,14.81,Deseable,Moderate
2018-07-25 00:00,20.61,15.08,Deseable,Moderate
2018-07-26 00:00,20.28,14.03,Deseable,Moderate
2018-07-27 00:00,19.5,14.54,Deseable,Moderate
2018-07-28 00:00,19.47,15.49,Deseable,Moderate
2018-07-29 00:00,18.97,13.91,Deseable,Moderate
2018-07-30 00:00,10.85,13.0,Deseable,Moderate
2018-07-31 00:00,16.24,13.49,Deseable,Moderate
2018-08-01 00:00,21.18,14.58,Deseable,Moderate
2018-08-02 00:00,18.77,15.09,Deseable,Moderate
2018-08-03 00:00,20.45,14.17,Deseable,Moderate
2018-08-04 00:00,12.68,13.74,Deseable,Moderate
2018-08-05 00:00,17.43,15.42,Deseable,Moderate
2018-08-06 00:00,12.69,16.29,Deseable,Moderate
