Fecha,PM25,TMP,IQCA,AQI
2018-01-01 00:00,36.05,,Aceptable,USensitiveG
2018-01-02 00:00,21.8,,Deseable,Moderate
2018-01-03 00:00,26.17,,Aceptable,Moderate
2018-01-04 00:00,25.48,,Aceptable,Moderate
2018-01-05 00:00,23.93,,Deseable,Moderate
2018-01-06 00:00,21.22,,Deseable,Moderate
2018-01-07 00:00,16.77,,Deseable,Moderate
2018-01-08 00:00,18.27,,Deseable,Moderate
2018-01-09 00:00,30.51,,Aceptable,Moderate
2018-01-10 00:00,21.56,,Deseable,Moderate
2018-01-11 00:00,24.13,,Deseable,Moderate
2018-01-12 00:00,22.2,,Deseable,Moderate
2018-01-13 00:00,20.23,,Deseable,Moderate
2018-01-14 00:00,9.75,,Deseable,Moderate
2018-01-15 00:00,11.99,,Deseable,Moderate
2018-01-16 00:00,21.6,,Deseable,Moderate
2018-01-17 00:00,18.76,,Deseable,Moderate
2018-01-18 00:00,14.99,,Deseable,Moderate
2018-01-19 00:00,13.14,,Deseable,Moderate
2018-01-20 00:00,11.08,,Deseable,Moderate
2018-01-21 00:00,9.0,,Deseable,Good
2018-01-22 00:00,14.11,,Deseable,Moderate
2018-01-23 00:00,16.37,,Deseable,Moderate
2018-01-24 00:00,10.72,,Deseable,Moderate
2018-01-25 00:00,9.02,,Deseable,Moderate
2018-01-26 00:00,17.82,,Deseable,Moderate
2018-01-27 00:00,14.09,,Deseable,Moderate
2018-01-28 00:00,14.67,,Deseable,Moderate
2018-01-29 00:00,16.72,,Deseable,Moderate
2018-01-30 00:00,19.83,,Deseable,Moderate
2018-01-31 00:00,22.61,,Deseable,Moderate
2018-02-01 00:00,26.17,,Aceptable,Moderate
2018-02-02 00:00,19.12,,Deseable,Moderate
2018-02-03 00:00,20.2,,Deseable,Moderate
2018-02-04 00:00,13.49,,Deseable,Moderate
2018-02-05 00:00,10.74,,Deseable,Moderate
2018-02-06 00:00,11.86,,Deseable,Moderate
2018-02-07 00:00,14.31,,Deseable,Moderate
2018-02-08 00:00,12.57,,Deseable,Moderate
2018-02-09 00:00,16.08,,Deseable,Moderate
2018-02-10 00:00,18.81,,Deseable,Moderate
2018-02-11 00:00,17.68,,Deseable,Moderate
2018-02-12 00:00,25.84,,Aceptable,Moderate
2018-02-13 00:00,24.45,,Deseable,Moderate
2018-02-14 00:00,22.26,,Deseable,Moderate
2018-02-15 00:00,15.35,,Deseable,Moderate
2018-02-16 00:00,18.42,,Deseable,Moderate
2018-02-17 00:00,21.81,,Deseable,Moderate
2018-02-18 00:00,17.4,,Deseable,Moderate
2018-02-19 00:00,9.63,,Deseable,Moderate
2018-02-20 00:00,14.78,,Deseable,Moderate
2018-02-21 00:00,12.52,,Deseable,Moderate
2018-02-22 00:00,12.86,,Deseable,Moderate
2018-02-23 00:00,9.29,,Deseable,Moderate
2018-02-24 00:00,10.45,,Deseable,Moderate
2018-02-25 00:00,10.43,,Deseable,Moderate
2018-02-26 00:00,13.11,,Deseable,Moderate
2018-02-27 00:00,16.79,,Deseable,Moderate
2018-02-28 00:00,12.48,,Deseable,Moderate
2018-03-01 00:00,22.73,,Deseable,Moderate
2018-03-02 00:00,15.03,,Deseable,Moderate
2018-03-03 00:00,20.66,,Deseable,Moderate
2018-03-04 00:00,17.29,,Deseable,Moderate
2018-03-05 00:00,16.08,,Deseable,Moderate
2018-03-06 00:00,16.28,,Deseable,Moderate
2018-03-07 00:00,19.47,,Deseable,Moderate
2018-03-08 00:00,17.69,,Deseable,Moderate
2018-03-09 00:00,16.9,,Deseable,Moderate
2018-03-10 00:00,11.01,,Deseable,Moderate
2018-03-11 00:00,8.6,,Deseable,Good
2018-03-12 00:00,12.33,,Deseable,Moderate
