Fecha,PM25,TMP,IQCA,AQI
2018-01-01 00:00,26.26,10.64,Aceptable,Moderate
2018-01-02 00:00,25.38,13.14,Aceptable,Moderate
2018-01-03 00:00,27.05,13.41,Aceptable,Moderate
2018-01-04 00:00,21.21,13.73,Deseable,Moderate
2018-01-05 00:00,24.16,12.73,Deseable,Moderate
2018-01-06 00:00,18.08,12.82,Deseable,Moderate
2018-01-07 00:00,14.28,13.56,Deseable,Moderate
2018-01-08 00:00,17.67,13.17,Deseable,Moderate
2018-01-09 00:00,26.04,12.84,Aceptable,Moderate
2018-01-10 00:00,22.77,13.17,Deseable,Moderate
2018-01-11 00:00,22.37,13.77,Deseable,Moderate
2018-01-12 00:00,22.82,13.28,Deseable,Moderate
2018-01-13 00:00,17.45,13.04,Deseable,Moderate
2018-01-14 00:00,8.28,12.38,Deseable,Good
2018-01-15 00:00,11.39,11.39,Deseable,Moderate
2018-01-16 00:00,17.68,12.16,Deseable,Moderate
2018-01-17 00:00,11.36,12.47,Deseable,Moderate
2018-01-18 00:00,13.38,12.81,Deseable,Moderate
2018-01-19 00:00,14.61,13.5,Deseable,Moderate
2018-01-20 00:00,10.96,13.6,Deseable,Moderate
2018-01-21 00:00,8.71,13.66,Deseable,Good
2018-01-22 00:00,10.79,13.9,Deseable,Moderate
2018-01-23 00:00,14.75,13.6,Deseable,Moderate
2018-01-24 00:00,16.71,14.44,Deseable,Moderate
2018-01-25 00:00,12.28,14.11,Deseable,Moderate
2018-01-26 00:00,21.39,14.07,Deseable,Moderate
2018-01-27 00:00,12.73,14.54,Deseable,Moderate
2018-01-28 00:00,13.7,15.01,Deseable,Moderate
2018-01-29 00:00,18.39,14.09,Deseable,Moderate
2018-01-30 00:00,22.14,14.52,Deseable,Moderate
2018-01-31 00:00,22.48,14.76,Deseable,Moderate
2018-02-01 00:00,22.06,14.54,Deseable,Moderate
2018-02-02 00:00,18.92,15.03,Deseable,Moderate
2018-02-03 00:00,,,Incorrecto,Hazardous
2018-02-04 00:00,,,Incorrecto,Hazardous
2018-02-05 00:00,2.76,15.9,Deseable,Good
2018-02-06 00:00,11.47,13.73,Deseable,Moderate
2018-02-07 00:00,10.58,14.58,Deseable,Moderate
2018-02-08 00:00,9.96,14.69,Deseable,Moderate
2018-02-09 00:00,14.06,14.79,Deseable,Moderate
2018-02-10 00:00,13.41,14.66,Deseable,Moderate
2018-02-11 00:00,15.42,14.46,Deseable,Moderate
2018-02-12 00:00,22.81,14.01,Deseable,Moderate
2018-02-13 00:00,19.42,14.01,Deseable,Moderate
2018-02-14 00:00,18.02,14.06,Deseable,Moderate
2018-02-15 00:00,11.28,13.81,Deseable,Moderate
2018-02-16 00:00,14.81,14.14,Deseable,Moderate
2018-02-17 00:00,17.7,14.32,Deseable,Moderate
2018-02-18 00:00,12.53,14.23,Deseable,Moderate
2018-02-19 00:00,8.86,13.23,Deseable,Good
2018-02-20 00:00,11.08,14.06,Deseable,Moderate
2018-02-21 00:00,11.82,13.95,Deseable,Moderate
2018-02-22 00:00,10.05,12.94,Deseable,Moderate
2018-02-23 00:00,8.65,12.73,Deseable,Good
2018-02-24 00:00,7.56,11.84,Deseable,Good
2018-02-25 00:00,9.91,12.84,Deseable,Moderate
2018-02-26 00:00,12.05,12.49,Deseable,Moderate
2018-02-27 00:00,12.33,12.87,Deseable,Moderate
2018-02-28 00:00,11.23,13.16,Deseable,Moderate
2018-03-01 00:00,18.59,14.12,Deseable,Moderate
2018-03-02 00:00,15.27,13.47,Deseable,Moderate
2018-03-03 00:00,13.61,13.62,Deseable,Moderate
2018-03-04 00:00,13.2,14.18,Deseable,Moderate
2018-03-05 00:00,14.16,14.34,Deseable,Moderate
2018-03-06 00:00,17.47,13.48,Deseable,Moderate
2018-03-07 00:00,16.8,14.28,Deseable,Moderate
2018-03-08 00:00,15.53,14.69,Deseable,Moderate
2018-03-09 00:00,12.45,14.42,Deseable,Moderate
2018-03-10 00:00,13.89,15.18,Deseable,Moderate
2018-03-11 00:00,9.31,15.71,Deseable,Moderate
2018-03-12 00:00,14.48,15.22,Deseable,Moderate
2018-03-13 00:00,18.53,14.5,Deseable,Moderate
2018-03-14 00:00,25.76,14.45,Aceptable,Moderate
2018-03-15 00:00,28.59,14.36,Aceptable,Moderate
2018-03-16 00:00,21.29,14.85,Deseable,Moderate
2018-03-17 00:00,17.77,13.55,Deseable,Moderate
2018-03-18 00:00,17.1,14.32,Deseable,Moderate
2018-03-19 00:00,12.81,13.25,Deseable,Moderate
2018-03-20 00:00,24.07,14.28,Deseable,Moderate
2018-03-21 00:00,20.2,15.15,Deseable,Moderate
2018-03-22 00:00,17.29,14.57,Deseable,Moderate
2018-03-23 00:00,21.96,13.17,Deseable,Moderate
2018-03-24 00:00,20.75,13.09,Deseable,Moderate
2018-03-25 00:00,14.47,14.65,Deseable,Moderate
2018-03-26 00:00,18.59,15.36,Deseable,Moderate
2018-03-27 00:00,21.51,14.98,Deseable,Moderate
2018-03-28 00:00,15.6,14.56,Deseable,Moderate
2018-03-29 00:00,16.15,13.37,Deseable,Moderate
2018-03-30 00:00,13.55,13.62,Deseable,Moderate
2018-03-31 00:00,8.15,12.61,Deseable,Good
2018-04-01 00:00,6.94,12.78,Deseable,Good
2018-04-02 00:00,9.98,12.13,Deseable,Moderate
2018-04-03 00:00,19.06,13.32,Deseable,Moderate
2018-04-04 00:00,11.81,12.35,Deseable,Moderate
2018-04-05 00:00,16.27,12.9,Deseable,Moderate
2018-04-06 00:00,10.13,12.12,Deseable,Moderate
2018-04-07 00:00,19.19,12.86,Deseable,Moderate
2018-04-08 00:00,13.11,13.83,Deseable,Moderate
2018-04-09 00:00,16.59,14.22,Deseable,Moderate
2018-04-10 00:00,11.73,13.31,Deseable,Moderate
2018-04-11 00:00,19.36,12.74,Deseable,Moderate
2018-04-12 00:00,18.73,13.22,Deseable,Moderate
2018-04-13 00:00,18.37,13.73,Deseable,Moderate
2018-04-14 00:00,18.5,13.91,Deseable,Moderate
2018-04-15 00:00,14.63,14.34,Deseable,Moderate
2018-04-16 00:00,18.28,13.76,Deseable,Moderate
2018-04-17 00:00,12.64,14.14,Deseable,Moderate
2018-04-18 00:00,18.45,14.93,Deseable,Moderate
2018-04-19 00:00,17.13,15.1,Deseable,Moderate
2018-04-20 00:00,11.94,15.25,Deseable,Moderate
2018-04-21 00:00,13.81,14.7,Deseable,Moderate
2018-04-22 00:00,13.21,14.72,Deseable,Moderate
2018-04-23 00:00,13.26,14.61,Deseable,Moderate
2018-04-24 00:00,19.18,14.66,Deseable,Moderate
2018-04-25 00:00,19.08,14.55,Deseable,Moderate
2018-04-26 00:00,20.15,13.43,Deseable,Moderate
2018-04-27 00:00,25.53,14.16,Aceptable,Moderate
2018-04-28 00:00,11.91,12.28,Deseable,Moderate
2018-04-29 00:00,18.65,13.19,Deseable,Moderate
2018-04-30 00:00,14.92,13.63,Deseable,Moderate
2018-05-01 00:00,16.9,14.25,Deseable,Moderate
2018-05-02 00:00,15.42,14.42,Deseable,Moderate
2018-05-03 00:00,16.12,14.52,Deseable,Moderate
2018-05-04 00:00,15.9,14.27,Deseable,Moderate
2018-05-05 00:00,11.73,14.02,Deseable,Moderate
2018-05-06 00:00,16.66,13.95,Deseable,Moderate
2018-05-07 00:00,10.2,11.86,Deseable,Moderate
2018-05-08 00:00,17.73,12.97,Deseable,Moderate
2018-05-09 00:00,13.07,12.29,Deseable,Moderate
2018-05-10 00:00,21.68,12.75,Deseable,Moderate
2018-05-11 00:00,22.1,14.03,Deseable,Moderate
2018-05-12 00:00,21.94,14.27,Deseable,Moderate
2018-05-13 00:00,11.01,12.3,Deseable,Moderate
2018-05-14 00:00,14.38,13.14,Deseable,Moderate
2018-05-15 00:00,16.35,14.24,Deseable,Moderate
2018-05-16 00:00,16.22,13.48,Deseable,Moderate
2018-05-17 00:00,17.2,14.7,Deseable,Moderate
2018-05-18 00:00,15.06,12.91,Deseable,Moderate
2018-05-19 00:00,15.74,13.76,Deseable,Moderate
2018-05-20 00:00,18.62,14.19,Deseable,Moderate
2018-05-21 00:00,9.99,13.64,Deseable,Moderate
2018-05-22 00:00,17.59,14.23,Deseable,Moderate
2018-05-23 00:00,15.22,13.48,Deseable,Moderate
2018-05-24 00:00,16.12,13.83,Deseable,Moderate
2018-05-25 00:00,16.82,14.19,Deseable,Moderate
2018-05-26 00:00,14.85,13.24,Deseable,Moderate
2018-05-27 00:00,15.26,13.02,Deseable,Moderate
2018-05-28 00:00,16.69,13.65,Deseable,Moderate
2018-05-29 00:00,19.2,13.65,Deseable,Moderate
2018-05-30 00:00,21.47,14.55,Deseable,Moderate
2018-05-31 00:00,18.63,14.43,Deseable,Moderate
2018-06-01 00:00,21.24,14.81,Deseable,Moderate
2018-06-02 00:00,15.23,15.18,Deseable,Moderate
2018-06-03 00:00,11.73,14.71,Deseable,Moderate
2018-06-04 00:00,14.8,14.44,Deseable,Moderate
2018-06-05 00:00,16.1,13.81,Deseable,Moderate
2018-06-06 00:00,14.84,14.86,Deseable,Moderate
2018-06-07 00:00,17.61,15.19,Deseable,Moderate
2018-06-08 00:00,12.71,15.15,Deseable,Moderate
2018-06-09 00:00,17.03,14.95,Deseable,Moderate
2018-06-10 00:00,14.19,14.22,Deseable,Moderate
2018-06-11 00:00,15.07,14.72,Deseable,Moderate
2018-06-12 00:00,20.17,14.5,Deseable,Moderate
2018-06-13 00:00,16.73,14.37,Deseable,Moderate
2018-06-14 00:00,15.5,14.07,Deseable,Moderate
2018-06-15 00:00,19.4,14.0,Deseable,Moderate
2018-06-16 00:00,13.06,14.46,Deseable,Moderate
2018-06-17 00:00,8.43,14.13,Deseable,Good
2018-06-18 00:00,6.79,14.25,Deseable,Good
2018-06-19 00:00,11.3,13.99,Deseable,Moderate
2018-06-20 00:00,13.44,13.44,Deseable,Moderate
2018-06-21 00:00,10.29,13.95,Deseable,Moderate
2018-06-22 00:00,14.11,14.38,Deseable,Moderate
2018-06-23 00:00,17.34,13.32,Deseable,Moderate
2018-06-24 00:00,14.42,13.41,Deseable,Moderate
2018-06-25 00:00,17.73,13.3,Deseable,Moderate
2018-06-26 00:00,21.14,13.21,Deseable,Moderate
2018-06-27 00:00,18.08,12.82,Deseable,Moderate
2018-06-28 00:00,16.38,12.59,Deseable,Moderate
2018-06-29 00:00,17.01,12.09,Deseable,Moderate
2018-06-30 00:00,18.31,12.4,Deseable,Moderate
2018-07-01 00:00,11.57,13.49,Deseable,Moderate
2018-07-02 00:00,14.09,13.07,Deseable,Moderate
2018-07-03 00:00,21.05,12.97,Deseable,Moderate
2018-07-04 00:00,13.84,14.15,Deseable,Moderate
2018-07-05 00:00,10.55,14.3,Deseable,Moderate
2018-07-06 00:00,12.28,14.3,Deseable,Moderate
2018-07-07 00:00,15.04,14.42,Deseable,Moderate
2018-07-08 00:00,11.08,14.39,Deseable,Moderate
2018-07-09 00:00,9.94,14.97,Deseable,Moderate
2018-07-10 00:00,11.49,14.49,Deseable,Moderate
2018-07-11 00:00,14.35,14.4,Deseable,Moderate
2018-07-12 00:00,11.26,14.17,Deseable,Moderate
2018-07-13 00:00,9.04,14.6,Deseable,Moderate
2018-07-14 00:00,9.27,14.65,Deseable,Moderate
2018-07-15 00:00,8.5,13.92,Deseable,Good
2018-07-16 00:00,8.53,13.91,Deseable,Good
2018-07-17 00:00,11.99,14.7,Deseable,Moderate
2018-07-18 00:00,13.33,14.66,Deseable,Moderate
2018-07-19 00:00,13.61,14.61,Deseable,Moderate
2018-07-20 00:00,16.93,13.56,Deseable,Moderate
2018-07-21 00:00,16.03,14.42,Deseable,Moderate
2018-07-22 00:00,17.21,13.8,Deseable,Moderate
2018-07-23 00:00,15.31,14.04,Deseable,Moderate
2018-07-24 00:00,14.89,14.23,Deseable,Moderate
2018-07-25 00:00,15.21,14.07,Deseable,Moderate
2018-07-26 00:00,19.16,13.29,Deseable,Moderate
2018-07-27 00:00,17.79,13.57,Deseable,Moderate
2018-07-28 00:00,13.52,14.43,Deseable,Moderate
2018-07-29 00:00,20.6,13.31,Deseable,Moderate
2018-07-30 00:00,10.45,12.42,Deseable,Moderate
2018-07-31 00:00,15.09,12.82,Deseable,Moderate
2018-08-01 00:00,17.94,14.04,Deseable,Moderate
2018-08-02 00:00,15.41,14.27,Deseable,Moderate
2018-08-03 00:00,17.85,13.31,Deseable,Moderate
2018-08-04 00:00,13.66,13.36,Deseable,Moderate
2018-08-05 00:00,16.01,14.72,Deseable,Moderate
2018-08-06 00:00,10.62,15.27,Deseable,Moderate
2018-08-07 00:00,7.24,15.75,Deseable,Good
2018-08-08 00:00,7.28,16.04,Deseable,Good
2018-08-09 00:00,8.09,15.22,Deseable,Good
2018-08-10 00:00,6.25,14.69,Deseable,Good
2018-08-11 00:00,6.91,15.1,Deseable,Good
2018-08-12 00:00,7.89,14.93,Deseable,Good
2018-08-13 00:00,19.96,13.32,Deseable,Moderate
2018-08-14 00:00,17.95,13.57,Deseable,Moderate
2018-08-15 00:00,18.45,13.97,Deseable,Moderate
2018-08-16 00:00,14.14,14.55,Deseable,Moderate
2018-08-17 00:00,10.75,14.75,Deseable,Moderate
2018-08-18 00:00,16.22,14.35,Deseable,Moderate
2018-08-19 00:00,11.78,14.21,Deseable,Moderate
2018-08-20 00:00,10.2,14.54,Deseable,Moderate
2018-08-21 00:00,7.29,15.08,Deseable,Good
2018-08-22 00:00,9.32,14.98,Deseable,Moderate
2018-08-23 00:00,13.87,14.09,Deseable,Moderate
2018-08-24 00:00,15.91,14.7,Deseable,Moderate
2018-08-25 00:00,13.97,14.32,Deseable,Moderate
2018-08-26 00:00,8.98,14.88,Deseable,Good
2018-08-27 00:00,11.45,14.07,Deseable,Moderate
2018-08-28 00:00,16.99,14.37,Deseable,Moderate
2018-08-29 00:00,9.39,14.91,Deseable,Moderate
2018-08-30 00:00,18.23,13.96,Deseable,Moderate
2018-08-31 00:00,23.6,14.15,Deseable,Moderate
2018-09-01 00:00,18.64,14.56,Deseable,Moderate
