Fecha,PM25,TMP,IQCA,AQI
2018-01-01 00:00,44.52,10.7,Aceptable,USensitiveG
2018-01-02 00:00,29.61,13.17,Aceptable,Moderate
2018-01-03 00:00,37.77,13.36,Aceptable,USensitiveG
2018-01-04 00:00,28.74,13.7,Aceptable,Moderate
2018-01-05 00:00,25.73,13.34,Aceptable,Moderate
2018-01-06 00:00,23.89,13.24,Deseable,Moderate
2018-01-07 00:00,20.06,13.13,Deseable,Moderate
2018-01-08 00:00,23.76,12.8,Deseable,Moderate
2018-01-09 00:00,35.4,12.99,Aceptable,Moderate
2018-01-10 00:00,26.08,13.61,Aceptable,Moderate
2018-01-11 00:00,30.06,13.44,Aceptable,Moderate
2018-01-12 00:00,25.25,12.97,Aceptable,Moderate
2018-01-13 00:00,23.02,12.65,Deseable,Moderate
2018-01-14 00:00,12.9,12.23,Deseable,Moderate
2018-01-15 00:00,16.12,11.11,Deseable,Moderate
2018-01-16 00:00,26.85,11.93,Aceptable,Moderate
2018-01-17 00:00,20.69,12.3,Deseable,Moderate
2018-01-18 00:00,18.96,12.83,Deseable,Moderate
2018-01-19 00:00,18.35,13.84,Deseable,Moderate
2018-01-20 00:00,12.45,14.06,Deseable,Moderate
2018-01-21 00:00,14.45,14.56,Deseable,Moderate
2018-01-22 00:00,14.99,14.47,Deseable,Moderate
2018-01-23 00:00,17.9,14.25,Deseable,Moderate
2018-01-24 00:00,17.02,14.97,Deseable,Moderate
2018-01-25 00:00,14.19,14.89,Deseable,Moderate
2018-01-26 00:00,19.14,14.91,Deseable,Moderate
2018-01-27 00:00,14.85,15.22,Deseable,Moderate
2018-01-28 00:00,17.5,15.67,Deseable,Moderate
2018-01-29 00:00,18.92,15.07,Deseable,Moderate
2018-01-30 00:00,20.5,15.69,Deseable,Moderate
2018-01-31 00:00,25.09,15.38,Aceptable,Moderate
2018-02-01 00:00,19.97,15.54,Deseable,Moderate
2018-02-02 00:00,21.48,14.9,Deseable,Moderate
2018-02-03 00:00,22.47,14.3,Deseable,Moderate
2018-02-04 00:00,15.54,14.87,Deseable,Moderate
2018-02-05 00:00,15.71,14.73,Deseable,Moderate
2018-02-06 00:00,14.86,13.75,Deseable,Moderate
2018-02-07 00:00,16.97,14.67,Deseable,Moderate
2018-02-08 00:00,16.27,15.52,Deseable,Moderate
2018-02-09 00:00,21.56,15.41,Deseable,Moderate
2018-02-10 00:00,21.46,15.09,Deseable,Moderate
2018-02-11 00:00,18.13,14.51,Deseable,Moderate
2018-02-12 00:00,22.59,14.49,Deseable,Moderate
2018-02-13 00:00,25.79,14.13,Aceptable,Moderate
2018-02-14 00:00,20.95,13.78,Deseable,Moderate
2018-02-15 00:00,18.63,13.9,Deseable,Moderate
2018-02-16 00:00,21.17,14.49,Deseable,Moderate
2018-02-17 00:00,24.22,14.08,Deseable,Moderate
2018-02-18 00:00,19.01,13.81,Deseable,Moderate
2018-02-19 00:00,10.27,12.88,Deseable,Moderate
2018-02-20 00:00,18.23,13.52,Deseable,Moderate
2018-02-21 00:00,15.77,14.03,Deseable,Moderate
2018-02-22 00:00,15.95,12.9,Deseable,Moderate
2018-02-23 00:00,14.08,13.02,Deseable,Moderate
2018-02-24 00:00,12.45,12.52,Deseable,Moderate
2018-02-25 00:00,15.97,13.07,Deseable,Moderate
2018-02-26 00:00,16.21,12.81,Deseable,Moderate
2018-02-27 00:00,18.13,12.65,Deseable,Moderate
2018-02-28 00:00,17.91,12.75,Deseable,Moderate
2018-03-01 00:00,22.87,14.09,Deseable,Moderate
2018-03-02 00:00,17.54,13.38,Deseable,Moderate
2018-03-03 00:00,21.88,14.2,Deseable,Moderate
2018-03-04 00:00,19.66,14.13,Deseable,Moderate
2018-03-05 00:00,22.85,14.56,Deseable,Moderate
2018-03-06 00:00,22.94,14.64,Deseable,Moderate
2018-03-07 00:00,22.01,15.25,Deseable,Moderate
2018-03-08 00:00,20.97,15.74,Deseable,Moderate
2018-03-09 00:00,18.55,15.63,Deseable,Moderate
2018-03-10 00:00,13.65,16.21,Deseable,Moderate
2018-03-11 00:00,12.28,16.71,Deseable,Moderate
2018-03-12 00:00,14.09,16.29,Deseable,Moderate
2018-03-13 00:00,19.1,15.27,Deseable,Moderate
2018-03-14 00:00,21.55,15.38,Deseable,Moderate
2018-03-15 00:00,26.86,14.89,Aceptable,Moderate
2018-03-16 00:00,35.19,15.52,Aceptable,Moderate
2018-03-17 00:00,25.32,14.16,Aceptable,Moderate
2018-03-18 00:00,23.14,14.2,Deseable,Moderate
2018-03-19 00:00,16.25,13.43,Deseable,Moderate
2018-03-20 00:00,30.0,13.89,Aceptable,Moderate
2018-03-21 00:00,23.76,15.76,Deseable,Moderate
2018-03-22 00:00,19.15,15.29,Deseable,Moderate
2018-03-23 00:00,23.63,13.22,Deseable,Moderate
2018-03-24 00:00,29.54,12.62,Aceptable,Moderate
2018-03-25 00:00,24.22,14.78,Deseable,Moderate
2018-03-26 00:00,23.78,15.32,Deseable,Moderate
2018-03-27 00:00,27.04,15.17,Aceptable,Moderate
2018-03-28 00:00,26.27,14.58,Aceptable,Moderate
2018-03-29 00:00,28.44,13.62,Aceptable,Moderate
2018-03-30 00:00,20.24,13.55,Deseable,Moderate
2018-03-31 00:00,18.45,12.87,Deseable,Moderate
2018-04-01 00:00,14.19,12.59,Deseable,Moderate
2018-04-02 00:00,21.04,12.42,Deseable,Moderate
2018-04-03 00:00,20.29,13.07,Deseable,Moderate
2018-04-04 00:00,21.37,12.45,Deseable,Moderate
2018-04-05 00:00,27.3,11.87,Aceptable,Moderate
2018-04-06 00:00,21.48,12.71,Deseable,Moderate
2018-04-07 00:00,30.38,12.94,Aceptable,Moderate
2018-04-08 00:00,21.98,13.77,Deseable,Moderate
2018-04-09 00:00,22.77,14.36,Deseable,Moderate
2018-04-10 00:00,19.11,13.37,Deseable,Moderate
2018-04-11 00:00,30.92,12.72,Aceptable,Moderate
2018-04-12 00:00,34.77,13.13,Aceptable,Moderate
2018-04-13 00:00,22.06,13.89,Deseable,Moderate
2018-04-14 00:00,24.84,13.99,Deseable,Moderate
2018-04-15 00:00,21.9,14.95,Deseable,Moderate
2018-04-16 00:00,25.13,14.47,Aceptable,Moderate
2018-04-17 00:00,16.9,14.23,Deseable,Moderate
2018-04-18 00:00,22.66,15.6,Deseable,Moderate
2018-04-19 00:00,16.28,15.57,Deseable,Moderate
2018-04-20 00:00,15.87,15.98,Deseable,Moderate
2018-04-21 00:00,22.05,15.11,Deseable,Moderate
2018-04-22 00:00,17.35,15.08,Deseable,Moderate
2018-04-23 00:00,17.04,15.26,Deseable,Moderate
2018-04-24 00:00,29.92,15.21,Aceptable,Moderate
2018-04-25 00:00,22.86,14.49,Deseable,Moderate
2018-04-26 00:00,24.63,14.03,Deseable,Moderate
2018-04-27 00:00,26.96,14.6,Aceptable,Moderate
2018-04-28 00:00,22.99,12.81,Deseable,Moderate
2018-04-29 00:00,21.56,13.25,Deseable,Moderate
2018-04-30 00:00,21.41,13.48,Deseable,Moderate
2018-05-01 00:00,26.29,14.41,Aceptable,Moderate
2018-05-02 00:00,19.17,14.58,Deseable,Moderate
2018-05-03 00:00,28.46,15.07,Aceptable,Moderate
2018-05-04 00:00,25.86,14.4,Aceptable,Moderate
2018-05-05 00:00,20.16,14.02,Deseable,Moderate
2018-05-06 00:00,19.15,13.85,Deseable,Moderate
2018-05-07 00:00,19.61,12.18,Deseable,Moderate
2018-05-08 00:00,24.44,13.03,Deseable,Moderate
2018-05-09 00:00,22.06,12.09,Deseable,Moderate
2018-05-10 00:00,28.53,13.25,Aceptable,Moderate
2018-05-11 00:00,30.66,14.83,Aceptable,Moderate
2018-05-12 00:00,26.05,14.43,Aceptable,Moderate
2018-05-13 00:00,18.72,12.55,Deseable,Moderate
2018-05-14 00:00,24.53,13.62,Deseable,Moderate
2018-05-15 00:00,18.8,14.19,Deseable,Moderate
2018-05-16 00:00,21.71,13.77,Deseable,Moderate
2018-05-17 00:00,26.24,15.26,Aceptable,Moderate
2018-05-18 00:00,21.67,13.08,Deseable,Moderate
2018-05-19 00:00,21.07,13.75,Deseable,Moderate
2018-05-20 00:00,30.1,13.75,Aceptable,Moderate
2018-05-21 00:00,19.47,13.32,Deseable,Moderate
2018-05-22 00:00,27.53,13.99,Aceptable,Moderate
2018-05-23 00:00,25.27,13.78,Aceptable,Moderate
2018-05-24 00:00,27.3,14.16,Aceptable,Moderate
2018-05-25 00:00,24.46,14.81,Deseable,Moderate
2018-05-26 00:00,23.61,13.72,Deseable,Moderate
2018-05-27 00:00,26.39,13.27,Aceptable,Moderate
2018-05-28 00:00,27.25,13.9,Aceptable,Moderate
