Fecha,PM25,TMP,IQCA,AQI
2018-01-01 00:00,107.91,8.69,Precaucion,Unhealthy
2018-01-02 00:00,27.33,11.25,Aceptable,Moderate
2018-01-03 00:00,36.48,11.43,Aceptable,USensitiveG
2018-01-04 00:00,19.57,12.2,Deseable,Moderate
2018-01-05 00:00,31.3,11.19,Aceptable,Moderate
2018-01-06 00:00,22.52,11.18,Deseable,Moderate
2018-01-07 00:00,27.33,11.46,Aceptable,Moderate
2018-01-08 00:00,17.6,11.04,Deseable,Moderate
2018-01-09 00:00,27.36,11.15,Aceptable,Moderate
2018-01-10 00:00,22.74,11.48,Deseable,Moderate
2018-01-11 00:00,29.69,11.92,Aceptable,Moderate
2018-01-12 00:00,23.85,11.21,Deseable,Moderate
2018-01-13 00:00,24.46,10.89,Deseable,Moderate
2018-01-14 00:00,13.62,10.48,Deseable,Moderate
2018-01-15 00:00,14.02,9.19,Deseable,Moderate
2018-01-16 00:00,28.06,10.14,Aceptable,Moderate
2018-01-17 00:00,20.94,10.42,Deseable,Moderate
2018-01-18 00:00,21.82,11.11,Deseable,Moderate
2018-01-19 00:00,17.58,11.95,Deseable,Moderate
2018-01-20 00:00,12.75,12.12,Deseable,Moderate
2018-01-21 00:00,16.68,12.4,Deseable,Moderate
2018-01-22 00:00,12.96,12.27,Deseable,Moderate
2018-01-23 00:00,13.55,12.04,Deseable,Moderate
2018-01-24 00:00,12.02,13.11,Deseable,Moderate
2018-01-25 00:00,9.61,12.95,Deseable,Moderate
2018-01-26 00:00,14.42,13.3,Deseable,Moderate
2018-01-27 00:00,26.79,13.07,Aceptable,Moderate
2018-01-28 00:00,18.86,13.6,Deseable,Moderate
2018-01-29 00:00,13.16,13.12,Deseable,Moderate
2018-01-30 00:00,14.42,13.74,Deseable,Moderate
2018-01-31 00:00,25.49,13.38,Aceptable,Moderate
2018-02-01 00:00,16.77,13.99,Deseable,Moderate
2018-02-02 00:00,19.08,13.22,Deseable,Moderate
2018-02-03 00:00,27.0,12.6,Aceptable,Moderate
2018-02-04 00:00,19.27,13.06,Deseable,Moderate
2018-02-05 00:00,14.97,13.22,Deseable,Moderate
2018-02-06 00:00,15.07,12.23,Deseable,Moderate
2018-02-07 00:00,17.74,12.77,Deseable,Moderate
2018-02-08 00:00,20.79,13.46,Deseable,Moderate
2018-02-09 00:00,18.87,13.51,Deseable,Moderate
2018-02-10 00:00,25.26,13.05,Aceptable,Moderate
2018-02-11 00:00,20.65,12.59,Deseable,Moderate
2018-02-12 00:00,26.59,12.4,Aceptable,Moderate
2018-02-13 00:00,22.2,12.28,Deseable,Moderate
2018-02-14 00:00,31.74,12.25,Aceptable,Moderate
2018-02-15 00:00,18.54,11.89,Deseable,Moderate
2018-02-16 00:00,22.36,12.47,Deseable,Moderate
2018-02-17 00:00,24.57,12.19,Deseable,Moderate
2018-02-18 00:00,28.96,11.93,Aceptable,Moderate
2018-02-19 00:00,14.86,11.02,Deseable,Moderate
2018-02-20 00:00,16.6,12.24,Deseable,Moderate
2018-02-21 00:00,12.06,12.48,Deseable,Moderate
2018-02-22 00:00,15.64,11.18,Deseable,Moderate
2018-02-23 00:00,11.07,11.42,Deseable,Moderate
2018-02-24 00:00,10.86,10.3,Deseable,Moderate
2018-02-25 00:00,12.6,11.19,Deseable,Moderate
2018-02-26 00:00,15.26,10.67,Deseable,Moderate
2018-02-27 00:00,17.79,10.93,Deseable,Moderate
2018-02-28 00:00,18.15,10.6,Deseable,Moderate
2018-03-01 00:00,22.96,12.14,Deseable,Moderate
2018-03-02 00:00,17.07,11.47,Deseable,Moderate
2018-03-03 00:00,16.04,12.21,Deseable,Moderate
2018-03-04 00:00,20.3,12.18,Deseable,Moderate
2018-03-05 00:00,22.57,12.02,Deseable,Moderate
2018-03-06 00:00,20.9,11.82,Deseable,Moderate
2018-03-07 00:00,12.1,12.82,Deseable,Moderate
2018-03-08 00:00,16.77,13.87,Deseable,Moderate
2018-03-09 00:00,18.98,13.73,Deseable,Moderate
2018-03-10 00:00,10.2,13.91,Deseable,Moderate
2018-03-11 00:00,9.8,14.37,Deseable,Moderate
2018-03-12 00:00,72.2,14.26,Precaucion,Unhealthy
2018-03-13 00:00,21.6,13.24,Deseable,Moderate
2018-03-14 00:00,19.4,13.43,Deseable,Moderate
2018-03-15 00:00,27.3,12.72,Aceptable,Moderate
2018-03-16 00:00,21.55,13.33,Deseable,Moderate
2018-03-17 00:00,26.82,12.25,Aceptable,Moderate
2018-03-18 00:00,25.57,12.54,Aceptable,Moderate
2018-03-19 00:00,13.61,11.76,Deseable,Moderate
2018-03-20 00:00,23.48,12.27,Deseable,Moderate
2018-03-21 00:00,18.84,13.54,Deseable,Moderate
2018-03-22 00:00,31.5,13.19,Aceptable,Moderate
2018-03-23 00:00,21.82,11.33,Deseable,Moderate
2018-03-24 00:00,26.58,10.83,Aceptable,Moderate
2018-03-25 00:00,19.85,12.89,Deseable,Moderate
2018-03-26 00:00,22.63,13.21,Deseable,Moderate
2018-03-27 00:00,24.41,13.02,Deseable,Moderate
2018-03-28 00:00,21.58,12.59,Deseable,Moderate
2018-03-29 00:00,27.52,11.58,Aceptable,Moderate
2018-03-30 00:00,25.7,11.53,Aceptable,Moderate
2018-03-31 00:00,18.1,11.14,Deseable,Moderate
2018-04-01 00:00,12.42,10.95,Deseable,Moderate
2018-04-02 00:00,15.63,10.41,Deseable,Moderate
2018-04-03 00:00,22.96,11.32,Deseable,Moderate
2018-04-04 00:00,15.68,10.55,Deseable,Moderate
2018-04-05 00:00,24.14,10.5,Deseable,Moderate
2018-04-06 00:00,16.33,10.56,Deseable,Moderate
2018-04-07 00:00,27.33,10.68,Aceptable,Moderate
2018-04-08 00:00,20.51,11.7,Deseable,Moderate
2018-04-09 00:00,23.68,12.28,Deseable,Moderate
2018-04-10 00:00,18.13,10.88,Deseable,Moderate
2018-04-11 00:00,21.45,10.47,Deseable,Moderate
2018-04-12 00:00,32.31,11.43,Aceptable,Moderate
2018-04-13 00:00,19.45,11.95,Deseable,Moderate
2018-04-14 00:00,20.24,12.12,Deseable,Moderate
2018-04-15 00:00,10.01,13.04,Deseable,Moderate
2018-04-16 00:00,12.01,12.57,Deseable,Moderate
2018-04-17 00:00,14.13,12.31,Deseable,Moderate
2018-04-18 00:00,15.51,13.5,Deseable,Moderate
2018-04-19 00:00,12.91,13.71,Deseable,Moderate
2018-04-20 00:00,9.11,13.68,Deseable,Moderate
2018-04-21 00:00,104.17,13.39,Precaucion,Unhealthy
2018-04-22 00:00,,12.92,Incorrecto,Hazardous
2018-04-23 00:00,12.42,13.17,Deseable,Moderate
2018-04-24 00:00,15.21,13.22,Deseable,Moderate
2018-04-25 00:00,17.87,12.68,Deseable,Moderate
2018-04-26 00:00,15.78,11.98,Deseable,Moderate
2018-04-27 00:00,16.95,12.45,Deseable,Moderate
2018-04-28 00:00,16.93,10.77,Deseable,Moderate
2018-04-29 00:00,13.05,11.6,Deseable,Moderate
2018-04-30 00:00,16.76,11.62,Deseable,Moderate
2018-05-01 00:00,24.11,12.07,Deseable,Moderate
2018-05-02 00:00,11.09,12.45,Deseable,Moderate
2018-05-03 00:00,12.35,12.87,Deseable,Moderate
2018-05-04 00:00,19.62,12.37,Deseable,Moderate
2018-05-05 00:00,19.37,12.24,Deseable,Moderate
2018-05-06 00:00,19.13,11.93,Deseable,Moderate
2018-05-07 00:00,12.95,10.26,Deseable,Moderate
2018-05-08 00:00,20.24,11.19,Deseable,Moderate
2018-05-09 00:00,17.61,10.16,Deseable,Moderate
2018-05-10 00:00,22.98,11.43,Deseable,Moderate
2018-05-11 00:00,28.77,12.59,Aceptable,Moderate
2018-05-12 00:00,21.22,12.49,Deseable,Moderate
2018-05-13 00:00,18.95,10.6,Deseable,Moderate
2018-05-14 00:00,73.17,11.53,Precaucion,Unhealthy
2018-05-15 00:00,22.13,12.29,Deseable,Moderate
2018-05-16 00:00,21.02,11.79,Deseable,Moderate
2018-05-17 00:00,17.03,13.01,Deseable,Moderate
2018-05-18 00:00,16.63,11.21,Deseable,Moderate
2018-05-19 00:00,15.88,11.71,Deseable,Moderate
2018-05-20 00:00,27.15,11.88,Aceptable,Moderate
2018-05-21 00:00,14.84,11.53,Deseable,Moderate
2018-05-22 00:00,21.82,12.05,Deseable,Moderate
2018-05-23 00:00,25.42,11.74,Aceptable,Moderate
2018-05-24 00:00,19.0,12.21,Deseable,Moderate
2018-05-25 00:00,16.89,12.43,Deseable,Moderate
2018-05-26 00:00,16.72,12.02,Deseable,Moderate
2018-05-27 00:00,33.21,11.36,Aceptable,Moderate
2018-05-28 00:00,19.61,11.94,Deseable,Moderate
2018-05-29 00:00,28.89,11.58,Aceptable,Moderate
2018-05-30 00:00,21.06,11.85,Deseable,Moderate
2018-05-31 00:00,14.43,12.68,Deseable,Moderate
2018-06-01 00:00,17.31,13.1,Deseable,Moderate
2018-06-02 00:00,14.67,13.42,Deseable,Moderate
2018-06-03 00:00,13.08,13.08,Deseable,Moderate
2018-06-04 00:00,9.05,12.9,Deseable,Moderate
2018-06-05 00:00,8.66,12.73,Deseable,Good
2018-06-06 00:00,9.12,13.5,Deseable,Moderate
2018-06-07 00:00,9.99,13.94,Deseable,Moderate
2018-06-08 00:00,10.53,13.83,Deseable,Moderate
2018-06-09 00:00,13.21,13.86,Deseable,Moderate
2018-06-10 00:00,13.57,12.47,Deseable,Moderate
2018-06-11 00:00,20.34,13.29,Deseable,Moderate
2018-06-12 00:00,12.99,13.29,Deseable,Moderate
2018-06-13 00:00,13.64,12.82,Deseable,Moderate
2018-06-14 00:00,12.51,12.54,Deseable,Moderate
2018-06-15 00:00,12.97,12.6,Deseable,Moderate
2018-06-16 00:00,13.01,13.27,Deseable,Moderate
2018-06-17 00:00,6.87,12.8,Deseable,Good
2018-06-18 00:00,14.36,12.09,Deseable,Moderate
2018-06-19 00:00,8.27,12.15,Deseable,Good
2018-06-20 00:00,11.64,11.33,Deseable,Moderate
2018-06-21 00:00,8.78,12.06,Deseable,Good
2018-06-22 00:00,12.11,12.92,Deseable,Moderate
2018-06-23 00:00,13.96,11.91,Deseable,Moderate
2018-06-24 00:00,17.4,12.1,Deseable,Moderate
2018-06-25 00:00,14.52,12.29,Deseable,Moderate
2018-06-26 00:00,23.31,11.41,Deseable,Moderate
2018-06-27 00:00,12.72,10.84,Deseable,Moderate
2018-06-28 00:00,19.86,10.51,Deseable,Moderate
2018-06-29 00:00,25.99,10.41,Aceptable,Moderate
2018-06-30 00:00,20.82,10.28,Deseable,Moderate
2018-07-01 00:00,10.78,11.79,Deseable,Moderate
2018-07-02 00:00,17.24,11.54,Deseable,Moderate
