Fecha,PM25,TMP,IQCA,AQI
2018-01-01 00:00,18.25,12.12,Deseable,Moderate
2018-01-02 00:00,18.18,14.38,Deseable,Moderate
2018-01-03 00:00,17.83,14.9,Deseable,Moderate
2018-01-04 00:00,16.03,15.26,Deseable,Moderate
2018-01-05 00:00,16.99,14.7,Deseable,Moderate
2018-01-06 00:00,14.04,14.67,Deseable,Moderate
2018-01-07 00:00,14.91,14.39,Deseable,Moderate
2018-01-08 00:00,15.99,14.25,Deseable,Moderate
2018-01-09 00:00,23.01,14.53,Deseable,Moderate
2018-01-10 00:00,17.1,14.86,Deseable,Moderate
2018-01-11 00:00,16.49,15.07,Deseable,Moderate
2018-01-12 00:00,20.22,14.93,Deseable,Moderate
2018-01-13 00:00,15.47,14.36,Deseable,Moderate
2018-01-14 00:00,11.46,14.15,Deseable,Moderate
2018-01-15 00:00,8.02,13.12,Deseable,Good
2018-01-16 00:00,15.65,13.93,Deseable,Moderate
2018-01-17 00:00,8.96,14.23,Deseable,Good
2018-01-18 00:00,7.96,14.8,Deseable,Good
2018-01-19 00:00,7.27,15.79,Deseable,Good
2018-01-20 00:00,8.29,15.73,Deseable,Good
2018-01-21 00:00,7.54,16.05,Deseable,Good
2018-01-22 00:00,9.65,15.8,Deseable,Moderate
2018-01-23 00:00,14.36,15.94,Deseable,Moderate
2018-01-24 00:00,15.54,16.32,Deseable,Moderate
2018-01-25 00:00,10.72,15.75,Deseable,Moderate
2018-01-26 00:00,16.67,15.72,Deseable,Moderate
2018-01-27 00:00,12.95,17.06,Deseable,Moderate
2018-01-28 00:00,13.33,17.06,Deseable,Moderate
2018-01-29 00:00,13.21,16.51,Deseable,Moderate
2018-01-30 00:00,15.32,16.56,Deseable,Moderate
2018-01-31 00:00,17.25,17.17,Deseable,Moderate
2018-02-01 00:00,17.8,16.64,Deseable,Moderate
2018-02-02 00:00,15.11,16.44,Deseable,Moderate
2018-02-03 00:00,18.32,16.01,Deseable,Moderate
2018-02-04 00:00,8.69,16.73,Deseable,Good
2018-02-05 00:00,7.71,17.11,Deseable,Good
2018-02-06 00:00,7.62,15.64,Deseable,Good
2018-02-07 00:00,7.66,16.91,Deseable,Good
2018-02-08 00:00,7.18,17.39,Deseable,Good
2018-02-09 00:00,10.55,17.4,Deseable,Moderate
2018-02-10 00:00,13.63,16.91,Deseable,Moderate
2018-02-11 00:00,12.76,16.79,Deseable,Moderate
2018-02-12 00:00,19.77,16.47,Deseable,Moderate
2018-02-13 00:00,17.91,15.64,Deseable,Moderate
2018-02-14 00:00,16.96,16.15,Deseable,Moderate
2018-02-15 00:00,10.86,15.5,Deseable,Moderate
2018-02-16 00:00,11.59,16.22,Deseable,Moderate
2018-02-17 00:00,14.18,15.84,Deseable,Moderate
2018-02-18 00:00,11.99,15.85,Deseable,Moderate
2018-02-19 00:00,9.6,14.82,Deseable,Moderate
2018-02-20 00:00,11.02,15.78,Deseable,Moderate
2018-02-21 00:00,7.23,16.38,Deseable,Good
2018-02-22 00:00,7.21,15.05,Deseable,Good
2018-02-23 00:00,5.69,14.95,Deseable,Good
2018-02-24 00:00,5.2,14.41,Deseable,Good
2018-02-25 00:00,8.45,15.44,Deseable,Good
2018-02-26 00:00,11.04,14.44,Deseable,Moderate
2018-02-27 00:00,11.92,15.14,Deseable,Moderate
2018-02-28 00:00,9.78,15.02,Deseable,Moderate
2018-03-01 00:00,14.39,16.32,Deseable,Moderate
2018-03-02 00:00,13.47,15.16,Deseable,Moderate
2018-03-03 00:00,12.99,15.86,Deseable,Moderate
2018-03-04 00:00,14.87,15.86,Deseable,Moderate
2018-03-05 00:00,11.81,16.28,Deseable,Moderate
2018-03-06 00:00,11.36,16.25,Deseable,Moderate
2018-03-07 00:00,16.06,16.58,Deseable,Moderate
2018-03-08 00:00,16.32,17.08,Deseable,Moderate
2018-03-09 00:00,12.83,17.16,Deseable,Moderate
2018-03-10 00:00,14.91,17.24,Deseable,Moderate
2018-03-11 00:00,10.84,17.85,Deseable,Moderate
2018-03-12 00:00,13.24,17.58,Deseable,Moderate
2018-03-13 00:00,18.32,17.3,Deseable,Moderate
2018-03-14 00:00,19.4,17.15,Deseable,Moderate
2018-03-15 00:00,30.62,15.98,Aceptable,Moderate
2018-03-16 00:00,18.96,16.87,Deseable,Moderate
2018-03-17 00:00,21.72,15.73,Deseable,Moderate
2018-03-18 00:00,16.58,16.23,Deseable,Moderate
2018-03-19 00:00,9.81,15.1,Deseable,Moderate
2018-03-20 00:00,23.3,15.79,Deseable,Moderate
2018-03-21 00:00,14.22,17.4,Deseable,Moderate
2018-03-22 00:00,17.56,16.29,Deseable,Moderate
2018-03-23 00:00,20.23,15.26,Deseable,Moderate
2018-03-24 00:00,15.83,13.54,Deseable,Moderate
2018-03-25 00:00,16.38,16.55,Deseable,Moderate
2018-03-26 00:00,17.86,16.58,Deseable,Moderate
2018-03-27 00:00,22.36,16.03,Deseable,Moderate
2018-03-28 00:00,21.31,15.97,Deseable,Moderate
2018-03-29 00:00,22.36,15.08,Deseable,Moderate
2018-03-30 00:00,12.16,15.17,Deseable,Moderate
2018-03-31 00:00,11.33,14.63,Deseable,Moderate
2018-04-01 00:00,6.88,14.37,Deseable,Good
2018-04-02 00:00,8.5,14.12,Deseable,Good
2018-04-03 00:00,11.97,15.49,Deseable,Moderate
2018-04-04 00:00,11.27,14.26,Deseable,Moderate
2018-04-05 00:00,12.37,13.61,Deseable,Moderate
2018-04-06 00:00,9.23,13.96,Deseable,Moderate
2018-04-07 00:00,15.59,14.48,Deseable,Moderate
2018-04-08 00:00,13.77,15.87,Deseable,Moderate
2018-04-09 00:00,12.04,16.21,Deseable,Moderate
2018-04-10 00:00,9.99,14.84,Deseable,Moderate
2018-04-11 00:00,17.83,13.93,Deseable,Moderate
2018-04-12 00:00,18.46,14.44,Deseable,Moderate
2018-04-13 00:00,14.43,15.91,Deseable,Moderate
2018-04-14 00:00,14.34,15.48,Deseable,Moderate
2018-04-15 00:00,12.89,16.32,Deseable,Moderate
2018-04-16 00:00,16.62,15.83,Deseable,Moderate
2018-04-17 00:00,10.47,15.98,Deseable,Moderate
2018-04-18 00:00,13.05,17.33,Deseable,Moderate
2018-04-19 00:00,12.41,16.95,Deseable,Moderate
2018-04-20 00:00,10.97,17.29,Deseable,Moderate
2018-04-21 00:00,14.76,16.7,Deseable,Moderate
2018-04-22 00:00,10.52,16.64,Deseable,Moderate
2018-04-23 00:00,9.43,16.84,Deseable,Moderate
2018-04-24 00:00,17.76,17.12,Deseable,Moderate
2018-04-25 00:00,16.39,16.01,Deseable,Moderate
2018-04-26 00:00,16.71,15.49,Deseable,Moderate
2018-04-27 00:00,16.06,16.07,Deseable,Moderate
2018-04-28 00:00,10.68,14.33,Deseable,Moderate
2018-04-29 00:00,14.18,14.36,Deseable,Moderate
2018-04-30 00:00,12.97,15.12,Deseable,Moderate
2018-05-01 00:00,14.66,13.87,Deseable,Moderate
2018-05-02 00:00,12.98,16.22,Deseable,Moderate
2018-05-03 00:00,15.92,16.23,Deseable,Moderate
2018-05-04 00:00,12.14,15.49,Deseable,Moderate
2018-05-05 00:00,15.67,15.64,Deseable,Moderate
2018-05-06 00:00,14.68,15.7,Deseable,Moderate
2018-05-07 00:00,6.98,14.03,Deseable,Good
2018-05-08 00:00,11.98,15.24,Deseable,Moderate
2018-05-09 00:00,9.34,14.03,Deseable,Moderate
2018-05-10 00:00,14.43,15.12,Deseable,Moderate
2018-05-11 00:00,14.31,16.14,Deseable,Moderate
2018-05-12 00:00,13.64,16.2,Deseable,Moderate
2018-05-13 00:00,11.67,14.36,Deseable,Moderate
2018-05-14 00:00,14.85,15.66,Deseable,Moderate
2018-05-15 00:00,11.09,16.01,Deseable,Moderate
2018-05-16 00:00,16.26,15.41,Deseable,Moderate
2018-05-17 00:00,15.41,16.96,Deseable,Moderate
2018-05-18 00:00,15.23,14.92,Deseable,Moderate
2018-05-19 00:00,10.45,15.79,Deseable,Moderate
2018-05-20 00:00,15.8,15.86,Deseable,Moderate
2018-05-21 00:00,10.39,15.32,Deseable,Moderate
2018-05-22 00:00,13.21,15.41,Deseable,Moderate
2018-05-23 00:00,13.8,15.45,Deseable,Moderate
2018-05-24 00:00,9.48,15.93,Deseable,Moderate
2018-05-25 00:00,11.47,16.62,Deseable,Moderate
2018-05-26 00:00,19.15,15.16,Deseable,Moderate
2018-05-27 00:00,12.41,14.82,Deseable,Moderate
2018-05-28 00:00,10.52,15.84,Deseable,Moderate
2018-05-29 00:00,16.75,15.37,Deseable,Moderate
2018-05-30 00:00,15.15,15.7,Deseable,Moderate
2018-05-31 00:00,15.74,15.77,Deseable,Moderate
2018-06-01 00:00,18.64,15.95,Deseable,Moderate
2018-06-02 00:00,12.92,17.4,Deseable,Moderate
2018-06-03 00:00,10.45,15.91,Deseable,Moderate
2018-06-04 00:00,10.66,16.59,Deseable,Moderate
2018-06-05 00:00,13.0,16.52,Deseable,Moderate
2018-06-06 00:00,13.11,17.0,Deseable,Moderate
2018-06-07 00:00,13.46,16.62,Deseable,Moderate
2018-06-08 00:00,15.89,16.83,Deseable,Moderate
2018-06-09 00:00,15.2,17.26,Deseable,Moderate
2018-06-10 00:00,12.36,15.63,Deseable,Moderate
2018-06-11 00:00,14.03,17.13,Deseable,Moderate
2018-06-12 00:00,18.2,16.57,Deseable,Moderate
2018-06-13 00:00,13.73,15.33,Deseable,Moderate
2018-06-14 00:00,17.23,16.01,Deseable,Moderate
2018-06-15 00:00,14.56,15.63,Deseable,Moderate
2018-06-16 00:00,16.76,16.04,Deseable,Moderate
2018-06-17 00:00,8.98,16.61,Deseable,Good
2018-06-18 00:00,9.04,16.1,Deseable,Moderate
2018-06-19 00:00,12.43,15.84,Deseable,Moderate
2018-06-20 00:00,11.52,14.77,Deseable,Moderate
2018-06-21 00:00,10.63,15.49,Deseable,Moderate
2018-06-22 00:00,13.07,15.99,Deseable,Moderate
