Fecha,PM25,TMP,IQCA,AQI
2018-01-01 00:00,14.27,12.29,Deseable,Moderate
2018-01-02 00:00,19.36,14.08,Deseable,Moderate
2018-01-03 00:00,14.07,15.21,Deseable,Moderate
2018-01-04 00:00,16.0,15.25,Deseable,Moderate
2018-01-05 00:00,17.57,14.59,Deseable,Moderate
2018-01-06 00:00,10.42,14.56,Deseable,Moderate
2018-01-07 00:00,12.72,15.03,Deseable,Moderate
2018-01-08 00:00,16.42,14.13,Deseable,Moderate
2018-01-09 00:00,22.68,14.15,Deseable,Moderate
2018-01-10 00:00,13.62,14.5,Deseable,Moderate
2018-01-11 00:00,16.94,14.55,Deseable,Moderate
2018-01-12 00:00,18.27,14.62,Deseable,Moderate
2018-01-13 00:00,10.24,14.53,Deseable,Moderate
2018-01-14 00:00,3.04,14.56,Deseable,Good
2018-01-15 00:00,6.17,13.09,Deseable,Good
2018-01-16 00:00,7.52,13.38,Deseable,Good
2018-01-17 00:00,4.72,13.33,Deseable,Good
2018-01-18 00:00,6.6,13.45,Deseable,Good
2018-01-19 00:00,8.43,14.74,Deseable,Good
2018-01-20 00:00,8.83,14.35,Deseable,Good
2018-01-21 00:00,5.05,14.83,Deseable,Good
2018-01-22 00:00,5.58,14.95,Deseable,Good
2018-01-23 00:00,12.53,15.63,Deseable,Moderate
2018-01-24 00:00,16.61,16.14,Deseable,Moderate
2018-01-25 00:00,11.24,15.29,Deseable,Moderate
2018-01-26 00:00,17.85,15.65,Deseable,Moderate
2018-01-27 00:00,8.97,16.26,Deseable,Good
2018-01-28 00:00,11.61,16.28,Deseable,Moderate
2018-01-29 00:00,12.99,15.86,Deseable,Moderate
2018-01-30 00:00,19.95,15.85,Deseable,Moderate
2018-01-31 00:00,17.29,16.27,Deseable,Moderate
2018-02-01 00:00,17.98,15.65,Deseable,Moderate
2018-02-02 00:00,14.0,15.88,Deseable,Moderate
2018-02-03 00:00,11.2,15.8,Deseable,Moderate
2018-02-04 00:00,7.67,16.06,Deseable,Good
2018-02-05 00:00,6.01,15.94,Deseable,Good
2018-02-06 00:00,5.62,15.1,Deseable,Good
2018-02-07 00:00,7.12,15.5,Deseable,Good
2018-02-08 00:00,8.88,15.8,Deseable,Good
2018-02-09 00:00,7.29,16.14,Deseable,Good
2018-02-10 00:00,9.93,15.67,Deseable,Moderate
2018-02-11 00:00,9.1,15.35,Deseable,Moderate
2018-02-12 00:00,16.28,15.48,Deseable,Moderate
2018-02-13 00:00,14.2,14.85,Deseable,Moderate
2018-02-14 00:00,13.79,15.48,Deseable,Moderate
2018-02-15 00:00,9.2,14.85,Deseable,Moderate
2018-02-16 00:00,11.07,15.15,Deseable,Moderate
2018-02-17 00:00,11.3,15.42,Deseable,Moderate
