Fecha,PM25,TMP,IQCA,AQI
2018-01-01 00:00,14.42,13.23,Deseable,Moderate
2018-01-02 00:00,15.85,19.18,Deseable,Moderate
2018-01-03 00:00,16.94,16.14,Deseable,Moderate
2018-01-04 00:00,13.51,15.09,Deseable,Moderate
2018-01-05 00:00,15.21,16.31,Deseable,Moderate
2018-01-06 00:00,14.24,11.95,Deseable,Moderate
2018-01-07 00:00,15.01,15.91,Deseable,Moderate
2018-01-08 00:00,15.96,15.61,Deseable,Moderate
2018-01-09 00:00,18.82,19.93,Deseable,Moderate
2018-01-10 00:00,17.48,17.81,Deseable,Moderate
2018-01-11 00:00,15.41,18.17,Deseable,Moderate
2018-01-12 00:00,18.47,21.54,Deseable,Moderate
2018-01-13 00:00,14.95,14.14,Deseable,Moderate
2018-01-14 00:00,11.58,14.06,Deseable,Moderate
2018-01-15 00:00,10.86,9.22,Deseable,Moderate
2018-01-16 00:00,10.62,12.07,Deseable,Moderate
2018-01-17 00:00,8.87,8.74,Deseable,Good
2018-01-18 00:00,8.72,9.61,Deseable,Good
2018-01-19 00:00,7.28,6.35,Deseable,Good
2018-01-20 00:00,10.12,9.8,Deseable,Moderate
2018-01-21 00:00,13.88,12.59,Deseable,Moderate
2018-01-22 00:00,13.55,13.49,Deseable,Moderate
2018-01-23 00:00,14.67,13.37,Deseable,Moderate
2018-01-24 00:00,12.46,14.23,Deseable,Moderate
2018-01-25 00:00,14.23,12.83,Deseable,Moderate
2018-01-26 00:00,14.13,16.38,Deseable,Moderate
2018-01-27 00:00,10.71,9.77,Deseable,Moderate
2018-01-28 00:00,11.74,11.77,Deseable,Moderate
2018-01-29 00:00,14.51,14.53,Deseable,Moderate
2018-01-30 00:00,16.4,16.67,Deseable,Moderate
2018-01-31 00:00,14.02,14.35,Deseable,Moderate
2018-02-01 00:00,11.59,12.47,Deseable,Moderate
2018-02-02 00:00,16.32,14.31,Deseable,Moderate
2018-02-03 00:00,14.46,16.51,Deseable,Moderate
2018-02-04 00:00,7.83,8.51,Deseable,Good
2018-02-05 00:00,11.41,9.11,Deseable,Moderate
2018-02-06 00:00,10.31,10.47,Deseable,Moderate
2018-02-07 00:00,7.66,9.06,Deseable,Good
2018-02-08 00:00,8.6,7.61,Deseable,Good
2018-02-09 00:00,9.62,9.64,Deseable,Moderate
2018-02-10 00:00,10.88,11.05,Deseable,Moderate
2018-02-11 00:00,11.17,11.21,Deseable,Moderate
2018-02-12 00:00,18.21,17.86,Deseable,Moderate
2018-02-13 00:00,18.6,18.11,Deseable,Moderate
2018-02-14 00:00,14.01,15.19,Deseable,Moderate
2018-02-15 00:00,8.54,8.23,Deseable,Good
2018-02-16 00:00,10.11,10.5,Deseable,Moderate
2018-02-17 00:00,9.97,10.38,Deseable,Moderate
2018-02-18 00:00,11.08,11.18,Deseable,Moderate
2018-02-19 00:00,8.84,7.9,Deseable,Good
2018-02-20 00:00,8.15,8.97,Deseable,Good
2018-02-21 00:00,10.36,10.43,Deseable,Moderate
2018-02-22 00:00,9.13,8.56,Deseable,Moderate
2018-02-23 00:00,7.12,7.24,Deseable,Good
2018-02-24 00:00,8.27,7.84,Deseable,Good
2018-02-25 00:00,9.42,9.54,Deseable,Moderate
2018-02-26 00:00,11.1,10.91,Deseable,Moderate
2018-02-27 00:00,12.56,12.8,Deseable,Moderate
2018-02-28 00:00,13.26,12.8,Deseable,Moderate
2018-03-01 00:00,12.74,12.89,Deseable,Moderate
2018-03-02 00:00,11.27,11.37,Deseable,Moderate
2018-03-03 00:00,10.24,9.86,Deseable,Moderate
2018-03-04 00:00,11.64,12.27,Deseable,Moderate
2018-03-05 00:00,8.26,9.06,Deseable,Good
2018-03-06 00:00,11.3,11.22,Deseable,Moderate
2018-03-07 00:00,14.31,11.47,Deseable,Moderate
2018-03-08 00:00,12.15,13.67,Deseable,Moderate
2018-03-09 00:00,13.66,11.69,Deseable,Moderate
2018-03-10 00:00,12.42,14.39,Deseable,Moderate
2018-03-11 00:00,14.0,13.14,Deseable,Moderate
2018-03-12 00:00,12.6,15.3,Deseable,Moderate
2018-03-13 00:00,17.56,15.17,Deseable,Moderate
2018-03-14 00:00,17.98,21.14,Deseable,Moderate
2018-03-15 00:00,22.7,23.69,Deseable,Moderate
2018-03-16 00:00,19.05,21.08,Deseable,Moderate
2018-03-17 00:00,15.43,16.54,Deseable,Moderate
2018-03-18 00:00,12.09,14.94,Deseable,Moderate
2018-03-19 00:00,12.51,10.49,Deseable,Moderate
2018-03-20 00:00,19.95,19.99,Deseable,Moderate
2018-03-21 00:00,15.07,15.21,Deseable,Moderate
2018-03-22 00:00,15.94,17.02,Deseable,Moderate
2018-03-23 00:00,19.14,16.2,Deseable,Moderate
2018-03-24 00:00,17.69,19.33,Deseable,Moderate
2018-03-25 00:00,14.59,16.78,Deseable,Moderate
2018-03-26 00:00,16.97,16.99,Deseable,Moderate
2018-03-27 00:00,18.29,17.67,Deseable,Moderate
2018-03-28 00:00,14.61,12.29,Deseable,Moderate
2018-03-29 00:00,13.37,16.02,Deseable,Moderate
2018-03-30 00:00,12.4,10.51,Deseable,Moderate
2018-03-31 00:00,7.49,9.9,Deseable,Good
2018-04-01 00:00,6.67,6.68,Deseable,Good
2018-04-02 00:00,8.47,7.84,Deseable,Good
2018-04-03 00:00,9.7,9.68,Deseable,Moderate
2018-04-04 00:00,8.66,8.48,Deseable,Good
2018-04-05 00:00,12.49,12.47,Deseable,Moderate
2018-04-06 00:00,10.87,9.49,Deseable,Moderate
2018-04-07 00:00,13.49,13.86,Deseable,Moderate
2018-04-08 00:00,12.36,13.01,Deseable,Moderate
2018-04-09 00:00,10.35,10.75,Deseable,Moderate
2018-04-10 00:00,9.4,8.77,Deseable,Moderate
2018-04-11 00:00,18.25,15.15,Deseable,Moderate
2018-04-12 00:00,15.83,19.23,Deseable,Moderate
2018-04-13 00:00,13.69,12.82,Deseable,Moderate
2018-04-14 00:00,16.04,14.72,Deseable,Moderate
2018-04-15 00:00,12.67,14.34,Deseable,Moderate
2018-04-16 00:00,13.05,14.16,Deseable,Moderate
2018-04-17 00:00,9.67,10.84,Deseable,Moderate
2018-04-18 00:00,11.4,10.49,Deseable,Moderate
2018-04-19 00:00,13.18,12.6,Deseable,Moderate
2018-04-20 00:00,10.62,11.41,Deseable,Moderate
2018-04-21 00:00,12.48,13.18,Deseable,Moderate
2018-04-22 00:00,9.21,9.13,Deseable,Moderate
2018-04-23 00:00,12.64,12.25,Deseable,Moderate
2018-04-24 00:00,17.58,16.11,Deseable,Moderate
2018-04-25 00:00,15.04,15.88,Deseable,Moderate
2018-04-26 00:00,18.61,19.16,Deseable,Moderate
2018-04-27 00:00,16.26,15.64,Deseable,Moderate
2018-04-28 00:00,11.29,10.49,Deseable,Moderate
2018-04-29 00:00,15.68,16.49,Deseable,Moderate
2018-04-30 00:00,13.21,13.55,Deseable,Moderate
2018-05-01 00:00,14.81,14.4,Deseable,Moderate
2018-05-02 00:00,13.58,16.4,Deseable,Moderate
2018-05-03 00:00,16.43,17.4,Deseable,Moderate
2018-05-04 00:00,16.82,14.27,Deseable,Moderate
2018-05-05 00:00,13.41,13.33,Deseable,Moderate
2018-05-06 00:00,10.1,12.89,Deseable,Moderate
2018-05-07 00:00,8.05,6.99,Deseable,Good
2018-05-08 00:00,10.76,11.51,Deseable,Moderate
2018-05-09 00:00,9.86,8.29,Deseable,Moderate
2018-05-10 00:00,14.17,14.64,Deseable,Moderate
2018-05-11 00:00,14.19,13.57,Deseable,Moderate
2018-05-12 00:00,13.96,15.72,Deseable,Moderate
2018-05-13 00:00,9.73,7.87,Deseable,Moderate
2018-05-14 00:00,12.84,14.44,Deseable,Moderate
2018-05-15 00:00,11.78,10.03,Deseable,Moderate
2018-05-16 00:00,11.88,12.99,Deseable,Moderate
2018-05-17 00:00,15.85,16.07,Deseable,Moderate
2018-05-18 00:00,14.23,14.54,Deseable,Moderate
2018-05-19 00:00,12.91,11.92,Deseable,Moderate
2018-05-20 00:00,15.16,16.4,Deseable,Moderate
2018-05-21 00:00,9.27,9.32,Deseable,Moderate
2018-05-22 00:00,14.47,13.06,Deseable,Moderate
2018-05-23 00:00,9.7,11.26,Deseable,Moderate
2018-05-24 00:00,8.52,8.19,Deseable,Good
2018-05-25 00:00,11.46,10.19,Deseable,Moderate
2018-05-26 00:00,13.17,14.15,Deseable,Moderate
2018-05-27 00:00,11.83,12.38,Deseable,Moderate
2018-05-28 00:00,10.36,9.05,Deseable,Moderate
2018-05-29 00:00,14.43,15.0,Deseable,Moderate
2018-05-30 00:00,15.52,16.46,Deseable,Moderate
2018-05-31 00:00,17.44,16.19,Deseable,Moderate
2018-06-01 00:00,18.83,22.17,Deseable,Moderate
2018-06-02 00:00,14.03,15.24,Deseable,Moderate
2018-06-03 00:00,12.95,12.85,Deseable,Moderate
2018-06-04 00:00,11.06,12.24,Deseable,Moderate
2018-06-05 00:00,11.71,9.53,Deseable,Moderate
2018-06-06 00:00,13.52,12.87,Deseable,Moderate
2018-06-07 00:00,16.41,16.77,Deseable,Moderate
2018-06-08 00:00,15.47,16.32,Deseable,Moderate
2018-06-09 00:00,18.95,18.73,Deseable,Moderate
2018-06-10 00:00,13.34,13.2,Deseable,Moderate
2018-06-11 00:00,13.13,15.03,Deseable,Moderate
2018-06-12 00:00,16.22,13.81,Deseable,Moderate
2018-06-13 00:00,16.57,15.49,Deseable,Moderate
2018-06-14 00:00,17.87,19.84,Deseable,Moderate
2018-06-15 00:00,15.05,14.68,Deseable,Moderate
2018-06-16 00:00,17.25,17.46,Deseable,Moderate
2018-06-17 00:00,9.56,11.65,Deseable,Moderate
2018-06-18 00:00,11.03,9.58,Deseable,Moderate
2018-06-19 00:00,7.9,8.96,Deseable,Good
2018-06-20 00:00,11.94,15.27,Deseable,Moderate
2018-06-21 00:00,12.47,10.74,Deseable,Moderate
2018-06-22 00:00,13.49,14.3,Deseable,Moderate
2018-06-23 00:00,16.37,18.02,Deseable,Moderate
2018-06-24 00:00,14.23,14.29,Deseable,Moderate
2018-06-25 00:00,17.11,17.25,Deseable,Moderate
2018-06-26 00:00,14.75,16.51,Deseable,Moderate
2018-06-27 00:00,10.67,11.29,Deseable,Moderate
2018-06-28 00:00,10.05,9.7,Deseable,Moderate
2018-06-29 00:00,9.63,10.15,Deseable,Moderate
2018-06-30 00:00,9.48,9.17,Deseable,Moderate
2018-07-01 00:00,8.35,7.67,Deseable,Good
2018-07-02 00:00,10.44,10.06,Deseable,Moderate
2018-07-03 00:00,13.44,11.99,Deseable,Moderate
2018-07-04 00:00,14.27,17.24,Deseable,Moderate
2018-07-05 00:00,12.64,14.53,Deseable,Moderate
2018-07-06 00:00,15.51,16.04,Deseable,Moderate
2018-07-07 00:00,17.21,18.01,Deseable,Moderate
2018-07-08 00:00,11.79,13.01,Deseable,Moderate
2018-07-09 00:00,10.25,11.47,Deseable,Moderate
2018-07-10 00:00,13.67,14.02,Deseable,Moderate
2018-07-11 00:00,14.51,12.92,Deseable,Moderate
2018-07-12 00:00,12.95,13.54,Deseable,Moderate
2018-07-13 00:00,11.67,13.08,Deseable,Moderate
2018-07-14 00:00,12.12,11.29,Deseable,Moderate
2018-07-15 00:00,10.79,13.14,Deseable,Moderate
2018-07-16 00:00,17.92,17.92,Deseable,Moderate
2018-07-17 00:00,9.34,7.09,Deseable,Moderate
2018-07-18 00:00,12.91,14.59,Deseable,Moderate
2018-07-19 00:00,17.11,17.99,Deseable,Moderate
2018-07-20 00:00,17.1,15.56,Deseable,Moderate
2018-07-21 00:00,16.05,16.65,Deseable,Moderate
2018-07-22 00:00,11.65,12.18,Deseable,Moderate
2018-07-23 00:00,11.38,11.19,Deseable,Moderate
2018-07-24 00:00,12.83,13.1,Deseable,Moderate
2018-07-25 00:00,13.91,12.35,Deseable,Moderate
2018-07-26 00:00,15.89,16.77,Deseable,Moderate
2018-07-27 00:00,14.27,15.59,Deseable,Moderate
2018-07-28 00:00,11.81,12.05,Deseable,Moderate
2018-07-29 00:00,15.17,15.85,Deseable,Moderate
2018-07-30 00:00,7.63,7.73,Deseable,Good
2018-07-31 00:00,12.81,11.1,Deseable,Moderate
2018-08-01 00:00,13.51,13.11,Deseable,Moderate
2018-08-02 00:00,10.82,11.23,Deseable,Moderate
2018-08-03 00:00,16.7,17.24,Deseable,Moderate
2018-08-04 00:00,10.65,8.61,Deseable,Moderate
2018-08-05 00:00,13.28,15.32,Deseable,Moderate
2018-08-06 00:00,8.41,8.97,Deseable,Good
2018-08-07 00:00,8.06,7.94,Deseable,Good
2018-08-08 00:00,5.84,7.86,Deseable,Good
2018-08-09 00:00,8.45,7.97,Deseable,Good
2018-08-10 00:00,7.38,7.03,Deseable,Good
2018-08-11 00:00,7.85,7.91,Deseable,Good
2018-08-12 00:00,7.07,6.83,Deseable,Good
2018-08-13 00:00,17.08,18.77,Deseable,Moderate
2018-08-14 00:00,15.83,22.61,Deseable,Moderate
2018-08-15 00:00,15.7,15.84,Deseable,Moderate
2018-08-16 00:00,14.51,18.86,Deseable,Moderate
2018-08-17 00:00,13.04,14.5,Deseable,Moderate
2018-08-18 00:00,15.23,16.75,Deseable,Moderate
2018-08-19 00:00,13.81,18.16,Deseable,Moderate
2018-08-20 00:00,12.2,12.05,Deseable,Moderate
2018-08-21 00:00,10.31,10.11,Deseable,Moderate
2018-08-22 00:00,14.04,14.36,Deseable,Moderate
2018-08-23 00:00,18.8,17.6,Deseable,Moderate
2018-08-24 00:00,13.42,15.52,Deseable,Moderate
2018-08-25 00:00,12.32,12.0,Deseable,Moderate
2018-08-26 00:00,13.62,12.83,Deseable,Moderate
2018-08-27 00:00,14.24,13.2,Deseable,Moderate
2018-08-28 00:00,18.46,22.52,Deseable,Moderate
2018-08-29 00:00,17.66,16.11,Deseable,Moderate
2018-08-30 00:00,20.52,21.72,Deseable,Moderate
2018-08-31 00:00,20.87,23.85,Deseable,Moderate
2018-09-01 00:00,19.45,23.35,Deseable,Moderate
2018-09-02 00:00,15.14,14.0,Deseable,Moderate
2018-09-03 00:00,16.94,16.7,Deseable,Moderate
2018-09-04 00:00,10.66,11.44,Deseable,Moderate
2018-09-05 00:00,16.82,16.18,Deseable,Moderate
2018-09-06 00:00,21.23,25.37,Deseable,Moderate
2018-09-07 00:00,24.16,22.59,Deseable,Moderate
2018-09-08 00:00,18.12,21.11,Deseable,Moderate
2018-09-09 00:00,18.11,15.31,Deseable,Moderate
2018-09-10 00:00,15.89,16.18,Deseable,Moderate
2018-09-11 00:00,23.05,26.66,Deseable,Moderate
2018-09-12 00:00,23.02,24.63,Deseable,Moderate
2018-09-13 00:00,19.81,19.47,Deseable,Moderate
2018-09-14 00:00,14.66,14.05,Deseable,Moderate
2018-09-15 00:00,17.67,20.13,Deseable,Moderate
2018-09-16 00:00,10.52,9.26,Deseable,Moderate
2018-09-17 00:00,13.6,15.04,Deseable,Moderate
2018-09-18 00:00,17.66,15.05,Deseable,Moderate
2018-09-19 00:00,14.63,18.39,Deseable,Moderate
2018-09-20 00:00,14.44,14.32,Deseable,Moderate
2018-09-21 00:00,16.19,14.63,Deseable,Moderate
2018-09-22 00:00,16.75,17.42,Deseable,Moderate
2018-09-23 00:00,17.4,19.1,Deseable,Moderate
2018-09-24 00:00,15.41,15.61,Deseable,Moderate
2018-09-25 00:00,16.46,17.41,Deseable,Moderate
2018-09-26 00:00,20.94,37.12,Deseable,Moderate
2018-09-27 00:00,16.75,17.42,Deseable,Moderate
2018-09-28 00:00,22.28,27.83,Deseable,Moderate
2018-09-29 00:00,22.97,24.19,Deseable,Moderate
2018-09-30 00:00,20.09,20.31,Deseable,Moderate
2018-10-01 00:00,21.75,23.13,Deseable,Moderate
2018-10-02 00:00,25.2,27.56,Aceptable,Moderate
2018-10-03 00:00,26.88,28.11,Aceptable,Moderate
2018-10-04 00:00,24.23,27.71,Deseable,Moderate
2018-10-05 00:00,22.66,21.73,Deseable,Moderate
2018-10-06 00:00,,35.92,Incorrecto,Hazardous
2018-10-07 00:00,,,Incorrecto,Hazardous
2018-10-08 00:00,,,Incorrecto,Hazardous
2018-10-09 00:00,20.85,23.74,Deseable,Moderate
2018-10-10 00:00,16.43,16.38,Deseable,Moderate
2018-10-11 00:00,19.31,22.63,Deseable,Moderate
2018-10-12 00:00,19.1,18.84,Deseable,Moderate
2018-10-13 00:00,21.87,22.89,Deseable,Moderate
2018-10-14 00:00,16.1,22.52,Deseable,Moderate
2018-10-15 00:00,21.95,23.96,Deseable,Moderate
2018-10-16 00:00,22.31,27.82,Deseable,Moderate
2018-10-17 00:00,22.02,33.56,Deseable,Moderate
2018-10-18 00:00,26.0,29.19,Aceptable,Moderate
2018-10-19 00:00,24.8,26.59,Deseable,Moderate
2018-10-20 00:00,17.95,26.31,Deseable,Moderate
2018-10-21 00:00,19.08,18.57,Deseable,Moderate
2018-10-22 00:00,24.08,25.66,Deseable,Moderate
2018-10-23 00:00,21.6,26.55,Deseable,Moderate
2018-10-24 00:00,23.91,30.37,Deseable,Moderate
2018-10-25 00:00,25.63,29.28,Aceptable,Moderate
2018-10-26 00:00,25.86,30.72,Aceptable,Moderate
2018-10-27 00:00,17.54,21.37,Deseable,Moderate
2018-10-28 00:00,21.75,24.19,Deseable,Moderate
2018-10-29 00:00,21.12,23.51,Deseable,Moderate
2018-10-30 00:00,19.71,18.5,Deseable,Moderate
2018-10-31 00:00,21.94,20.31,Deseable,Moderate
2018-11-01 00:00,24.47,23.94,Deseable,Moderate
2018-11-02 00:00,16.37,37.8,Deseable,Moderate
2018-11-03 00:00,13.21,13.11,Deseable,Moderate
2018-11-04 00:00,8.96,11.59,Deseable,Good
2018-11-05 00:00,14.19,11.54,Deseable,Moderate
2018-11-06 00:00,13.48,16.42,Deseable,Moderate
2018-11-07 00:00,15.8,18.78,Deseable,Moderate
2018-11-08 00:00,11.9,14.97,Deseable,Moderate
2018-11-09 00:00,9.55,9.72,Deseable,Moderate
2018-11-10 00:00,8.82,8.72,Deseable,Good
2018-11-11 00:00,10.07,10.98,Deseable,Moderate
2018-11-12 00:00,13.69,12.41,Deseable,Moderate
2018-11-13 00:00,12.87,13.99,Deseable,Moderate
2018-11-14 00:00,15.46,13.16,Deseable,Moderate
2018-11-15 00:00,10.69,14.5,Deseable,Moderate
2018-11-16 00:00,11.83,8.64,Deseable,Moderate
2018-11-17 00:00,21.32,23.94,Deseable,Moderate
2018-11-18 00:00,13.85,19.2,Deseable,Moderate
2018-11-19 00:00,16.12,19.23,Deseable,Moderate
2018-11-20 00:00,12.6,11.93,Deseable,Moderate
2018-11-21 00:00,19.63,20.47,Deseable,Moderate
2018-11-22 00:00,13.94,14.94,Deseable,Moderate
2018-11-23 00:00,8.52,7.57,Deseable,Good
2018-11-24 00:00,12.99,12.35,Deseable,Moderate
2018-11-25 00:00,11.67,13.32,Deseable,Moderate
2018-11-26 00:00,9.19,9.01,Deseable,Moderate
2018-11-27 00:00,9.44,8.59,Deseable,Moderate
2018-11-28 00:00,14.3,14.39,Deseable,Moderate
2018-11-29 00:00,14.42,14.49,Deseable,Moderate
2018-11-30 00:00,13.76,12.55,Deseable,Moderate
2018-12-01 00:00,13.16,14.37,Deseable,Moderate
2018-12-02 00:00,12.36,12.48,Deseable,Moderate
2018-12-03 00:00,15.32,14.07,Deseable,Moderate
2018-12-04 00:00,16.87,17.02,Deseable,Moderate
2018-12-05 00:00,15.66,16.05,Deseable,Moderate
2018-12-06 00:00,16.37,15.36,Deseable,Moderate
2018-12-07 00:00,16.92,17.46,Deseable,Moderate
2018-12-08 00:00,16.31,16.22,Deseable,Moderate
2018-12-09 00:00,14.72,15.41,Deseable,Moderate
2018-12-10 00:00,14.89,15.8,Deseable,Moderate
2018-12-11 00:00,15.88,16.17,Deseable,Moderate
2018-12-12 00:00,10.89,10.74,Deseable,Moderate
2018-12-13 00:00,12.22,12.4,Deseable,Moderate
2018-12-14 00:00,10.07,9.51,Deseable,Moderate
2018-12-15 00:00,11.24,10.68,Deseable,Moderate
2018-12-16 00:00,15.04,14.54,Deseable,Moderate
2018-12-17 00:00,14.69,16.29,Deseable,Moderate
2018-12-18 00:00,14.09,12.89,Deseable,Moderate
2018-12-19 00:00,10.01,11.51,Deseable,Moderate
2018-12-20 00:00,9.75,8.81,Deseable,Moderate
2018-12-21 00:00,10.33,15.02,Deseable,Moderate
2018-12-22 00:00,15.63,13.18,Deseable,Moderate
2018-12-23 00:00,12.91,12.83,Deseable,Moderate
2018-12-24 00:00,15.16,14.96,Deseable,Moderate
2018-12-25 00:00,12.24,14.15,Deseable,Moderate
2018-12-26 00:00,9.29,9.47,Deseable,Moderate
2018-12-27 00:00,8.23,8.52,Deseable,Good
2018-12-28 00:00,12.93,10.57,Deseable,Moderate
2018-12-29 00:00,16.71,17.42,Deseable,Moderate
2018-12-30 00:00,12.41,13.56,Deseable,Moderate
2018-12-31 00:00,13.88,13.5,Deseable,Moderate
2019-01-01 00:00,8.12,39.0,Deseable,Good
2019-01-02 00:00,6.3,6.18,Deseable,Good
2019-01-03 00:00,9.91,8.97,Deseable,Moderate
2019-01-04 00:00,11.48,9.73,Deseable,Moderate
2019-01-05 00:00,13.63,12.95,Deseable,Moderate
2019-01-06 00:00,13.72,14.33,Deseable,Moderate
2019-01-07 00:00,14.9,15.31,Deseable,Moderate
2019-01-08 00:00,11.63,12.53,Deseable,Moderate
2019-01-09 00:00,9.4,11.36,Deseable,Moderate
2019-01-10 00:00,7.28,7.19,Deseable,Good
2019-01-11 00:00,6.8,6.52,Deseable,Good
2019-01-12 00:00,11.77,12.17,Deseable,Moderate
2019-01-13 00:00,9.82,9.9,Deseable,Moderate
2019-01-14 00:00,9.07,7.68,Deseable,Moderate
2019-01-15 00:00,10.17,10.78,Deseable,Moderate
2019-01-16 00:00,14.35,14.12,Deseable,Moderate
2019-01-17 00:00,13.11,14.03,Deseable,Moderate
2019-01-18 00:00,13.6,15.0,Deseable,Moderate
2019-01-19 00:00,10.16,10.98,Deseable,Moderate
2019-01-20 00:00,7.4,7.59,Deseable,Good
2019-01-21 00:00,7.64,6.86,Deseable,Good
2019-01-22 00:00,11.89,11.11,Deseable,Moderate
2019-01-23 00:00,12.2,12.48,Deseable,Moderate
2019-01-24 00:00,12.99,12.84,Deseable,Moderate
2019-01-25 00:00,13.79,14.66,Deseable,Moderate
2019-01-26 00:00,13.77,13.84,Deseable,Moderate
2019-01-27 00:00,11.26,12.29,Deseable,Moderate
2019-01-28 00:00,10.6,9.77,Deseable,Moderate
2019-01-29 00:00,9.19,9.23,Deseable,Moderate
2019-01-30 00:00,8.65,9.07,Deseable,Good
2019-01-31 00:00,6.46,8.21,Deseable,Good
2019-02-01 00:00,7.17,6.73,Deseable,Good
2019-02-02 00:00,8.42,7.51,Deseable,Good
2019-02-03 00:00,6.49,7.56,Deseable,Good
2019-02-04 00:00,6.76,7.03,Deseable,Good
2019-02-05 00:00,7.1,6.46,Deseable,Good
2019-02-06 00:00,13.14,13.27,Deseable,Moderate
2019-02-07 00:00,11.44,11.55,Deseable,Moderate
2019-02-08 00:00,10.78,10.58,Deseable,Moderate
2019-02-09 00:00,7.53,9.39,Deseable,Good
2019-02-10 00:00,7.6,9.2,Deseable,Good
2019-02-11 00:00,8.01,7.42,Deseable,Good
2019-02-12 00:00,11.8,10.06,Deseable,Moderate
2019-02-13 00:00,11.0,12.21,Deseable,Moderate
2019-02-14 00:00,15.35,15.22,Deseable,Moderate
2019-02-15 00:00,15.98,15.66,Deseable,Moderate
2019-02-16 00:00,19.42,21.84,Deseable,Moderate
2019-02-17 00:00,17.48,16.73,Deseable,Moderate
2019-02-18 00:00,11.06,11.27,Deseable,Moderate
2019-02-19 00:00,9.52,10.68,Deseable,Moderate
2019-02-20 00:00,9.21,8.7,Deseable,Moderate
2019-02-21 00:00,3.29,6.16,Deseable,Good
2019-02-22 00:00,15.26,14.3,Deseable,Moderate
2019-02-23 00:00,16.5,16.91,Deseable,Moderate
2019-02-24 00:00,6.8,8.79,Deseable,Good
2019-02-25 00:00,8.75,8.4,Deseable,Good
2019-02-26 00:00,9.82,10.11,Deseable,Moderate
2019-02-27 00:00,9.66,9.11,Deseable,Moderate
2019-02-28 00:00,12.71,10.66,Deseable,Moderate
2019-03-01 00:00,15.58,13.63,Deseable,Moderate
2019-03-02 00:00,14.29,17.74,Deseable,Moderate
2019-03-03 00:00,16.01,15.7,Deseable,Moderate
2019-03-04 00:00,10.09,10.16,Deseable,Moderate
2019-03-05 00:00,16.64,18.12,Deseable,Moderate
2019-03-06 00:00,16.97,19.53,Deseable,Moderate
2019-03-07 00:00,19.35,18.41,Deseable,Moderate
2019-03-08 00:00,18.09,17.75,Deseable,Moderate
2019-03-09 00:00,16.47,16.48,Deseable,Moderate
2019-03-10 00:00,11.4,13.75,Deseable,Moderate
2019-03-11 00:00,11.53,11.58,Deseable,Moderate
2019-03-12 00:00,14.11,12.33,Deseable,Moderate
2019-03-13 00:00,16.81,19.04,Deseable,Moderate
2019-03-14 00:00,12.07,11.43,Deseable,Moderate
2019-03-15 00:00,11.11,10.08,Deseable,Moderate
2019-03-16 00:00,15.28,15.29,Deseable,Moderate
2019-03-17 00:00,13.66,15.58,Deseable,Moderate
2019-03-18 00:00,15.07,15.3,Deseable,Moderate
2019-03-19 00:00,12.66,11.48,Deseable,Moderate
2019-03-20 00:00,16.05,17.61,Deseable,Moderate
2019-03-21 00:00,10.82,12.04,Deseable,Moderate
2019-03-22 00:00,13.81,9.86,Deseable,Moderate
2019-03-23 00:00,16.96,20.72,Deseable,Moderate
2019-03-24 00:00,17.88,23.0,Deseable,Moderate
