system:time_start,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2024",,,,,,,,,
"Jan 2, 2024",,,,,,,,,
"Jan 3, 2024",,,,,,,,,
"Jan 4, 2024",,,,,,,,,
"Jan 5, 2024",,,,,,,0.597,0.497,
"Jan 6, 2024",0.3,0.288,0.294,0.337,0.298,0.254,0.349,0.305,0.253
"Jan 7, 2024",0.225,0.209,0.222,0.264,0.216,0.251,0.253,0.193,0.238
"Jan 8, 2024",,,,,,0.537,,,
"Jan 9, 2024",,,,,,,,,
"Jan 10, 2024",,0.295,,0.456,0.52,0.349,0.461,0.398,0.436
"Jan 11, 2024",0.353,0.318,0.338,0.261,0.308,0.311,0.255,0.213,0.288
"Jan 12, 2024",,,,,,,,,
"Jan 13, 2024",0.388,0.315,0.328,0.367,0.308,0.307,0.349,0.272,0.277
"Jan 14, 2024",,,,,,,,,
"Jan 15, 2024",,,,0.552,,,0.557,0.507,0.5
"Jan 16, 2024",,,,,,,,,
"Jan 17, 2024",,,,,,,,,
"Jan 18, 2024",0.349,,,,,,,,
"Jan 19, 2024",0.378,0.325,0.346,0.418,0.309,0.309,0.363,0.342,0.274
"Jan 20, 2024",,0.449,0.448,0.371,0.445,0.409,0.412,0.454,0.401
"Jan 21, 2024",,,0.534,,,0.489,,,0.446
"Jan 22, 2024",0.271,0.262,0.251,0.325,0.265,0.235,0.286,0.242,0.205
"Jan 23, 2024",0.138,0.116,0.124,0.128,0.115,0.138,0.132,0.126,0.157
"Jan 24, 2024",0.102,0.119,0.126,0.164,0.113,0.087,0.155,0.129,0.078
"Jan 25, 2024",0.117,0.111,0.103,0.22,0.177,0.2,0.297,0.199,0.209
"Jan 26, 2024",0.186,0.2,0.186,0.181,0.163,0.153,0.137,0.169,0.139
"Jan 27, 2024",0.451,0.514,0.49,0.578,0.509,0.442,0.543,0.528,0.397
"Jan 28, 2024",0.383,0.346,0.353,0.338,0.339,0.316,0.334,0.278,0.355
"Jan 29, 2024",0.207,0.238,0.242,0.3,0.273,0.271,0.309,0.273,0.284
"Jan 30, 2024",0.258,0.272,0.269,0.316,0.279,0.248,0.302,0.311,0.281
"Jan 31, 2024",,,,,,,,,
"Feb 1, 2024",0.472,0.431,0.408,0.455,0.429,0.419,0.456,0.412,0.395
"Feb 2, 2024",,,,,,,,,
"Feb 3, 2024",,0.528,0.528,,,0.527,,0.497,
"Feb 4, 2024",,,,,,,,0.182,
"Feb 5, 2024",,,,,,,,,
"Feb 6, 2024",0.282,0.293,0.297,0.374,0.282,0.252,0.372,0.293,0.314
"Feb 7, 2024",,,,,,,,,
"Feb 8, 2024",0.214,0.185,0.194,0.262,0.2,0.246,0.271,0.142,0.201
"Feb 9, 2024",0.558,0.362,0.373,0.336,0.286,0.548,0.257,0.219,
"Feb 10, 2024",,,,0.466,0.493,,,0.327,
"Feb 11, 2024",,,0.364,,,0.379,0.425,,
"Feb 12, 2024",,,,,,,,,
"Feb 13, 2024",,,0.405,0.31,,0.414,0.341,0.366,0.409
"Feb 14, 2024",0.272,0.221,0.218,0.306,0.243,0.213,0.299,0.271,0.208
"Feb 15, 2024",0.309,0.293,0.297,0.325,0.267,0.371,0.343,0.331,0.334
"Feb 16, 2024",0.353,0.373,0.366,,,0.327,0.355,0.258,
"Feb 17, 2024",0.57,,,,,,,0.302,
"Feb 18, 2024",,,,,,,,,
"Feb 19, 2024",,,,,,,,,
"Feb 20, 2024",,,,,,,,,
"Feb 21, 2024",,,,,,,,,
"Feb 22, 2024",,,0.356,0.286,,0.36,0.281,0.213,
"Feb 23, 2024",,0.591,0.591,0.407,0.591,,0.346,0.292,
"Feb 24, 2024",,,,0.537,0.382,,0.531,0.521,0.546
"Feb 25, 2024",,,0.574,0.42,,0.563,0.406,0.385,0.542
"Feb 26, 2024",,,,,,,,,0.599
