Fecha,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
2000-02-24,,,,,,,,,
2000-02-25,,,,,,,,,
2000-02-26,,,,,,,,,
2000-02-27,,,,,,,,,
2000-02-28,,,,,,,,416.639,
2000-02-29,,,,,,,,,
2000-03-01,,,,,,,,,
2000-03-02,,,,,,,,,
2000-03-03,396.526,405.731,375.108,445.995,355.676,423.415,347.312,376.098,297.264
2000-03-04,,,,,,,,,
2000-03-05,,,,,,,,,
2000-03-06,,,,,,,,,
2000-03-07,,,,,,,,,
2000-03-08,,,,,,,,,
2000-03-09,,,,,,,,,
2000-03-10,,368.0,,,,,360.073,267.678,242.873
2000-03-11,300.753,290.273,327.507,367.774,289.474,315.9,229.159,230.137,266.796
2000-03-12,,,,,,,,428.401,
2000-03-13,,,,,,,,,
2000-03-14,,,,,,,,,
2000-03-15,,,,,,,,,
2000-03-16,,,,,,,,,
2000-03-17,,,,,,,,527.634,
2000-03-18,,,,,,,,,
2000-03-19,,,,,,,,,
2000-03-20,,,,,,,,,
2000-03-21,,,,,,,,,
2000-03-22,,,,,,,,,
2000-03-23,,,,,,,,,
2000-03-24,,,,,,,,,
2000-03-25,,,,,,,,,
2000-03-26,,,,,,,,,
2000-03-27,,,,,,,,,
2000-03-28,,,,,,,,,
2000-03-29,,,,,,,,,
2000-03-30,,,,,,330.946,360.168,,364.535
2000-03-31,,461.0,,,,,,335.506,
2000-04-01,,522.016,,544.933,,,,519.707,543.574
2000-04-02,,284.84,,302.338,402.101,,431.169,235.236,354.06
2000-04-03,,,,,,,,,
2000-04-04,,418.778,,430.627,411.4,,398.732,294.833,305.01
2000-04-05,,,,,,,,,
2000-04-06,281.423,260.056,288.603,300.955,291.477,360.536,295.226,405.0,275.3
2000-04-07,,,,,,,,,
2000-04-08,,,,,,,,,
2000-04-09,419.524,389.674,,439.606,,,,406.132,297.167
2000-04-10,,,,,,,,,
2000-04-11,,,,,,,,,
2000-04-12,,,,,,,,,
2000-04-13,,,,,,,,,
2000-04-14,,,,,,,,,
2000-04-15,486.38,464.99,503.064,494.236,513.289,557.487,487.913,321.786,445.959
2000-04-16,,,,,,,,,
2000-04-17,334.093,317.867,346.497,381.728,303.298,306.28,327.68,215.409,354.135
2000-04-18,382.741,386.778,378.768,443.65,373.928,451.081,324.423,389.938,243.513
2000-04-19,,,,595.0,,,,,
2000-04-20,,,,,,,,,
2000-04-21,,,,,,,,,
2000-04-22,325.0,301.348,439.526,333.194,408.406,369.754,420.291,232.493,290.761
2000-04-23,,,,,,,,,
2000-04-24,,,,,,,,,
2000-04-25,,,,,,,,,
2000-04-26,,,,,,,,,
2000-04-27,,,,,,,,,
2000-04-28,,,,,,,,,
2000-04-29,,,,,589.0,,589.0,,
2000-04-30,,,,,,,,,
2000-05-01,361.874,286.735,349.615,307.338,320.142,341.12,268.74,240.034,259.536
2000-05-02,357.28,447.738,366.346,,349.61,421.003,277.129,311.182,277.101
2000-05-03,,,,,,,,,
2000-05-04,,,,,,,,,
2000-05-05,,,418.0,,395.179,383.559,403.868,,449
2000-05-06,,,,,,,,,
2000-05-07,,,,,,,,,
2000-05-08,435.744,394.174,449.781,413.063,428.269,381.647,386.972,382.835,457.95
2000-05-09,,,,,,,,,
2000-05-10,,,,,,,,,
2000-05-11,497.0,406.249,,480.029,404.051,431.12,385.343,425.871,410.105
2000-05-12,,298.477,,344.345,,,,237.834,
2000-05-13,,,,,,,,,
2000-05-14,,,,,,,,,
2000-05-15,,,,,,,,,
2000-05-16,,,,,,,,,
2000-05-17,,,,,,,,,
2000-05-18,,,,,,,,,
2000-05-19,,,,,,,,,
2000-05-20,,,,,,,,,
2000-05-21,,,,,,,,,
2000-05-22,154.247,,193.635,,187.048,,185.499,220.8,187.386
2000-05-23,,,,,,,,,
2000-05-24,,,,,,,483.0,,
2000-05-25,,,,,,,,,
2000-05-26,167.641,127.379,207.957,237.058,183.136,221.432,143.628,99.521,156.866
2000-05-27,,,,,,,,,
2000-05-28,,,,,,,,,
2000-05-29,276.27,273.745,404.686,335.72,435.39,,337.077,255.773,270.912
2000-05-30,,,,,,,,338.178,
2000-05-31,370.839,412.044,407.214,417.237,450.739,445.5,357.957,,351.723
2000-06-01,,,,,,,,,
2000-06-02,272.06,322.545,382.302,377.253,307.81,285.971,251.892,,239.36
2000-06-03,,,561.316,,559.075,750.01,543.851,,
2000-06-04,238.971,146.929,236.4,190.73,228.465,,240.783,128.752,349
2000-06-05,,,444.176,546.0,451.864,451.0,471.933,,
2000-06-06,172.271,161.548,149.329,221.231,138.116,233.833,123.943,185.414,173.766
2000-06-07,369.887,429.499,382.228,436.293,390.273,417.0,368.698,452.298,280.834
2000-06-08,,509.984,,552.765,,,,,
2000-06-09,493.0,416.956,,366.74,,,465.0,275.09,
2000-06-10,,,,,,,,,
2000-06-11,366.55,387.025,270.455,462.0,299.031,246.228,,200.889,
2000-06-12,,,,,,,,,
2000-06-13,209.063,232.824,202.241,212.378,211.762,310.445,290.738,210.87,306.466
2000-06-14,,,,,,,398.217,,
2000-06-15,,,,,,296.441,,,
2000-06-16,,,,,,,,,
2000-06-17,,,,,,,,,
2000-06-18,,556.409,,560.333,,595.0,,528.676,
2000-06-19,230.889,252.303,282.186,283.754,272.331,,246.024,220.454,178.306
2000-06-20,321.0,210.649,294.518,305.143,213.936,,203.902,91.14,241.571
2000-06-21,,,,,,,,,
2000-06-22,,,,,,,,536.0,
2000-06-23,,,,,,,,,
2000-06-24,,,,,,,,522.108,
2000-06-25,,,,,,,,,
2000-06-26,,,,,,,,,
2000-06-27,,,,,,,,,
2000-06-28,183.016,178.773,275.903,184.699,293.341,278.066,285.798,206.965,223.373
2000-06-29,90.871,42.703,65.669,92.385,52.97,64.297,35.062,35.028,100.136
2000-06-30,,,,,458.739,,420.308,,
2000-07-01,,,,,,,,,
2000-07-02,,,,,,,,,
2000-07-03,,,,,,,,,
2000-07-04,146.614,151.41,147.848,188.194,139.859,241.01,124.624,289.983,143.942
2000-07-05,306.719,325.048,325.711,364.422,,346.0,368.391,306.836,230.587
2000-07-06,40.561,22.634,37.26,72.494,37.103,40.887,15.378,20.696,24.912
2000-07-07,139.136,111.735,148.448,162.122,132.593,210.636,95.014,81.584,92.606
2000-07-08,135.872,108.46,104.476,133.417,97.596,94.959,104.706,88.145,147.405
2000-07-09,280.553,205.586,336.613,317.573,198.852,263.006,176.593,169.768,258.849
2000-07-10,119.05,124.492,108.371,131.367,148.338,166.099,155.143,117.058,192.229
2000-07-11,220.631,115.124,198.539,187.476,185.602,200.554,185.887,140.625,195.178
2000-07-12,,,,,,,,,
2000-07-13,,,,,,,,,
2000-07-14,345.614,403.202,502.5,388.554,502.5,,,321.352,422
2000-07-15,,,341.87,,347.795,441.409,351.124,461.213,
2000-07-16,122.183,97.931,135.802,111.55,148.971,242.906,173.962,114.954,107.071
2000-07-17,315.816,361.718,320.11,,323.589,268.523,271.099,276.667,269.544
2000-07-18,274.895,164.44,300.136,187.817,214.534,214.478,132.69,117.957,97.204
2000-07-19,,,,,,,,,
2000-07-20,210.522,249.452,205.018,288.576,192.679,187.111,207.963,228.798,250.347
2000-07-21,,445.699,,,,503.684,417.752,457.469,492.577
2000-07-22,169.648,275.691,139.353,291.617,126.174,149.9,93.041,342.264,161.968
2000-07-23,,,,,,,,,
2000-07-24,,,,,,,,,
2000-07-25,,,,,,,,,
2000-07-26,,,,,,,,,
2000-07-27,326.705,236.363,375.162,288.749,384.54,353.0,395.077,224.117,311.382
2000-07-28,,,,,,,,,
2000-07-29,262.599,256.116,319.644,249.287,255.959,172.583,245.82,238.0,294.29
2000-07-30,273.431,,316.0,,377.0,,345.25,265.652,255
2000-07-31,55.692,49.099,61.996,73.83,62.12,37.678,56.786,40.238,36.969
2000-08-01,,401.074,,,447.0,328.02,447.0,,344.597
2000-08-02,245.461,214.56,237.86,215.214,238.297,275.381,289.72,212.539,223
2000-08-03,,,,,,,,,
2000-08-04,,,,,,,,,
2000-08-05,310.618,120.923,329.301,338.0,328.552,449.0,345.019,302.823,272.728
2000-08-18,,,,,,,,,
2000-08-19,537.903,537.615,,500.855,,,,522.0,
2000-08-20,,,,,,,,,
2000-08-21,152.188,143.854,237.709,179.016,218.586,182.401,107.082,177.057,130.246
2000-08-22,181.925,153.171,250.027,161.44,224.0,169.578,166.038,219.93,135.423
2000-08-23,226.131,227.315,266.716,241.948,280.962,273.46,316.085,257.654,261.491
2000-08-24,,,,,,,,,
2000-08-25,,,,,,,,,
2000-08-26,526.105,266.17,,398.539,,,,,
2000-08-27,,,,,,,,,
2000-08-28,216.502,136.586,242.622,216.01,249.131,184.702,165.58,184.185,121.259
2000-08-29,,,,,,,,,
2000-08-30,56.214,112.946,51.327,115.773,39.269,20.416,9.077,95.448,26.681
2000-08-31,,,,,,,,,
2000-09-01,579.557,,,587.0,,539.863,550.13,,
2000-09-02,147.579,283.473,223.153,329.48,259.157,339.964,283.691,314.518,124.232
2000-09-03,390.639,495.471,353.339,478.187,310.319,442.862,285.294,520.776,310.582
2000-09-04,,,,,,,,,
2000-09-05,,,,,,,,,
2000-09-06,205.828,153.35,227.394,247.562,203.117,247.359,118.673,81.898,135.456
