system:time_start,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2024",,,,,,,,,
"Jan 2, 2024",,,,,,,,,
"Jan 3, 2024",,,,,,,,,
"Jan 4, 2024",,,,,,,,,
"Jan 5, 2024",,,,,,,0.597,0.525,
"Jan 6, 2024",0.297,0.274,0.28,0.334,0.282,0.247,0.339,0.307,0.252
"Jan 7, 2024",0.224,0.215,0.225,0.269,0.22,0.253,0.251,0.193,0.235
"Jan 8, 2024",,,,,,0.525,,,
"Jan 9, 2024",,,,,,,,,
"Jan 10, 2024",,0.295,,0.466,0.52,0.358,0.466,0.394,0.436
"Jan 11, 2024",0.353,0.317,0.33,0.255,0.313,0.312,0.246,0.206,0.283
"Jan 12, 2024",,,,,,,,,
"Jan 13, 2024",0.39,0.313,0.322,0.371,0.31,0.312,0.353,0.278,0.278
"Jan 14, 2024",,,,,,,,,
"Jan 15, 2024",,,,0.545,,,0.561,0.5,0.498
"Jan 16, 2024",,,,,,,,,
"Jan 17, 2024",,,,,,,,,
"Jan 18, 2024",0.356,,,,,,,,
"Jan 19, 2024",0.386,0.294,0.348,0.332,0.26,0.274,0.373,0.364,0.268
"Jan 20, 2024",,0.447,0.451,0.369,0.425,0.414,0.42,0.476,0.39
"Jan 21, 2024",,,0.534,,,0.482,,,0.446
"Jan 22, 2024",0.253,0.264,0.251,0.34,0.262,0.254,0.271,0.249,0.203
"Jan 23, 2024",0.139,0.114,0.123,0.128,0.115,0.127,0.12,0.119,0.127
"Jan 24, 2024",0.101,0.112,0.124,0.171,0.107,0.091,0.156,0.129,0.077
"Jan 25, 2024",0.117,0.104,0.102,0.185,0.144,0.24,0.317,0.177,0.221
"Jan 26, 2024",0.177,0.189,0.182,0.171,0.158,0.152,0.137,0.166,0.135
"Jan 27, 2024",0.46,0.524,0.498,0.582,0.524,0.449,0.546,0.519,0.399
"Jan 28, 2024",0.391,0.344,0.342,0.336,0.34,0.317,0.346,0.271,0.368
"Jan 29, 2024",0.211,0.221,0.222,0.279,0.27,0.281,0.314,0.261,0.285
"Jan 30, 2024",0.26,0.27,0.266,0.316,0.278,0.251,0.302,0.312,0.284
"Jan 31, 2024",,,,,,,,,
"Feb 1, 2024",0.47,0.418,0.409,0.461,0.439,0.428,0.451,0.418,0.402
"Feb 2, 2024",,,,,,,,,
"Feb 3, 2024",,0.528,0.528,,,0.531,,0.497,
"Feb 4, 2024",,,,,,,,0.181,
"Feb 5, 2024",,,,,,,,,
"Feb 6, 2024",0.275,0.306,0.3,0.384,0.289,0.254,0.384,0.294,0.32
"Feb 7, 2024",,,,,,,,,
"Feb 8, 2024",0.208,0.18,0.181,0.26,0.199,0.253,0.276,0.132,0.213
"Feb 9, 2024",0.558,0.375,0.375,0.336,0.286,0.551,0.253,0.214,
"Feb 10, 2024",,,,0.487,0.501,,,0.325,
"Feb 11, 2024",,,0.364,,,0.398,0.427,,
"Feb 12, 2024",,,,,,,,,
"Feb 13, 2024",,,0.408,0.299,,0.42,0.289,0.396,0.409
"Feb 14, 2024",0.264,0.214,0.213,0.317,0.218,0.205,0.301,0.27,0.207
"Feb 15, 2024",0.308,0.283,0.278,0.305,0.247,0.376,0.362,0.357,0.345
"Feb 16, 2024",0.353,0.38,0.355,,,0.311,0.392,0.246,
"Feb 17, 2024",0.57,,,,,,,0.309,
"Feb 18, 2024",,,,,,,,,
"Feb 19, 2024",,,,,,,,,
"Feb 20, 2024",,,,,,,,,
"Feb 21, 2024",,,,,,,,,
"Feb 22, 2024",,,0.367,0.25,,0.337,0.26,0.231,
"Feb 23, 2024",,0.591,0.591,0.407,0.591,,0.34,0.288,
"Feb 24, 2024",,,,0.563,0.424,,0.563,0.529,0.541
"Feb 25, 2024",,,0.577,0.42,,0.569,0.398,0.368,0.548
"Feb 26, 2024",,,,,,,,,0.599
