Fecha,Carapungo,SanAntonio,Tumbaco,Guamani,Cotocollao,Belisario,Centro,LosChillos,ElCamal
2018-01-01,0,0,0,0,0,0,0,0,0
2018-01-02,0,0,0,0,0,0,0,0,0
2018-01-03,0.481,0.432,0.429,0,0,0,0,0.55,0
2018-01-04,0.222,0.129,0.161,0.241,0.232,0.211,0.192,0.142,0.191
2018-01-05,0.375,0.316,0.354,0.416,0.352,0,0,0.345,0.506
2018-01-06,0,0,0,0,0,0,0,0,0
2018-01-07,0.152,0.094,0.099,0.202,0.21,0.186,0.165,0.086,0.151
2018-01-08,0.472,0.376,0,0.32,0.477,0.34,0.314,0,0.323
2018-01-09,0.404,0.337,0.541,0,0,0,0,0,0
2018-01-10,0,0,0,0,0,0,0,0,0
2018-01-11,0.378,0.222,0.213,0.197,0.267,0.25,0.257,0.243,0.26
2018-01-12,0.533,0.532,0.425,0.528,0.547,0.46,0.43,0.379,0.421
2018-01-13,0,0,0.543,0,0,0.57,0.565,0,0.565
2018-01-14,0.462,0.396,0.354,0,0.482,0.474,0.508,0.477,0
2018-01-15,0,0,0,0,0,0,0,0,0
2018-01-16,0,0,0,0,0,0,0,0,0
2018-01-17,0,0,0,0,0,0,0,0,0
2018-01-18,0.594,0,0,0,0.594,0,0,0,0
2018-01-19,0,0.454,0,0,0,0,0,0,0
2018-01-20,0.515,0.434,0.475,0,0,0,0,0,0
2018-01-21,0,0.53,0.336,0,0,0.356,0.374,0.365,0.384
2018-01-22,0.284,0.419,0.435,0,0.389,0.36,0.331,0.34,0.289
2018-01-23,0,0.272,0.404,0,0,0.449,0,0.424,0
2018-01-24,0.182,0.107,0.199,0.252,0.203,0.209,0.183,0.196,0.178
2018-01-25,0.355,0.287,0.197,0.264,0.337,0.288,0.33,0.251,0.309
2018-01-26,0,0.589,0,0,0,0,0,0,0
2018-01-27,0.401,0.399,0.272,0,0.552,0.488,0.516,0.393,0
2018-01-28,0.302,0,0.214,0.37,0.318,0.293,0.295,0.281,0.294
2018-01-29,0.22,0.176,0.094,0.214,0.201,0.174,0.142,0.075,0.141
2018-01-30,0.179,0.203,0.135,0.194,0.218,0.213,0.162,0.097,0.157
2018-01-31,0.284,0.257,0.261,0.214,0.282,0.237,0.215,0.183,0.193
2018-02-01,0.245,0.284,0.161,0.24,0.29,0.339,0.189,0.289,0.211
2018-02-02,0,0,0,0,0,0,0,0,0
2018-02-03,0.522,0.459,0.461,0.586,0.577,0.599,0.595,0.475,0.487
2018-02-04,0.541,0.55,0,0,0,0,0,0,0
2018-02-05,0.358,0.371,0.44,0,0.4,0.425,0.545,0.47,0
2018-02-06,0,0,0,0,0,0,0,0,0
2018-02-07,0.327,0.282,0.264,0.495,0.351,0.404,0.437,0.401,0.49
2018-02-08,0.402,0.332,0.228,0.477,0.392,0.386,0.395,0.238,0.369
2018-02-09,0.397,0.411,0.291,0.369,0.415,0.329,0.344,0.272,0.309
2018-02-10,0.58,0.512,0.471,0.926,0.651,0.603,0.639,0.449,0.492
2018-02-11,0,0,0,0,0,0,0,0,0
2018-02-12,0.516,0.571,0.444,0.395,0.531,0.477,0.49,0.427,0.49
2018-02-13,0.46,0.5,0.369,0.539,0.533,0.465,0.504,0.417,0.504
2018-02-14,0.508,0.481,0.371,0.502,0.55,0.408,0.413,0.437,0.386
2018-02-15,0,0,0,0,0,0,0,0,0
2018-02-16,0,0,0,0,0,0,0,0,0
2018-02-17,0,0,0,0,0,0,0,0,0
2018-02-18,0,0,0,0,0,0,0,0,0
2018-02-19,0.442,0.354,0,0,0,0,0,0.54,0
2018-02-20,0,0,0,0,0,0,0,0,0
2018-02-21,0.326,0.283,0.373,0.447,0.384,0.389,0.382,0.292,0.312
2018-02-22,0,0,0,0,0,0,0,0,0
2018-02-23,0.57,0.553,0.578,0,0.56,0.593,0,0,0
2018-02-24,0,0.373,0.474,0,0,0,0,0,0
2018-02-25,0.274,0.289,0.303,0.295,0,0,0.381,0.286,0.314
2018-02-26,0,0.494,0.448,0,0,0.407,0.361,0.476,0.54
2018-02-27,0,0,0,0,0,0,0,0,0
2018-02-28,0,0.395,0,0,0,0,0,0,0
2018-03-01,0.386,0.271,0.268,0.427,0.406,0.329,0.328,0.282,0.32
2018-03-02,0,0,0,0,0,0,0,0,0
2018-03-03,0,0,0,0,0,0,0,0,0
2018-03-04,0,0,0,0,0,0,0,0,0
2018-03-05,0,0,0,0,0,0,0,0,0
2018-03-06,0,0,0,0,0,0,0,0,0
2018-03-07,0,0,0,0,0,0,0,0.394,0.366
2018-03-08,0,0,0,0,0,0,0,0,0
2018-03-09,0,0,0.438,0,0,0.291,0.403,0.341,0.358
2018-03-10,0.177,0.205,0.111,0.304,0.216,0.223,0.214,0.201,0.207
2018-03-11,0.419,0.378,0.356,0.322,0.499,0.361,0.362,0.338,0.33
2018-03-12,0.247,0.308,0.191,0.283,0.316,0.259,0.267,0.214,0.248
2018-03-13,0,0,0,0.512,0,0,0.555,0.574,0.566
2018-03-14,0.298,0.256,0.177,0.245,0.3,0.259,0.262,0.225,0.252
2018-03-15,0,0,0,0,0,0,0,0,0
2018-03-16,0,0,0,0,0,0,0,0,0
2018-03-17,0,0,0,0,0,0,0,0,0
2018-03-18,0.521,0.442,0.491,0.516,0.521,0.536,0.588,0.529,0.592
2018-03-19,0,0,0,0,0,0,0,0.573,0.55
2018-03-20,0.524,0.489,0,0.474,0.496,0.575,0.572,0.576,0.538
2018-03-21,0.432,0.382,0.413,0,0.36,0.438,0.459,0,0.459
2018-03-22,0,0,0,0,0,0,0,0,0
2018-03-23,0,0,0,0,0,0,0,0,0
2018-03-24,0,0,0,0,0,0,0,0,0
2018-03-25,0.282,0.184,0.21,0.305,0.258,0.255,0.269,0.242,0.269
2018-03-26,0.594,0.554,0.534,0,0.599,0.524,0.544,0.589,0.553
2018-03-27,0.408,0,0.4,0.387,0.494,0.4,0.382,0.402,0.384
2018-03-28,0.505,0.409,0.336,0,0.527,0.445,0.45,0.352,0.39
2018-03-29,0,0,0,0,0,0,0,0,0
2018-03-30,0.446,0.558,0.571,0,0,0.522,0,0,0
2018-03-31,0,0,0,0,0,0,0,0,0
2018-04-01,0,0.47,0,0,0,0,0,0,0
2018-04-02,0,0,0,0,0,0,0,0,0
2018-04-03,0,0.532,0,0,0,0,0,0,0
2018-04-04,0,0,0.489,0,0,0,0,0,0
2018-04-05,0,0,0,0,0,0,0,0,0
2018-04-06,0,0,0.443,0,0,0,0,0,0
2018-04-07,0,0,0,0,0,0,0,0,0
2018-04-08,0.255,0.156,0,0,0.244,0.533,0.536,0.562,0.54
2018-04-09,0,0,0,0,0,0,0,0,0
2018-04-10,0,0,0,0,0,0,0,0,0
2018-04-11,0,0,0,0,0,0,0,0,0
2018-04-12,0.12,0.131,0.037,0.177,0.125,0.069,0.084,0.227,0.099
2018-04-13,0,0,0,0,0,0,0,0,0
2018-04-14,0.553,0,0,0.414,0.526,0.505,0.47,0.401,0.465
2018-04-15,0.327,0.316,0.339,0,0.373,0.34,0,0.544,0.54
2018-04-16,0,0,0,0,0,0,0,0,0
2018-04-17,0.366,0.255,0.352,0.334,0.352,0.301,0.322,0.415,0.413
2018-04-18,0.392,0.336,0.33,0,0,0.369,0.405,0.37,0.39
2018-04-19,0.369,0.297,0.38,0,0.366,0.372,0.369,0,0.499
2018-04-20,0.27,0.565,0.223,0.35,0.286,0.287,0.368,0.301,0.354
2018-04-21,0.272,0.23,0.253,0.303,0.286,0.242,0.244,0.24,0.25
2018-04-22,0.213,0.175,0.177,0.41,0.231,0.202,0.208,0.197,0.199
2018-04-23,0,0,0,0,0,0,0,0,0
2018-04-24,0.401,0.291,0.297,0.386,0.483,0.288,0.406,0.387,0.396
2018-04-25,0,0,0,0,0,0,0,0,0
2018-04-26,0,0,0,0,0,0,0,0,0
2018-04-27,0.436,0.431,0.346,0,0,0.382,0.399,0.427,0.418
2018-04-28,0,0,0,0,0,0,0,0,0
2018-04-29,0,0,0,0,0,0,0,0,0
2018-04-30,0,0,0,0,0,0,0,0,0
2018-05-01,0,0,0.501,0,0,0.474,0.563,0.473,0.563
2018-05-02,0,0,0,0,0,0,0,0,0
2018-05-03,0.371,0.316,0.387,0.443,0.391,0.458,0.458,0.431,0.43
2018-05-04,0.33,0.279,0.201,0.502,0.348,0.302,0.299,0.289,0.305
2018-05-05,0.405,0.368,0.331,0.442,0.405,0.319,0.332,0.355,0.332
2018-05-06,0.421,0.452,0.296,0,0.441,0.487,0,0,0
2018-05-07,0,0,0,0,0,0,0,0,0
2018-05-08,0,0,0,0,0,0,0,0,0
2018-05-09,0,0,0,0,0,0,0,0,0
2018-05-10,0.377,0.403,0.391,0,0.453,0.372,0.373,0.426,0.396
2018-05-11,0,0,0,0,0,0,0,0,0
2018-05-12,0.4,0,0,0,0,0,0,0,0
2018-05-13,0,0,0,0,0,0,0,0,0
2018-05-14,0,0.393,0.522,0.519,0,0.566,0.566,0.506,0.518
2018-05-15,0.289,0.29,0.395,0.4,0.314,0.383,0.472,0.35,0.499
2018-05-16,0,0,0,0,0,0,0,0,0
2018-05-17,0.375,0.402,0.252,0.305,0.375,0.269,0.321,0.284,0.312
2018-05-18,0,0,0,0,0,0,0,0,0
2018-05-19,0,0.376,0.418,0.394,0.413,0.598,0.539,0.545,0.573
2018-05-20,0,0,0,0,0,0,0,0,0
2018-05-21,0,0.408,0,0.383,0.526,0,0,0,0
2018-05-22,0.288,0.258,0.205,0,0.378,0.261,0,0.318,0
2018-05-23,0,0,0.516,0,0,0.52,0.513,0.488,0.472
2018-05-24,0,0.526,0.345,0,0,0.366,0,0.318,0
2018-05-25,0,0,0,0,0,0.549,0.566,0,0.566
2018-05-26,0.478,0.491,0,0,0,0,0,0,0
