system:time_start,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2024",,,,,,,,,
"Jan 2, 2024",,,,,,,,,
"Jan 3, 2024",,,,,,,,,
"Jan 4, 2024",,,,,,,,,
"Jan 5, 2024",,,,,,,0.597,0.586,
"Jan 6, 2024",0.295,0.27,0.27,0.329,0.27,0.234,0.329,0.283,0.238
"Jan 7, 2024",0.219,0.195,0.195,0.248,0.178,0.268,0.248,0.181,0.193
"Jan 8, 2024",,,,,,0.495,,,
"Jan 9, 2024",,,,,,,,,
"Jan 10, 2024",,0.295,,0.41,0.513,0.238,0.466,0.385,0.436
"Jan 11, 2024",0.358,0.317,0.318,0.243,0.313,0.308,0.271,0.205,0.262
"Jan 12, 2024",,,,,,,,,
"Jan 13, 2024",0.383,0.311,0.311,0.382,0.313,0.33,0.353,0.254,0.275
"Jan 14, 2024",,,,,,,,,
"Jan 15, 2024",,,,0.529,,,0.492,0.498,0.498
"Jan 16, 2024",,,,,,,,,
"Jan 17, 2024",,,,,,,,,
"Jan 18, 2024",0.356,,,,,,,,
"Jan 19, 2024",0.389,0.271,0.282,0.592,0.246,0.226,0.299,0.4,0.244
"Jan 20, 2024",,0.415,0.415,0.432,0.335,0.424,0.415,0.476,0.353
"Jan 21, 2024",,,0.534,,,0.428,,,0.446
"Jan 22, 2024",0.234,0.221,0.196,0.379,0.146,0.24,0.214,0.265,0.196
"Jan 23, 2024",0.157,0.113,0.113,0.134,0.114,0.117,0.11,0.126,0.11
"Jan 24, 2024",0.085,0.05,0.097,0.125,0.082,0.095,0.123,0.059,0.035
"Jan 25, 2024",0.121,0.116,0.107,0.173,0.129,0.088,0.178,0.14,0.132
"Jan 26, 2024",0.177,0.174,0.181,0.15,0.174,0.152,0.123,0.132,0.121
"Jan 27, 2024",0.483,0.54,0.398,0.556,0.587,0.451,0.566,0.513,0.403
"Jan 28, 2024",0.384,0.284,0.284,0.314,0.322,0.288,0.314,0.267,0.273
"Jan 29, 2024",0.19,0.211,0.222,0.272,0.238,0.234,0.241,0.213,0.227
"Jan 30, 2024",0.255,0.262,0.258,0.306,0.279,0.25,0.309,0.33,0.303
"Jan 31, 2024",,,,,,,,,
"Feb 1, 2024",0.503,0.399,0.403,0.494,0.349,0.444,0.497,0.447,0.412
"Feb 2, 2024",,,,,,,,,
"Feb 3, 2024",,0.528,0.528,,,0.518,,0.406,
"Feb 4, 2024",,,,,,,,0.169,
"Feb 5, 2024",,,,,,,,,
"Feb 6, 2024",0.213,0.322,0.322,0.384,0.249,0.241,0.386,0.239,0.349
"Feb 7, 2024",,,,,,,,,
"Feb 8, 2024",0.133,0.165,0.151,0.269,0.218,0.11,0.281,0.123,0.177
"Feb 9, 2024",0.558,0.375,0.375,0.336,0.286,0.551,0.284,0.208,
"Feb 10, 2024",,,,0.487,0.501,,,0.339,
"Feb 11, 2024",,,0.364,,,0.411,0.427,,
"Feb 12, 2024",,,,,,,,,
"Feb 13, 2024",,,0.42,0.266,,0.43,0.283,0.396,0.409
"Feb 14, 2024",0.264,0.21,0.203,0.29,0.214,0.226,0.279,0.225,0.189
"Feb 15, 2024",0.304,0.269,0.269,0.266,0.222,0.425,0.403,0.357,0.353
"Feb 16, 2024",0.347,0.39,0.385,,,0.282,0.392,0.241,
"Feb 17, 2024",0.57,,,,,,,0.309,
"Feb 18, 2024",,,,,,,,,
"Feb 19, 2024",,,,,,,,,
"Feb 20, 2024",,,,,,,,,
"Feb 21, 2024",,,,,,,,,
"Feb 22, 2024",,,0.301,0.228,,0.322,0.143,0.231,
"Feb 23, 2024",,0.591,0.591,0.407,0.591,,0.276,0.249,
"Feb 24, 2024",,,,0.563,0.319,,0.563,0.417,0.529
"Feb 25, 2024",,,0.577,0.42,,0.521,0.42,0.382,0.426
"Feb 26, 2024",,,,,,,,,0.599
