Fecha,Carapungo,SanAntonio,Tumbaco,Guamani,Cotocollao,Belisario,Centro,LosChillos,ElCamal
2018-01-01,0,0,0,0,0,0,0,0,0
2018-01-02,0,0,0,0,0,0,0,0,0
2018-01-03,0.481,0.458,0.471,0,0,0,0,0.575,0
2018-01-04,0.222,0.057,0.058,0.169,0.198,0.227,0.158,0.08,0.158
2018-01-05,0.375,0.285,0.405,0.416,0.375,0,0,0.332,0.506
2018-01-06,0,0,0,0,0,0,0,0,0
2018-01-07,0.125,0.08,0.116,0.171,0.187,0.152,0.147,0.084,0.147
2018-01-08,0.465,0.376,0,0.352,0.477,0.27,0.374,0,0.374
2018-01-09,0.404,0.272,0.541,0,0,0,0,0,0
2018-01-10,0,0,0,0,0,0,0,0,0
2018-01-11,0.369,0.219,0.159,0.225,0.257,0.241,0.26,0.227,0.26
2018-01-12,0.529,0.524,0.421,0.528,0.555,0.46,0.382,0.379,0.382
2018-01-13,0,0,0.543,0,0,0.565,0.565,0,0.565
2018-01-14,0.462,0.422,0.346,0,0.481,0.419,0.508,0.377,0
2018-01-15,0,0,0,0,0,0,0,0,0
2018-01-16,0,0,0,0,0,0,0,0,0
2018-01-17,0,0,0,0,0,0,0,0,0
2018-01-18,0.594,0,0,0,0.594,0,0,0,0
2018-01-19,0,0.454,0,0,0,0,0,0,0
2018-01-20,0.515,0.434,0.488,0,0,0,0,0,0
2018-01-21,0,0.534,0.328,0,0,0.356,0.34,0.347,0.346
2018-01-22,0.572,0.419,0.383,0,0.374,0.26,0.262,0.344,0.276
2018-01-23,0,0.272,0.398,0,0,0.449,0,0.424,0
2018-01-24,0.187,0.122,0.194,0.283,0.182,0.284,0.168,0.185,0.153
2018-01-25,0.291,0.253,0.269,0.264,0.333,0.225,0.359,0.246,0.359
2018-01-26,0,0.589,0,0,0,0,0,0,0
2018-01-27,0.401,0.316,0.279,0,0.509,0.459,0.516,0.393,0
2018-01-28,0.303,0,0.211,0.37,0.314,0.293,0.289,0.297,0.262
2018-01-29,0.167,0.1,0.042,0.142,0.186,0.161,0.161,0.088,0.053
2018-01-30,0.127,0.199,0.104,0.231,0.158,0.158,0.166,0.083,0.166
2018-01-31,0.279,0.301,0.258,0.222,0.306,0.249,0.189,0.183,0.246
2018-02-01,0.201,0.271,0.133,0.151,0.302,0.198,0.186,0.137,0.161
2018-02-02,0,0,0,0,0,0,0,0,0
2018-02-03,0.405,0.387,0.531,0.586,0.539,0.599,0.595,0.503,0.514
2018-02-04,0.532,0.5,0,0,0,0,0,0,0
2018-02-05,0.347,0.358,0.414,0,0.395,0.435,0.545,0.46,0
2018-02-06,0,0,0,0,0,0,0,0,0
2018-02-07,0.323,0.247,0.282,0.495,0.302,0.403,0.403,0.303,0.491
2018-02-08,0.512,0.38,0.18,0.477,0.241,0.329,0.395,0.224,0.399
2018-02-09,0.397,0.411,0.301,0.369,0.422,0.329,0.392,0.265,0.364
2018-02-10,0.525,0.445,0.436,0.921,0.638,0.445,0.558,0.478,0.492
2018-02-11,0,0,0,0,0,0,0,0,0
2018-02-12,0.508,0.571,0.38,0.404,0.531,0.501,0.49,0.4,0.5
2018-02-13,0.443,0.5,0.37,0.552,0.537,0.515,0.51,0.41,0.51
2018-02-14,0.506,0.372,0.377,0.514,0.55,0.405,0.452,0.431,0.37
2018-02-15,0,0,0,0,0,0,0,0,0
2018-02-16,0,0,0,0,0,0,0,0,0
2018-02-17,0,0,0,0,0,0,0,0,0
2018-02-18,0,0,0,0,0,0,0,0,0
2018-02-19,0.442,0.236,0,0,0,0,0,0.454,0
2018-02-20,0,0,0,0,0,0,0,0,0
2018-02-21,0.29,0.215,0.346,0.555,0.139,0.409,0.366,0.258,0.233
2018-02-22,0,0,0,0,0,0,0,0,0
2018-02-23,0.599,0.535,0.578,0,0.54,0.593,0,0,0
2018-02-24,0,0.33,0.474,0,0,0,0,0,0
2018-02-25,0.252,0.352,0.303,0.314,0,0,0.381,0.299,0.299
2018-02-26,0,0.494,0.459,0,0,0.361,0.306,0.456,0.559
2018-02-27,0,0,0,0,0,0,0,0,0
2018-02-28,0,0.395,0,0,0,0,0,0,0
2018-03-01,0.377,0.286,0.27,0.373,0.443,0.313,0.312,0.278,0.305
2018-03-02,0,0,0,0,0,0,0,0,0
2018-03-03,0,0,0,0,0,0,0,0,0
2018-03-04,0,0,0,0,0,0,0,0,0
2018-03-05,0,0,0,0,0,0,0,0,0
2018-03-06,0,0,0,0,0,0,0,0,0
2018-03-07,0,0,0,0,0,0,0,0.394,0.366
2018-03-08,0,0,0,0,0,0,0,0,0
2018-03-09,0,0,0.522,0,0,0.453,0.403,0.031,0.403
2018-03-10,0.207,0.185,0.021,0.294,0.207,0.167,0.191,0.191,0.191
2018-03-11,0.459,0.319,0.308,0.297,0.495,0.266,0.309,0.321,0.293
2018-03-12,0.219,0.234,0.169,0.231,0.315,0.21,0.221,0.135,0.221
2018-03-13,0,0,0,0.533,0,0,0.555,0.574,0.566
2018-03-14,0.291,0.2,0.152,0.246,0.308,0.276,0.285,0.189,0.237
2018-03-15,0,0,0,0,0,0,0,0,0
2018-03-16,0,0,0,0,0,0,0,0,0
2018-03-17,0,0,0,0,0,0,0,0,0
2018-03-18,0.521,0.416,0.47,0.516,0.521,0.536,0.588,0.54,0.572
2018-03-19,0,0,0,0,0,0,0,0.573,0.546
2018-03-20,0.523,0.567,0,0.444,0.457,0.572,0.572,0.576,0.512
2018-03-21,0.47,0.296,0.439,0,0.229,0.376,0.459,0,0.459
2018-03-22,0,0,0,0,0,0,0,0,0
2018-03-23,0,0,0,0,0,0,0,0,0
2018-03-24,0,0,0,0,0,0,0,0,0
2018-03-25,0.183,0.065,0.236,0.302,0.302,0.273,0.273,0.159,0.247
2018-03-26,0.589,0.554,0.508,0,0.599,0.524,0.524,0.585,0.589
2018-03-27,0.408,0,0.505,0.39,0.412,0.336,0.311,0.359,0.384
2018-03-28,0.421,0.38,0.348,0,0.498,0.401,0.445,0.367,0.371
2018-03-29,0,0,0,0,0,0,0,0,0
2018-03-30,0.446,0.545,0.571,0,0,0.522,0,0,0
2018-03-31,0,0,0,0,0,0,0,0,0
2018-04-01,0,0.47,0,0,0,0,0,0,0
2018-04-02,0,0,0,0,0,0,0,0,0
2018-04-03,0,0.507,0,0,0,0,0,0,0
2018-04-04,0,0,0.489,0,0,0,0,0,0
2018-04-05,0,0,0,0,0,0,0,0,0
2018-04-06,0,0,0.443,0,0,0,0,0,0
2018-04-07,0,0,0,0,0,0,0,0,0
2018-04-08,0.202,0.104,0,0,0.2,0.533,0.533,0.562,0.533
2018-04-09,0,0,0,0,0,0,0,0,0
2018-04-10,0,0,0,0,0,0,0,0,0
2018-04-11,0,0,0,0,0,0,0,0,0
2018-04-12,0.169,0.072,0.037,0.197,0.091,0.044,0.054,0.032,0.067
2018-04-13,0,0,0,0,0,0,0,0,0
2018-04-14,0.553,0,0,0.382,0.511,0.505,0.437,0.411,0.47
2018-04-15,0.362,0.224,0.299,0,0.253,0.34,0,0.48,0.54
2018-04-16,0,0,0,0,0,0,0,0,0
2018-04-17,0.349,0.236,0.352,0.334,0.28,0.314,0.29,0.446,0.429
2018-04-18,0.38,0.36,0.33,0,0,0.369,0.392,0.37,0.37
2018-04-19,0.318,0.249,0.38,0,0.421,0.294,0.324,0,0.499
2018-04-20,0.262,0.565,0.193,0.349,0.262,0.256,0.291,0.301,0.323
2018-04-21,0.295,0.244,0.255,0.339,0.295,0.249,0.227,0.224,0.252
2018-04-22,0.189,0.219,0.19,0.41,0.256,0.262,0.157,0.204,0.208
2018-04-23,0,0,0,0,0,0,0,0,0
2018-04-24,0.388,0.234,0.297,0.386,0.483,0.231,0.326,0.398,0.393
2018-04-25,0,0,0,0,0,0,0,0,0
2018-04-26,0,0,0,0,0,0,0,0,0
2018-04-27,0.436,0.435,0.372,0,0,0.352,0.433,0.388,0.433
2018-04-28,0,0,0,0,0,0,0,0,0
2018-04-29,0,0,0,0,0,0,0,0,0
2018-04-30,0,0,0,0,0,0,0,0,0
2018-05-01,0,0,0.384,0,0,0.473,0.506,0.462,0.506
2018-05-02,0,0,0,0,0,0,0,0,0
2018-05-03,0.331,0.314,0.34,0.445,0.357,0.352,0.448,0.424,0.423
2018-05-04,0.343,0.261,0.196,0.498,0.374,0.353,0.263,0.291,0.263
2018-05-05,0.405,0.417,0.331,0.442,0.405,0.326,0.302,0.355,0.318
2018-05-06,0.356,0.356,0.287,0,0.441,0.487,0,0,0
2018-05-07,0,0,0,0,0,0,0,0,0
2018-05-08,0,0,0,0,0,0,0,0,0
2018-05-09,0,0,0,0,0,0,0,0,0
2018-05-10,0.432,0.403,0.363,0,0.368,0.372,0.371,0.41,0.352
2018-05-11,0,0,0,0,0,0,0,0,0
2018-05-12,0.4,0,0,0,0,0,0,0,0
2018-05-13,0,0,0,0,0,0,0,0,0
2018-05-14,0,0.392,0.522,0.519,0,0.566,0.566,0.49,0.532
2018-05-15,0.289,0.334,0.409,0.349,0.302,0.368,0.472,0.354,0.499
2018-05-16,0,0,0,0,0,0,0,0,0
2018-05-17,0.345,0.402,0.273,0.294,0.357,0.238,0.269,0.28,0.269
2018-05-18,0,0,0,0,0,0,0,0,0
2018-05-19,0,0.353,0.415,0.379,0.413,0.598,0.479,0.545,0.528
2018-05-20,0,0,0,0,0,0,0,0,0
2018-05-21,0,0.389,0,0.383,0.533,0,0,0,0
2018-05-22,0.271,0.253,0.209,0,0.375,0.208,0,0.303,0
2018-05-23,0,0,0.516,0,0,0.513,0.52,0.488,0.352
2018-05-24,0,0.526,0.422,0,0,0.366,0,0.318,0
2018-05-25,0,0,0,0,0,0.531,0.595,0,0.595
2018-05-26,0.478,0.491,0,0,0,0,0,0,0
