Fecha,Carapungo,SanAntonio,Tumbaco,Guamani,Cotocollao,Belisario,Centro,LosChillos,ElCamal
2018-01-01 14:00,2.63,4.2,12.38,20.92,2.82,8.08,12.22,2.37,7.63
2018-01-02 14:00,31.21,18.9,24,19.13,34.62,31.12,29.69,20.35,25.34
2018-01-03 14:00,20.43,15.2,9.37,27.42,18.04,28.14,17.66,13.71,48.31
2018-01-04 14:00,21.99,0,12.99,7.13,14.71,11.8,10.93,19,2.94
2018-01-05 14:00,22.46,23.5,7.72,63.62,13.16,14.89,20.94,9.19,58.55
2018-01-06 14:00,13.28,7.5,19.35,25.44,25.78,42.75,37.76,23.64,36.24
2018-01-07 14:00,8.01,13.1,1.25,19.91,3.57,6.4,8.56,7.07,9.61
2018-01-08 14:00,21.8,26.2,10.75,26.54,15.14,18.83,22.52,21.68,20.86
2018-01-09 14:00,20.95,17.6,20.23,16.43,13.67,21,26.05,20.14,30.8
2018-01-10 14:00,14.24,17.4,,13.35,20.73,25.61,18.58,29.39,23.85
2018-01-11 14:00,,13.6,6.53,19.48,17.32,18.29,19.74,13.18,
2018-01-12 14:00,19.05,22.1,42.09,18.13,14.74,,,27.03,49.42
2018-01-13 14:00,18.86,4.8,20.33,29.73,12.98,20.92,25.62,16.69,22.56
2018-01-14 14:00,6.32,13.2,0,7.35,3.42,14.86,3.14,15.3,3.73
2018-01-15 14:00,21.52,22.3,24.27,25.5,20.62,31.17,32.17,8.84,46.11
2018-01-16 14:00,35.63,15.2,16.37,29.92,40.51,8.32,9.99,7.92,31.53
2018-01-17 14:00,22.91,5.3,27.64,22.45,23.5,21.31,14.68,3.29,15.09
2018-01-18 14:00,0,19.4,8.57,5.85,0.89,4.82,15.15,9.01,27.51
2018-01-19 14:00,16.93,8.6,11.78,4.83,12.55,12.39,16.73,3.11,17.37
2018-01-20 14:00,8.16,13.2,3.12,8.3,8.28,9.83,8.39,8.08,8.1
2018-01-21 14:00,9.25,9.1,,1.79,13.26,3.53,9.41,2.12,13.98
2018-01-22 14:00,12.28,9.6,1.85,12.79,16.26,14.29,6.07,4.22,23.4
2018-01-23 14:00,11.9,8.9,10.95,4.5,5.65,9.89,11.98,3.75,30.71
2018-01-24 14:00,9.15,15.1,5.16,5.94,10.47,7.22,0.69,7.71,18.15
2018-01-25 14:00,23.35,19.7,1.5,3.9,9.84,5.49,3.96,1.86,1.56
2018-01-26 14:00,24.44,10.4,11.14,6.43,11.65,16.08,9.94,5.85,12.6
2018-01-27 14:00,13.14,8.7,12.81,33.52,9.38,9.98,4.14,3.65,12.15
2018-01-28 14:00,18.46,21.2,2.9,7.4,7.41,5.17,1.02,9.76,13.8
2018-01-29 14:00,23.31,8.8,24.61,14.69,17.47,16.64,12.57,12.33,21.81
2018-01-30 14:00,33.85,19.6,21.43,15.56,18.78,15.47,16.34,12.91,34.8
2018-01-31 14:00,30.22,30.5,16.45,27.8,20.1,12.91,9.54,15,28.86
2018-02-01 14:00,32.14,26.1,4.67,21.23,16.15,17.51,38.4,24.97,5.3
2018-02-02 14:00,28.69,15.5,21.87,21.35,17.21,17.25,11.65,23.3,28.93
2018-02-03 14:00,24.8,25,19.09,6.44,,17.97,24.15,17.7,17
2018-02-04 14:00,18.84,23.8,14.14,22.87,,5.87,15.98,20.15,23.53
2018-02-05 14:00,9.58,18.3,13.34,10.33,0,18.3,13.03,22.58,6.68
2018-02-06 14:00,31.19,20,12.78,22.04,16.22,18.98,10.42,29.04,14.68
