Fecha,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
2018-01-01 18:00:00,17.42,24.9,19.25,13.31,19.13,26.07,23.34,2.7,8.51
2018-01-02 18:00:00,21.72,27.94,23.64,14.91,10.0,18.82,13.28,27.7,9.55
2018-01-03 18:00:00,19.22,31.59,20.91,13.04,5.6,30.23,19.98,24.8,21.57
2018-01-04 18:00:00,27.11,11.22,30.3,19.17,21.42,21.31,26.05,17.2,13.74
2018-01-05 18:00:00,22.06,21.88,30.91,12.31,23.31,40.92,21.44,-3.0,3.53
2018-01-06 18:00:00,28.64,21.18,31.39,14.51,20.26,23.75,26.79,9.6,5.65
2018-01-07 18:00:00,10.02,20.85,17.95,11.24,8.69,19.39,8.97,8.0,17.54
2018-01-08 18:00:00,18.7,27.21,20.49,16.37,12.98,30.46,21.28,22.0,4.28
2018-01-09 18:00:00,22.25,22.08,21.36,7.35,20.58,30.44,22.22,20.5,3.08
2018-01-10 18:00:00,27.22,21.73,19.8,12.64,8.78,33.11,22.39,27.0,20.66
2018-01-11 18:00:00,18.49,28.01,22.02,4.11,21.28,28.36,22.2,17.6,62.84
2018-01-12 18:00:00,28.98,35.45,23.53,17.02,5.74,27.89,21.84,21.5,22.31
2018-01-13 18:00:00,14.65,26.52,15.83,6.01,16.43,19.34,12.37,27.8,7.15
2018-01-14 18:00:00,11.87,15.69,6.55,1.87,0.59,11.34,7.77,10.9,19.89
2018-01-15 18:00:00,24.83,28.68,15.06,17.5,25.89,21.8,15.5,17.6,11.43
2018-01-16 18:00:00,19.82,12.67,12.9,7.74,18.34,36.45,21.53,10.7,1.07
2018-01-17 18:00:00,26.99,10.44,10.21,3.53,15.4,28.89,9.33,-1.2,5.14
2018-01-18 18:00:00,13.6,23.56,18.62,11.34,11.31,48.45,11.62,11.4,10.86
2018-01-19 18:00:00,10.84,17.88,10.4,11.29,16.9,16.29,14.05,22.5,12.8
2018-01-20 18:00:00,15.49,17.09,16.62,10.61,22.85,15.91,10.62,24.3,20.51
2018-01-21 18:00:00,9.88,13.43,12.26,5.62,4.44,14.96,6.78,1.6,
2018-01-22 18:00:00,14.19,9.98,14.52,6.65,21.03,19.02,16.6,16.1,13.31
2018-01-23 18:00:00,16.25,23.69,22.82,15.28,32.39,19.58,25.91,12.5,20.63
2018-01-24 18:00:00,13.92,24.02,22.5,10.91,10.46,9.92,17.51,4.8,13.6
2018-01-25 18:00:00,13.25,24.5,17.02,11.52,15.4,5.62,13.57,22.1,19.5
2018-01-26 18:00:00,17.75,18.94,17.1,5.27,12.12,52.54,18.73,15.4,12.06
