Fecha,TMP,PM25,AOD_mean,AOD_median,AOD_moda,IQCA,AOD_mean_0,AOD_sum
2018-01-04,13.39708333,22.07916667,0.215,0.211,0.227,Deseable,2.593,7.33
2018-01-07,13.41208333,13.53666667,0.186,0.186,0.152,Deseable,1.655,4.87
2018-01-08,12.98041667,20.62458333,0.327,0.34,0.27,Deseable,0.056,0.17
2018-01-11,13.6,21.66333333,0.245,0.25,0.241,Deseable,2.709,7.89
2018-01-12,13.12083333,24.63952381,0.447,0.46,0.46,Deseable,1.527,4.54
2018-01-13,12.655,20.75458333,0.574,0.57,0.565,Deseable,0.0,0.0
2018-01-14,12.05041667,8.802916667,0.467,0.474,0.419,Deseable,0.733,2.16
2018-01-21,14.07166667,7.589166667,0.367,0.356,0.356,Deseable,0.504,1.48
2018-01-22,14.28333333,13.22541667,0.355,0.36,0.26,Deseable,1.187,3.46
2018-01-23,14.07,12.74125,0.449,0.449,0.449,Deseable,0.0,0.0
2018-01-24,14.87916667,10.80583333,0.213,0.209,0.284,Deseable,2.215,6.52
2018-01-25,14.7375,8.595416667,0.294,0.288,0.225,Deseable,0.79,2.3
2018-01-27,14.95583333,12.84375,0.488,0.488,0.459,Deseable,0.186,0.54
2018-01-28,15.29125,14.27916667,0.287,0.293,0.293,Deseable,1.362,4.05
2018-01-29,14.65782609,13.74238095,0.17,0.174,0.161,Deseable,3.711,6.16
2018-01-30,15.12083333,16.71791667,0.22,0.213,0.158,Deseable,3.942,7.09
2018-01-31,15.12875,20.80125,0.24,0.237,0.249,Deseable,2.382,7.01
2018-02-01,15.00208333,20.96291667,0.311,0.339,0.198,Deseable,5.776,9.8
2018-02-03,14.41041667,18.71041667,0.598,0.599,0.599,Deseable,0.0,0.0
2018-02-05,14.49583333,12.70625,0.433,0.425,0.435,Deseable,1.014,2.95
2018-02-07,14.6,16.52583333,0.425,0.404,0.403,Deseable,0.095,0.28
2018-02-08,14.99666667,12.76583333,0.371,0.386,0.329,Deseable,2.573,6.13
2018-02-09,15.19875,16.48625,0.332,0.329,0.329,Deseable,2.583,7.6
2018-02-10,14.73958333,18.03041667,0.594,0.603,0.445,Deseable,5.255,14.99
2018-02-12,14.47583333,24.31208333,0.471,0.477,0.501,Deseable,4.674,13.2
2018-02-13,14.13583333,21.63291667,0.461,0.465,0.515,Deseable,1.463,4.26
2018-02-14,14.09041667,21.89875,0.435,0.408,0.405,Deseable,3.828,10.35
2018-02-21,13.75458333,14.04458333,0.373,0.389,0.409,Deseable,0.144,0.38
2018-02-23,12.42166667,12.35916667,0.593,0.593,0.593,Deseable,0.0,0.0
2018-02-26,12.54,13.00166667,0.401,0.407,0.361,Deseable,0.0,0.0
2018-03-01,13.84875,20.39083333,0.331,0.329,0.313,Deseable,1.151,3.15
2018-03-09,14.71583333,15.13,0.323,0.291,0.453,Deseable,0.349,0.68
2018-03-10,15.69416667,9.605833333,0.215,0.223,0.167,Deseable,5.129,6.71
2018-03-11,16.155,7.719583333,0.368,0.361,0.266,Deseable,9.854,10.82
2018-03-12,16.20375,11.41875,0.27,0.259,0.21,Deseable,4.044,7.3
2018-03-14,15.36583333,20.90083333,0.252,0.259,0.276,Deseable,4.965,7.97
2018-03-18,14.20666667,19.39125,0.523,0.536,0.536,Deseable,0.475,0.54
2018-03-20,14.32041667,27.79791667,0.578,0.575,0.572,Aceptable,2.65,1.73
2018-03-21,14.98652174,22.02090909,0.435,0.438,0.376,Deseable,1.165,1.04
2018-03-25,14.54333333,14.70875,0.259,0.255,0.273,Deseable,4.517,5.38
2018-03-26,15.27,21.82,0.535,0.524,0.524,Deseable,0.082,0.12
2018-03-27,15.05125,25.40208333,0.411,0.4,0.336,Aceptable,4.557,6.77
2018-03-28,14.14666667,23.29541667,0.457,0.445,0.401,Deseable,0.493,0.78
2018-03-30,13.51875,16.21666667,0.517,0.522,0.522,Deseable,0.0,0.0
2018-04-08,13.34666667,14.70583333,0.533,0.533,0.533,Deseable,0.0,0.0
2018-04-12,12.88125,18.30291667,0.093,0.069,0.044,Deseable,1.132,2.22
2018-04-14,13.79833333,13.82541667,0.503,0.505,0.505,Deseable,2.033,4.05
