Fecha,TMP,PM25,AOD_mean,AOD_median,AOD_moda,IQCA,AOD_mean_0,AOD_sum
2018-01-03,14.15625,27.27083333,0.468,0.481,0.481,Aceptable,0.0,0.0
2018-01-04,14.62125,25.89541667,0.224,0.222,0.222,Aceptable,3.391,7.39
2018-01-05,13.73916667,23.36666667,0.375,0.375,0.375,Deseable,0.0,0.0
2018-01-07,14.38333333,17.49041667,0.152,0.152,0.125,Deseable,1.475,4.34
2018-01-08,13.62833333,23.4475,0.443,0.472,0.465,Deseable,0.342,1.01
2018-01-09,13.54208333,30.38291667,0.393,0.404,0.404,Aceptable,0.002,0.01
2018-01-11,14.39041667,29.333,0.38,0.378,0.369,Aceptable,3.723,10.85
2018-01-12,14.04625,25.77625,0.533,0.533,0.529,Aceptable,2.358,7.01
2018-01-14,13.11708333,8.7,0.459,0.462,0.462,Deseable,0.05,0.15
2018-01-18,13.14083333,12.65291667,0.594,0.594,0.594,Deseable,0.0,0.0
2018-01-20,14.00041667,8.738333333,0.497,0.515,0.515,Deseable,0.348,1.01
2018-01-22,14.53958333,11.68333333,0.365,0.284,0.572,Deseable,0.23,0.67
2018-01-24,15.52666667,23.76916667,0.175,0.182,0.187,Deseable,1.817,5.35
2018-01-25,15.095,16.0875,0.344,0.355,0.291,Deseable,1.194,3.48
2018-01-27,15.47833333,15.2475,0.405,0.401,0.401,Deseable,0.0,0.0
2018-01-28,15.68083333,15.63041667,0.305,0.302,0.303,Deseable,2.605,7.74
2018-01-29,15.27041667,19.25541667,0.213,0.22,0.167,Deseable,2.939,6.43
2018-01-30,15.22521739,20.76947368,0.198,0.179,0.127,Deseable,2.885,5.44
2018-01-31,15.87083333,22.82708333,0.292,0.284,0.279,Deseable,2.489,7.32
2018-02-01,15.80208333,21.64208333,0.277,0.245,0.201,Deseable,2.731,6.95
2018-02-03,15.155,21.12083333,0.53,0.522,0.405,Deseable,1.081,3.15
2018-02-04,15.69625,12.05125,0.541,0.541,0.532,Deseable,0.324,0.96
2018-02-05,15.375,8.809583333,0.353,0.358,0.347,Deseable,0.969,2.82
2018-02-07,15.49791667,10.81333333,0.33,0.327,0.323,Deseable,2.969,8.54
2018-02-08,15.67708333,11.06791667,0.394,0.402,0.512,Deseable,1.637,4.82
2018-02-09,15.87125,12.61125,0.396,0.397,0.397,Deseable,2.704,7.96
2018-02-10,15.26708333,14.07958333,0.593,0.58,0.525,Deseable,2.441,6.97
2018-02-12,14.88125,23.34166667,0.525,0.516,0.508,Deseable,0.0,0.0
2018-02-13,14.72958333,21.37791667,0.459,0.46,0.443,Deseable,1.798,5.24
2018-02-14,14.93666667,21.445,0.509,0.508,0.506,Deseable,0.642,1.74
2018-02-19,14.21041667,7.697916667,0.435,0.442,0.442,Deseable,0.0,0.0
2018-02-21,14.92125,11.14125,0.326,0.326,0.29,Deseable,1.268,3.32
2018-02-23,13.50375,7.68375,0.569,0.57,0.599,Deseable,0.259,0.69
2018-02-25,13.58875,10.88125,0.271,0.274,0.252,Deseable,0.0,0.0
2018-03-01,15.12708333,19.59166667,0.389,0.386,0.377,Deseable,2.043,5.59
2018-03-10,16.27041667,21.44708333,0.186,0.177,0.207,Deseable,2.977,5.48
2018-03-11,16.67333333,12.2175,0.425,0.419,0.459,Deseable,2.069,3.81
2018-03-12,16.43625,19.14041667,0.261,0.247,0.219,Deseable,4.127,7.61
2018-03-14,15.58333333,27.50125,0.299,0.298,0.291,Aceptable,5.128,7.94
2018-03-18,15.19416667,18.47291667,0.514,0.521,0.521,Deseable,3.844,4.34
2018-03-20,15.20458333,30.12,0.519,0.524,0.523,Aceptable,2.261,1.48
2018-03-21,15.92,22.30583333,0.396,0.432,0.47,Deseable,3.768,3.36
2018-03-25,15.08208333,25.72666667,0.268,0.282,0.183,Aceptable,8.833,7.88
2018-03-26,15.88916667,21.20958333,0.593,0.594,0.589,Deseable,3.079,4.39
2018-03-27,15.67333333,23.5725,0.425,0.408,0.408,Deseable,1.418,2.11
2018-03-28,15.25208333,18.96833333,0.485,0.505,0.421,Deseable,4.3,6.77
2018-03-30,14.35041667,16.95791667,0.504,0.446,0.446,Deseable,0.0,0.0
2018-04-08,14.78333333,18.34833333,0.265,0.255,0.202,Deseable,0.704,1.38
2018-04-12,13.80375,26.48666667,0.125,0.12,0.169,Aceptable,1.947,3.82
2018-04-14,14.92416667,19.27916667,0.555,0.553,0.553,Deseable,2.075,4.13
2018-04-15,15.36541667,23.39291667,0.348,0.327,0.362,Deseable,0.79,1.55
2018-04-17,14.99125,14.08791667,0.386,0.366,0.349,Deseable,1.023,2.04
2018-04-18,16.04666667,18.98625,0.392,0.392,0.38,Deseable,0.057,0.12
