Fecha,TMP,PM25,AOD_mean,AOD_median,AOD_moda,IQCA,AOD_mean_0,AOD_sum
2018-01-04,,25.47791666666667,0.194,0.192,0.158,Aceptable,2.421,5.72
2018-01-07,,16.77,0.168,0.165,0.147,Deseable,1.652,4.86
2018-01-08,,18.273333333333333,0.321,0.314,0.374,Deseable,1.806,5.32
2018-01-11,,24.13208333333333,0.248,0.257,0.26,Deseable,2.606,7.59
2018-01-12,,22.202272727272728,0.433,0.43,0.382,Deseable,3.151,9.37
2018-01-13,,20.231666666666666,0.57,0.565,0.565,Deseable,0.575,1.67
2018-01-14,,9.75125,0.508,0.508,0.508,Deseable,0.0,0.0
2018-01-21,,9.0,0.379,0.374,0.34,Deseable,1.239,3.65
2018-01-22,,14.112916666666669,0.34,0.331,0.262,Deseable,1.064,3.1
2018-01-24,,10.723333333333334,0.193,0.183,0.168,Deseable,1.562,4.6
2018-01-25,,9.016666666666667,0.322,0.33,0.359,Deseable,3.03,8.15
2018-01-27,,14.092083333333331,0.516,0.516,0.516,Deseable,0.0,0.0
2018-01-28,,14.67125,0.299,0.295,0.289,Deseable,0.977,2.91
2018-01-29,,16.7225,0.15,0.142,0.161,Deseable,1.797,3.88
2018-01-30,,19.8275,0.183,0.162,0.166,Deseable,2.17,5.32
2018-01-31,,22.605416666666667,0.208,0.215,0.189,Deseable,1.962,5.77
2018-02-01,,26.166363636363634,0.219,0.189,0.186,Aceptable,2.828,6.22
2018-02-03,,20.196666666666665,0.574,0.595,0.595,Deseable,0.41,1.19
2018-02-05,,10.743333333333332,0.545,0.545,0.545,Deseable,0.0,0.0
2018-02-07,,14.312083333333334,0.44,0.437,0.403,Deseable,0.891,2.6
2018-02-08,,12.57,0.388,0.395,0.395,Deseable,0.939,2.76
2018-02-09,,16.076249999999998,0.342,0.344,0.392,Deseable,2.327,6.85
2018-02-10,,18.81458333333333,0.617,0.639,0.558,Deseable,0.471,1.34
2018-02-12,,25.84375,0.465,0.49,0.49,Aceptable,5.119,14.46
2018-02-13,,24.453333333333333,0.5,0.504,0.51,Deseable,1.601,4.66
2018-02-14,,22.26458333333333,0.415,0.413,0.452,Deseable,3.654,9.88
2018-02-21,,12.520833333333334,0.381,0.382,0.366,Deseable,0.568,1.49
2018-02-25,,10.427916666666668,0.381,0.381,0.381,Deseable,0.0,0.0
2018-02-26,,13.111666666666666,0.361,0.361,0.306,Deseable,0.101,0.27
2018-03-01,,22.72958333333333,0.334,0.328,0.312,Deseable,1.97,5.39
2018-03-09,,16.90041666666667,0.384,0.403,0.403,Deseable,0.917,1.8
2018-03-10,,11.009583333333332,0.218,0.214,0.191,Deseable,4.886,6.48
2018-03-11,,8.595416666666667,0.362,0.362,0.309,Deseable,8.656,9.82
2018-03-12,,12.334583333333333,0.278,0.267,0.221,Deseable,5.409,8.53
2018-03-13,,23.06083333333333,0.555,0.555,0.555,Deseable,0.0,0.0
2018-03-14,,19.44833333333333,0.255,0.262,0.285,Deseable,3.697,5.71
2018-03-18,,20.31375,0.588,0.588,0.588,Deseable,0.0,0.0
2018-03-20,,27.13625,0.565,0.572,0.572,Aceptable,1.501,0.98
2018-03-21,,18.78125,0.478,0.459,0.459,Deseable,3.669,3.27
2018-03-25,,18.167916666666667,0.274,0.269,0.273,Deseable,7.938,7.69
2018-03-26,,21.71875,0.54,0.544,0.524,Deseable,2.048,2.92
2018-03-27,,26.840833333333336,0.388,0.382,0.311,Aceptable,7.768,11.55
2018-03-28,,23.859166666666667,0.463,0.45,0.445,Deseable,0.604,0.95
2018-04-08,,14.4475,0.556,0.536,0.533,Deseable,0.0,0.0
2018-04-12,,21.09958333333333,0.121,0.084,0.054,Deseable,2.668,3.17
2018-04-14,,15.0825,0.476,0.47,0.437,Deseable,1.755,3.5
2018-04-17,,13.326666666666668,0.357,0.322,0.29,Deseable,0.195,0.39
2018-04-18,,13.425416666666663,0.408,0.405,0.392,Deseable,0.0,0.0
2018-04-19,,11.020833333333334,0.371,0.369,0.324,Deseable,0.528,1.04
2018-04-20,,9.595416666666669,0.355,0.368,0.291,Deseable,0.395,0.79
2018-04-21,,19.605,0.252,0.244,0.227,Deseable,3.634,7.05
2018-04-22,,12.6575,0.219,0.208,0.157,Deseable,2.781,5.46
2018-04-24,,18.992916666666662,0.392,0.406,0.326,Deseable,2.667,4.83
2018-04-27,,24.49208333333333,0.393,0.399,0.433,Deseable,0.936,1.87
2018-05-01,,19.845416666666665,0.544,0.563,0.506,Deseable,0.034,0.07
2018-05-03,,20.84708333333333,0.449,0.458,0.448,Deseable,3.437,6.74
2018-05-04,,23.85181818181818,0.301,0.299,0.263,Deseable,2.646,5.35
2018-05-05,,16.315,0.336,0.332,0.302,Deseable,2.928,5.75
2018-05-10,,25.05869565217392,0.377,0.373,0.371,Aceptable,4.632,9.09
2018-05-14,,18.723333333333333,0.562,0.566,0.566,Deseable,0.288,0.57
2018-05-15,,16.035999999999998,0.482,0.472,0.472,Deseable,0.862,1.72
2018-05-17,,20.242608695652173,0.33,0.321,0.269,Deseable,0.922,1.81
2018-05-19,,17.027083333333334,0.539,0.539,0.479,Deseable,0.549,1.08
2018-05-23,,19.37875,0.483,0.513,0.52,Deseable,0.042,0.08
2018-05-25,,20.61875,0.561,0.566,0.595,Deseable,2.921,5.82
2018-05-30,,13.275416666666668,0.307,0.305,0.319,Deseable,4.44,8.71
2018-05-31,,14.96875,0.172,0.144,0.134,Deseable,1.368,2.72
2018-06-01,,15.259583333333332,0.261,0.266,0.265,Deseable,2.493,4.97
2018-06-02,,14.403333333333334,0.329,0.326,0.282,Deseable,3.15,6.18
2018-06-04,,11.085416666666667,0.283,0.256,0.256,Deseable,0.0,0.0
2018-06-05,,9.459166666666668,0.457,0.445,0.439,Deseable,3.625,7.33
2018-06-06,,8.953333333333333,0.179,0.175,0.141,Deseable,3.717,5.34
2018-06-07,,9.98095238095238,0.115,0.109,0.064,Deseable,2.713,3.31
2018-06-08,,13.518333333333333,0.123,0.123,0.119,Deseable,1.806,3.6
2018-06-09,,17.811,0.275,0.261,0.255,Deseable,1.335,2.62
2018-06-11,,15.30777777777778,0.211,0.222,0.227,Deseable,3.028,5.94
2018-06-13,,13.059166666666668,0.117,0.117,0.086,Deseable,1.84,3.61
2018-06-14,,14.354583333333332,0.435,0.426,0.418,Deseable,0.438,0.87
