Fecha,Belisario,IQCA_Belisario,Belisario_AOD,Carapungo_AOD,Carapungo,IQCA_Carapungo,Centro_AOD,Centro,IQCA_Centro,Cotocollao_AOD,Cotocollao,IQCA_Cotocollao,ElCamal_AOD,ElCamal,IQCA_ElCamal,Guamani_AOD,Guamani,IQCA_Guamani,LosChillos_AOD,LosChillos,IQCA_LosChillos,SanAntonio_AOD,SanAntonio,IQCA_SanAntonio,Tumbaco_AOD,Tumbaco,IQCA_Tumbaco
2004-09-01,,Incorrecto,185.02,159.242,,Incorrecto,160.031,10.373157894736842,Deseable,186.732,,Incorrecto,128.166,23.025,Deseable,95.224,,Incorrecto,52.223,,Incorrecto,251.739,,Incorrecto,169.167,,Incorrecto
2004-09-02,,Incorrecto,171.326,217.874,,Incorrecto,240.633,17.322,Deseable,189.867,,Incorrecto,259.382,10.929166666666667,Deseable,325.874,,Incorrecto,276.646,,Incorrecto,337.595,,Incorrecto,181.795,,Incorrecto
2004-09-03,39.345,Aceptable,283.734,391.923,,Incorrecto,402.061,14.19,Deseable,354.286,,Incorrecto,417.482,11.805,Deseable,397.287,,Incorrecto,253.032,,Incorrecto,393.224,,Incorrecto,338.154,,Incorrecto
2004-09-04,21.79583333333333,Deseable,,,,Incorrecto,,12.400833333333331,Deseable,,,Incorrecto,,9.427,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-09-05,17.219166666666666,Deseable,,,,Incorrecto,,13.398333333333332,Deseable,,,Incorrecto,,16.307916666666667,Deseable,,,Incorrecto,,,Incorrecto,572.807,,Incorrecto,,,Incorrecto
2004-09-06,25.35818181818182,Aceptable,,,,Incorrecto,,15.147826086956524,Deseable,,,Incorrecto,541.524,24.29583333333333,Deseable,,,Incorrecto,560.999,,Incorrecto,,,Incorrecto,568.713,,Incorrecto
2004-09-07,26.8875,Aceptable,,,,Incorrecto,,18.671304347826087,Deseable,,,Incorrecto,,56.627500000000005,Precaucion,,,Incorrecto,366.277,,Incorrecto,,,Incorrecto,581.649,,Incorrecto
2004-09-08,19.613,Deseable,,,,Incorrecto,,12.020833333333334,Deseable,,,Incorrecto,,14.900416666666668,Deseable,,,Incorrecto,,,Incorrecto,532.0,,Incorrecto,,,Incorrecto
2004-09-09,24.1805,Deseable,,,,Incorrecto,,14.138695652173912,Deseable,,,Incorrecto,,15.75125,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-09-10,20.3275,Deseable,,,,Incorrecto,,12.487083333333333,Deseable,,,Incorrecto,,16.577272727272728,Deseable,,,Incorrecto,,,Incorrecto,460.0,,Incorrecto,,,Incorrecto
2004-09-11,21.26083333333333,Deseable,,548.767,,Incorrecto,,19.27125,Deseable,,,Incorrecto,,24.87833333333333,Deseable,,,Incorrecto,,,Incorrecto,567.547,,Incorrecto,550.363,,Incorrecto
2004-09-12,18.09583333333333,Deseable,,,,Incorrecto,,16.6025,Deseable,,,Incorrecto,,22.27125,Deseable,424.533,,Incorrecto,561.0,,Incorrecto,435.646,,Incorrecto,,,Incorrecto
2004-09-13,10.769583333333337,Deseable,340.042,,,Incorrecto,298.452,8.435416666666667,Deseable,,,Incorrecto,287.232,9.915833333333332,Deseable,,,Incorrecto,264.637,,Incorrecto,,,Incorrecto,423.734,,Incorrecto
2004-09-14,26.1075,Aceptable,293.868,336.504,,Incorrecto,311.34,21.749166666666667,Deseable,338.573,,Incorrecto,322.711,27.74136363636364,Aceptable,398.135,,Incorrecto,379.674,,Incorrecto,322.159,,Incorrecto,381.534,,Incorrecto
2004-09-15,28.53869565217392,Aceptable,328.931,221.108,,Incorrecto,339.348,28.49409090909091,Aceptable,229.814,,Incorrecto,338.67,49.79666666666667,Aceptable,295.92,,Incorrecto,230.352,,Incorrecto,205.493,,Incorrecto,179.522,,Incorrecto
