Fecha,TMP,PM25,AOD_mean,AOD_median,AOD_moda,IQCA,AOD_mean_0,AOD_sum
2018-01-04,13.701666666666666,28.741666666666664,0.191,0.191,0.158,Aceptable,2.059,5.32
2018-01-05,13.3375,25.725,0.506,0.506,0.506,Aceptable,0.006,0.02
2018-01-07,13.128749999999998,20.062916666666663,0.151,0.151,0.147,Deseable,1.575,4.63
2018-01-08,12.804166666666667,23.755,0.323,0.323,0.374,Deseable,0.429,1.26
2018-01-11,13.440416666666666,30.064545454545453,0.265,0.26,0.26,Aceptable,2.832,8.25
2018-01-12,12.97125,25.24708333333333,0.426,0.421,0.382,Aceptable,4.231,12.58
2018-01-13,12.64625,23.017916666666665,0.571,0.565,0.565,Deseable,0.022,0.07
2018-01-21,14.56125,14.44875,0.388,0.384,0.346,Deseable,0.9,2.65
2018-01-22,14.46875,14.989583333333334,0.314,0.289,0.276,Deseable,1.61,4.69
2018-01-24,14.969583333333333,17.017500000000002,0.18,0.178,0.153,Deseable,1.47,4.33
2018-01-25,14.885833333333332,14.186666666666667,0.31,0.309,0.359,Deseable,4.142,8.23
2018-01-28,15.66875,17.49875,0.295,0.294,0.262,Deseable,2.069,6.15
2018-01-29,15.071666666666667,18.9225,0.15,0.141,0.053,Deseable,2.504,4.81
2018-01-30,15.685,20.49571428571429,0.162,0.157,0.166,Deseable,1.661,4.56
2018-01-31,15.381666666666668,25.08791666666667,0.197,0.193,0.246,Aceptable,2.0,5.84
2018-02-01,15.54125,19.966666666666665,0.225,0.211,0.161,Deseable,2.212,6.02
2018-02-03,14.30375,22.4675,0.487,0.487,0.514,Deseable,0.488,1.42
2018-02-07,14.666666666666666,16.9725,0.462,0.49,0.491,Deseable,1.637,4.77
2018-02-08,15.515,16.270833333333332,0.351,0.369,0.399,Deseable,0.991,2.92
2018-02-09,15.407916666666669,21.557916666666667,0.322,0.309,0.364,Deseable,2.25,6.62
2018-02-10,15.09375,21.460416666666664,0.496,0.492,0.492,Deseable,0.0,0.0
2018-02-12,14.49125,22.58833333333333,0.485,0.49,0.5,Deseable,5.21,14.71
2018-02-13,14.127083333333331,25.790000000000003,0.503,0.504,0.51,Aceptable,3.646,10.62
