Fecha,TMP,PM25,AOD_mean,AOD_median,AOD_moda,IQCA,AOD_mean_0,AOD_sum
2018-01-04,12.201666666666666,19.572916666666668,0.245,0.241,0.169,Deseable,3.689,7.81
2018-01-05,11.190833333333332,31.29958333333333,0.426,0.416,0.416,Aceptable,0.0,0.0
2018-01-07,11.4625,27.33375,0.207,0.202,0.171,Aceptable,2.314,6.81
2018-01-08,11.035217391304348,17.597916666666666,0.314,0.32,0.352,Deseable,0.068,0.2
2018-01-11,11.917083333333332,29.69454545454545,0.215,0.197,0.225,Aceptable,0.888,2.59
2018-01-12,11.2125,23.84583333333333,0.528,0.528,0.528,Deseable,0.0,0.0
2018-01-24,13.112083333333333,12.019583333333332,0.256,0.252,0.283,Deseable,2.529,7.44
2018-01-25,12.948333333333332,9.60625,0.268,0.264,0.264,Deseable,0.123,0.36
2018-01-28,13.6,18.8625,0.377,0.37,0.37,Deseable,0.296,0.88
2018-01-29,13.116666666666667,13.15875,0.205,0.214,0.142,Deseable,4.127,6.7
2018-01-30,13.742083333333332,14.415833333333332,0.2,0.194,0.231,Deseable,2.225,6.25
2018-01-31,13.38391304347826,25.49,0.21,0.214,0.222,Aceptable,2.235,6.58
2018-02-01,13.993333333333332,16.767500000000002,0.255,0.24,0.151,Deseable,3.327,9.45
2018-02-03,12.595,27.000833333333333,0.565,0.586,0.586,Aceptable,0.201,0.59
2018-02-07,12.767916666666666,17.7375,0.48,0.495,0.495,Deseable,0.0,0.0
2018-02-08,13.462083333333334,20.792916666666667,0.458,0.477,0.477,Deseable,1.06,3.12
2018-02-09,13.505416666666669,18.865,0.368,0.369,0.369,Deseable,3.801,11.19
2018-02-10,13.050416666666663,25.25916666666667,0.85,0.926,0.921,Aceptable,1.789,5.11
2018-02-12,12.397083333333333,26.587083333333336,0.397,0.395,0.404,Aceptable,0.353,1.0
2018-02-13,12.283333333333331,22.201666666666668,0.533,0.539,0.552,Deseable,0.424,1.24
2018-02-14,12.246666666666668,31.740416666666665,0.514,0.502,0.514,Aceptable,0.476,1.29
2018-02-21,12.47875,12.05625,0.444,0.447,0.555,Deseable,0.0,0.0
2018-02-25,11.186666666666667,12.597083333333332,0.299,0.295,0.314,Deseable,0.224,0.6
2018-03-01,12.139583333333334,22.96291666666667,0.428,0.427,0.373,Deseable,4.059,11.1
2018-03-10,13.913333333333334,10.20125,0.316,0.304,0.294,Deseable,4.304,9.29
2018-03-11,14.372916666666669,9.796666666666669,0.328,0.322,0.297,Deseable,3.912,7.21
2018-03-12,14.26125,72.20333333333333,0.282,0.283,0.231,Precaucion,4.532,8.16
2018-03-13,13.2425,21.60083333333333,0.518,0.512,0.533,Deseable,7.507,13.39
2018-03-14,13.425,19.39708333333333,0.259,0.245,0.246,Deseable,2.265,3.64
2018-03-18,12.543333333333337,25.565416666666668,0.519,0.516,0.516,Aceptable,0.0,0.0
2018-03-20,12.272916666666667,23.48,0.485,0.474,0.444,Deseable,0.463,0.3
