Fecha,TMP,PM25,AOD_mean,AOD_median,AOD_moda,IQCA,AOD_mean_0,AOD_sum
2018-01-03,14.8975,17.831666666666667,0.555,0.55,0.575,Deseable,0.027,0.08
2018-01-04,15.255416666666669,16.02875,0.133,0.142,0.08,Deseable,2.444,3.75
2018-01-05,14.703333333333331,16.988333333333333,0.339,0.345,0.332,Deseable,0.689,2.03
2018-01-07,14.392083333333334,14.914166666666668,0.092,0.086,0.084,Deseable,0.804,2.37
2018-01-11,15.066250000000002,16.492916666666666,0.234,0.243,0.227,Deseable,2.54,7.4
2018-01-12,14.928333333333336,20.221666666666668,0.381,0.379,0.379,Deseable,2.784,8.27
2018-01-14,14.152500000000002,11.455,0.464,0.477,0.377,Deseable,0.758,2.23
2018-01-21,16.047083333333333,7.544166666666666,0.373,0.365,0.347,Deseable,0.019,0.06
2018-01-22,15.796666666666669,9.64875,0.338,0.34,0.344,Deseable,1.377,4.01
2018-01-23,15.935416666666669,14.360416666666666,0.424,0.424,0.424,Deseable,0.0,0.0
2018-01-24,16.320833333333333,15.542916666666663,0.2,0.196,0.185,Deseable,1.965,5.78
2018-01-25,15.75125,10.715833333333334,0.244,0.251,0.246,Deseable,4.034,7.73
2018-01-27,17.055416666666666,12.951666666666666,0.393,0.393,0.393,Deseable,0.0,0.0
2018-01-28,17.0575,13.332083333333337,0.288,0.281,0.297,Deseable,0.385,1.15
2018-01-29,16.507083333333334,13.212916666666668,0.096,0.075,0.088,Deseable,1.67,3.29
2018-01-30,16.559583333333332,15.32125,0.115,0.097,0.083,Deseable,1.116,2.76
2018-01-31,17.170833333333334,17.2495,0.191,0.183,0.183,Deseable,2.401,5.88
2018-02-01,16.64125,17.802083333333332,0.26,0.289,0.137,Deseable,5.427,8.18
2018-02-03,16.010416666666668,18.31833333333333,0.472,0.475,0.503,Deseable,3.37,9.81
2018-02-05,17.106666666666666,7.707083333333333,0.488,0.47,0.46,Deseable,0.247,0.72
2018-02-07,16.905833333333334,7.661666666666666,0.402,0.401,0.303,Deseable,2.137,4.95
