Fecha,TMP,PM25,AOD_mean,AOD_median,AOD_moda,IQCA,AOD_mean_0,AOD_sum
2018-01-03,15.214166666666666,14.066666666666668,0.427,0.432,0.458,Deseable,0.099,0.29
2018-01-04,15.254583333333334,15.995652173913046,0.133,0.129,0.057,Deseable,2.45,3.99
2018-01-05,14.585416666666667,17.57391304347826,0.336,0.316,0.285,Deseable,1.058,3.15
2018-01-07,15.033333333333331,12.720833333333331,0.094,0.094,0.08,Deseable,0.838,2.5
2018-01-08,14.129583333333334,16.416666666666668,0.376,0.376,0.376,Deseable,0.0,0.0
2018-01-09,14.147916666666667,22.675,0.339,0.337,0.272,Deseable,1.81,5.3
2018-01-11,14.545833333333334,16.941666666666666,0.224,0.222,0.219,Deseable,2.211,6.52
2018-01-12,14.620833333333332,18.266666666666666,0.534,0.532,0.524,Deseable,0.342,1.04
2018-01-14,14.560416666666669,3.0416666666666665,0.36,0.396,0.422,Deseable,0.148,0.45
2018-01-19,14.735416666666666,8.429166666666667,0.455,0.454,0.454,Deseable,0.167,0.5
2018-01-20,14.347083333333332,8.833333333333334,0.407,0.434,0.434,Deseable,0.195,0.57
2018-01-21,14.834583333333333,5.05,0.483,0.53,0.534,Deseable,0.033,0.1
2018-01-22,14.952916666666669,5.579166666666667,0.416,0.419,0.419,Deseable,0.319,0.93
2018-01-23,15.631666666666668,12.525,0.272,0.272,0.272,Deseable,0.0,0.0
2018-01-24,16.138749999999998,16.60833333333333,0.112,0.107,0.122,Deseable,0.936,2.8
2018-01-25,15.29125,11.241666666666667,0.286,0.287,0.253,Deseable,3.017,5.87
2018-01-26,15.652500000000002,17.849999999999998,0.589,0.589,0.589,Deseable,0.0,0.0
2018-01-27,16.263333333333332,8.970833333333333,0.398,0.399,0.316,Deseable,0.366,1.07
2018-01-29,15.85625,12.991666666666667,0.179,0.176,0.1,Deseable,2.47,4.58
2018-01-30,15.84625,19.95,0.211,0.203,0.199,Deseable,2.819,5.33
2018-01-31,16.271666666666665,17.291666666666668,0.261,0.257,0.301,Deseable,2.031,6.04
2018-02-01,15.64875,17.979166666666668,0.286,0.284,0.271,Deseable,4.624,7.9
2018-02-03,15.7975,11.2,0.453,0.459,0.387,Deseable,2.486,5.92
2018-02-04,16.055,7.670833333333333,0.535,0.55,0.5,Deseable,0.014,0.04
2018-02-05,15.939583333333331,6.0125,0.4,0.371,0.358,Deseable,1.517,4.42
2018-02-07,15.5,7.120833333333334,0.294,0.282,0.247,Deseable,3.208,6.36
2018-02-08,15.799166666666666,8.883333333333333,0.324,0.332,0.38,Deseable,1.533,4.19
2018-02-09,16.136666666666667,7.2875,0.43,0.411,0.411,Deseable,0.964,2.89
2018-02-10,15.674166666666666,9.925,0.521,0.512,0.445,Deseable,2.521,7.23
2018-02-12,15.47875,16.279166666666665,0.571,0.571,0.571,Deseable,0.023,0.06
2018-02-13,14.845416666666669,14.2,0.499,0.5,0.5,Deseable,0.0,0.0
2018-02-14,15.475416666666668,13.7875,0.483,0.481,0.372,Deseable,1.001,2.71
2018-02-19,14.907083333333333,3.5333333333333337,0.353,0.354,0.236,Deseable,0.766,2.1
2018-02-21,15.394166666666663,7.333333333333333,0.28,0.283,0.215,Deseable,1.053,2.38
2018-02-23,14.132916666666668,5.741666666666667,0.539,0.553,0.535,Deseable,0.857,2.27
2018-02-24,13.137916666666667,5.879166666666666,0.421,0.373,0.33,Deseable,0.315,0.85
2018-02-25,14.555416666666666,6.316666666666666,0.291,0.289,0.352,Deseable,0.609,1.67
2018-02-26,14.400416666666668,7.713636363636363,0.485,0.494,0.494,Deseable,1.373,3.64
2018-02-28,15.007083333333334,7.125,0.393,0.395,0.395,Deseable,0.0,0.0
2018-03-01,15.808333333333332,11.258333333333333,0.275,0.271,0.286,Deseable,0.212,0.59
2018-03-10,16.54,20.666666666666668,0.216,0.205,0.185,Deseable,2.661,5.27
2018-03-11,17.68625,16.204166666666666,0.392,0.378,0.319,Deseable,6.752,7.45
2018-03-12,16.965,14.591666666666669,0.322,0.308,0.234,Deseable,4.179,7.85
2018-03-14,16.254166666666666,21.85,0.255,0.256,0.2,Deseable,6.661,6.98
2018-03-18,15.937916666666666,11.75,0.448,0.442,0.416,Deseable,6.377,7.27
2018-03-20,15.32625,11.8375,0.493,0.489,0.567,Deseable,9.47,6.19
2018-03-21,16.838333333333335,13.583333333333334,0.371,0.382,0.296,Deseable,4.959,4.6
2018-03-25,15.715000000000002,12.491666666666667,0.19,0.184,0.065,Deseable,6.403,5.19
2018-03-26,16.684583333333332,15.075,0.548,0.554,0.554,Deseable,0.0,0.0
2018-03-28,16.24,8.508333333333333,0.428,0.409,0.38,Deseable,0.611,0.98
2018-03-30,15.252916666666666,8.845833333333333,0.562,0.558,0.545,Deseable,0.484,0.82
2018-04-01,14.580416666666666,4.729166666666667,0.432,0.47,0.47,Deseable,0.0,0.0
2018-04-03,15.331666666666663,10.3625,0.525,0.532,0.507,Deseable,2.546,4.92
