Clase,Área (km²),Porcentaje (%),Periodo
1,1575.4185,0.6391587820171643,2010-2013
2,164247.786,66.63652537327437,2010-2013
3,23104.354499999998,9.373605223953374,2010-2013
7,112.5576,0.04566543970556088,2010-2013
9,5326.0082999999995,2.1608004336887676,2010-2013
10,776.8278,0.31516470733654156,2010-2013
11,3.1014,0.0012582606123693694,2010-2013
12,248.2209,0.10070503051424388,2010-2013
13,51088.843799999995,20.72711674889761,2010-2013
1,1233.5382,0.49563506012536496,2020-2022
2,126757.19069999999,50.930978735735025,2020-2022
3,29316.537,11.77937057698131,2020-2022
7,4.1571,0.0016703207962648864,2020-2022
8,49.5882,0.01992451509690468,2020-2022
9,6167.474999999999,2.478088511929898,2020-2022
10,2473.9991999999997,0.9940516979872247,2020-2022
11,4.491,0.0018044816569304574,2020-2022
12,1632.3651,0.6558835182283349,2020-2022
13,81240.9939,32.64259258146275,2020-2022
