,1,2,3,7,8,9,10,11,12,13
100,101,102,103,107,108,109,110,111,112,113
200,201,202,203,207,208,209,210,211,212,213
300,301,302,303,307,308,309,310,311,312,313
700,701,702,703,707,708,709,710,711,712,713
800,801,802,803,807,808,809,810,811,812,813
900,901,902,903,907,908,909,910,911,912,913
1000,1001,1002,1003,1007,1008,1009,1010,1011,1012,1013
1100,1101,1102,1103,1107,1108,1109,1110,1111,1112,1113
1200,1201,1202,1203,1207,1208,1209,1210,1211,1212,1213
1300,1301,1302,1303,1307,1308,1309,1310,1311,1312,1313
