,modified_Carapungo,modified_SanAntonio,modified_Tumbaco,modified_Guamani,modified_Cotocollao,modified_Belisario,modified_Centro,modified_LosChillos,modified_ElCamal
NO2,0.014558336994579132,,-0.796886504190775,-0.20299899171072527,-0.2030432444377676,-0.046208556270306525,-0.400957700728087,-0.7423364178247095,0.0791853423294404
O3,0.03418428180763622,0.34201530963783716,0.052236362463895916,0.6985774529831569,-0.17223345997024905,0.0336470194772523,-0.24079966823177476,0.10034092470889047,0.4293276090587397
PM25,-0.0861388270833771,-0.9551057451062733,-0.4795808235399161,-0.27193471755157633,0.16698993317616456,-0.2400133427189547,-0.16519824698322466,-0.6717088733272415,-0.031755699018413845
PRE,0.028362607814561177,-0.7104878697128574,-0.6830661038391908,0.49462058633526496,-0.13141501448969564,-0.0690222125448177,-0.5081032102071901,0.28767565353885244,-0.25866778786853933
RS,-0.2504724375526862,0.3252688207975926,-0.018396873070462498,-0.38993548791285976,0.3268696176047937,-0.3172417298907161,-0.8904634700170835,0.11609293620128884,-0.20418845768138683
SO2,0.10094153057400827,-0.630872533847815,,-0.4977150703508182,0.25792111450434724,0.15167166927640163,-0.10340205747122577,-0.37047374670761296,-0.15071840497895814
TMP,0.01342294756777731,0.31060302912605076,0.16696575325266766,-0.18614725430557263,-0.1495080446655447,-0.22660074782692055,-0.03877877019263186,0.474468614991041,0.07506969775096743
VEL,-0.13716109089890424,0.7629471890796461,0.5758767735532346,-0.06969721656329056,-0.08252658065711506,0.28028169069825504,0.012706076193637306,-0.09603680301375896,0.04696175610127269
CO,-0.2995159226433594,,-0.303095715960346,-0.2268280813397187,0.28847617620754745,0.20794552841401984,0.4168019206364945,-0.3013874013368424,-0.14553849837171845
DIR,-0.009159762881117106,-0.6003923446628371,-0.18773649440278037,-0.03741784636654367,0.2788459288694189,-0.05824786702162766,0.2158323970318245,0.27240504311774777,-0.04633394213712042
HUM,0.17947578201927447,0.17713149561861585,-0.5247330090601185,0.05669510620250719,-0.2566686708115802,0.2884609379860082,-0.5926357316862818,0.09555515947130003,-0.19124065386239464
LLU,0.20450610176527492,0.8402758292117307,0.2055890370781151,-0.2752680975705098,0.20536357726265544,0.5310539964748792,0.34002089258192425,-0.23355965855543218,-0.04613495489741021
