,Max_Belisario,Max_Carapungo,Max_Centro,Max_Cotocollao,Max_ElCamal,Max_Guamani,Max_LosChillos,Max_SanAntonio,Max_Tumbaco
NO2,-0.3255849625888085,-0.0906218937159669,0.9802541883143616,0.3005626880823853,0.82253366154425,0.7025196238831721,0.37825102321081555,,0.09271986769403505
O3,-0.08431013228277116,0.07288874928211402,0.5341136096492657,0.19820247377782477,0.7516982591411931,0.5685089488418505,0.7205460395483749,-0.6413768719844573,-0.8278552512607915
PM25,-0.18488853635484795,0.22274847969676553,0.7308884018376854,0.0397333191072328,0.7351111114489666,0.5043850058073427,-0.6186424922981718,-0.878814556622444,0.02607515731945764
PRE,-0.390614394166758,0.16854422240277916,0.7602066762302309,0.2100544053330425,-0.08247887771238706,-0.5254092991094411,-0.39244208059889724,0.9969696336014061,0.6821968691666839
RS,-0.24216434141729345,0.0511161623659443,0.7066830668445608,-0.008601766052488156,0.37241387925946456,-0.5650955340741961,-0.3470338965218219,-0.9852395845476064,0.1013246807520948
SO2,0.3473152710644353,-0.06372160970418159,0.5024559605428134,0.07422137428327093,-0.15018303397544164,-0.4381366332419654,0.6105130023194196,,
TMP,0.4931097956107381,0.30333064087100686,0.7709592883004598,0.4801891582738548,0.3613228042045211,0.7350437790328913,0.3955642303118981,0.4688701326040696,-0.9867212156375216
VEL,-0.7335002339269561,0.04032829605806172,0.6814748417974726,0.5145399221808122,0.7414026958345831,0.352523333413564,-0.11533497269022912,0.9979054398688115,0.4619497956290021
CO,-0.580317912841299,0.6467713144389817,0.9469484437124361,0.4555780083178804,0.3657585254580744,0.35066802528802116,-0.1812650563209726,,-0.9086547034015473
DIR,0.3471858333363791,-0.013484105599583561,0.9659633991212884,-0.2211216770203676,0.6938765215080213,0.3647179599395734,-0.7057222831336608,0.9655940504585577,0.0019439366276539686
HUM,-0.2653563541752328,-0.19734605007883493,0.9961238137356012,0.3969206303992088,0.39945412965799215,0.33198961078629086,0.549079260198905,,-0.260755725171719
LLU,0.29510323722204584,-0.056625896009602966,0.9731643244355319,-0.132545059594209,0.2948926703619011,-0.19331888063719244,0.15943694737432246,-0.40646540865974184,-0.7572001229797902
