,Max_Belisario,Max_Carapungo,Max_Centro,Max_Cotocollao,Max_ElCamal,Max_Guamani,Max_LosChillos,Max_SanAntonio,Max_Tumbaco
NO2,-0.18604254666237746,0.06010409178480915,-0.12464489601293081,0.15234271787734205,0.1989234019146389,-0.18646447920406378,0.17813942015308026,,0.11764203847565707
O3,-0.08212762208010609,0.03861393523644864,-0.07175462088323566,0.0076422345135875045,0.0020744780939840673,-0.21051461660938042,0.1657413540073619,-0.3774377855494823,-0.01809835979046698
PM25,0.026583604326316266,-0.022043515174553427,0.1454048706850088,0.061657842845989,0.19875080921569802,-0.2565373202382868,-0.012933391913206771,0.2418638901550815,-0.0716405080705132
PRE,-0.02179678061838025,-0.0060871914173438,0.2595458648932055,-0.0017489918386807658,0.15197981711129352,0.30561228348790737,0.21874880146030615,0.3777525571344406,0.2902471147041884
RS,-0.05546235680378513,-0.0735713678708156,-0.10730477086794221,0.028526130521671484,-0.006514247330952014,-0.13682938291242033,0.03883152913161057,-0.07596336141584997,-0.23240777700027695
SO2,0.17246946037039,0.06966103469613184,-0.032498370753137946,0.08956615891858612,-0.14630285676800373,0.06878720523964547,0.031908505303336256,,
TMP,0.14539433309284072,0.18825332194944744,-0.0009521922958227084,0.2470332711107927,0.2060835602636335,-0.06498449840740353,0.12028181048367807,-0.19312076537793324,-0.15838545969166715
VEL,-0.08334084488838091,-0.09120209686714034,0.2978571671763855,0.2286464397931658,0.07478569319045969,0.23129401841708527,0.1735634312217042,-0.03839347240756292,-0.139200518752185
CO,-0.14428398161972128,0.2305454166978962,0.3473804722212133,-0.014428030563879387,0.15048871466782213,0.04889160438107433,0.07137973269109152,,0.367925555864261
DIR,0.10070704786475466,-0.020658403112124347,0.3109808448517882,0.05055509037007832,-0.06777047813138762,0.07836756935096537,0.319507193092676,-0.2105396160596369,0.5512668667046261
HUM,-0.041154274565686995,-0.0970073429632888,0.5580746603298786,-0.16049369986918752,0.05819980339273912,0.03867350514022575,0.21781635117250828,0.485214369567868,0.5463753258946306
LLU,-0.030283677011621317,-0.20316826231260746,0.21074214903312988,-0.3117762366704568,-0.0767218076927139,0.07861250770611887,0.2638830426843009,0.06832968380653295,0.5978540204522018
