,Max_Belisario,Max_Carapungo,Max_Centro,Max_Cotocollao,Max_ElCamal,Max_Guamani,Max_LosChillos,Max_SanAntonio,Max_Tumbaco
NO2,0.238121371950147,0.13298309545602105,0.4618521141342685,0.38206755377729096,0.24531631294682527,0.2206910637237884,0.6386660562863447,,0.7865365845176118
O3,0.152399967049527,0.23574157758326644,-0.13893858829813144,0.11748828732140933,0.1553304131719093,0.13455798590986923,0.35016715116942665,0.47539673811447175,0.44291315046409035
PM25,0.2924312016658484,0.24722090190103566,0.18278807051972779,0.18080998335452725,0.15016123663840136,0.407740275587923,0.47709579469860575,0.3385274332159418,0.1628322842222512
PRE,0.2647718422048856,0.29517970381216874,0.010439777850020471,-0.0012812497232188875,0.15897941129464874,0.29831771090223247,0.3382008334669679,0.3944992078752335,0.28481524512757056
RS,0.18038733345464003,0.10785266210387194,0.17033334389793897,0.28604768435693345,-0.034911020385544604,0.12674463166845648,0.6244815143926055,0.4215707558803454,0.4443060096797868
SO2,0.06205187502104053,0.1583403913793919,0.3754352173534485,0.30461743542692993,0.05249813369792454,0.0104168933899288,0.3004463843133533,0.5210701447603697,
TMP,0.3916879847541384,0.353714436564088,0.2378571767566171,0.5402026300418097,0.2803851461059872,0.08295749172018778,0.5619448824138061,0.29849102440373565,0.3654471949929755
VEL,0.24435157866372462,0.025782086504095504,0.35423219469192285,0.37766135238080484,0.1335673122391592,0.37938646444542606,0.8299320183484853,0.4188984519781555,0.5612162513741598
CO,0.1838810609612963,0.42135980954665925,0.46353599570091386,0.3307158075294589,0.13948710165377848,0.2723439321047662,0.6735378181018294,,0.22393085771047141
DIR,0.34874232123713056,0.25150752269870436,0.5136880776451486,0.3158156688732832,0.07284473545102296,0.3493299180337283,0.4577464541733758,0.41468383314004803,0.6578071079789227
HUM,0.1728474137722266,0.12187446665249856,-0.1290538277680351,0.2157768270626683,0.01377696764673876,0.2573886655674094,0.608275720998328,0.23003616266682092,0.29901195061129066
LLU,0.36804200757103583,0.3072442844737904,0.34268843483778927,0.03663244170077199,-0.06798534917895378,0.3868266118998682,0.397758343588582,0.14637846970841437,0.3558922962221135
