,Max_Belisario,Max_Carapungo,Max_Centro,Max_Cotocollao,Max_ElCamal,Max_Guamani,Max_LosChillos,Max_SanAntonio,Max_Tumbaco
NO2,0.06653375359087013,-0.01645079946777554,0.12307510049960135,0.18144709054908523,0.12481060332342443,-0.05437357332902724,0.16818304852798352,,0.17503074090889914
O3,0.03464910779176219,0.02806739690041559,0.05192249680102347,0.032075836845906175,0.07482347400818207,-0.08539356579627358,0.06079319641663545,0.2906606299402373,0.1953467557664474
PM25,0.05981860857272346,0.02277457713751746,0.07147776890142159,0.10005543352910685,0.06942164786287788,0.021993659813644907,0.019107908024849147,-0.09630883780442073,0.08200553481877305
PRE,0.10814230057067274,0.0601380383369978,0.04025742174212295,0.03734386765864808,0.11955958842609317,0.07567955451823268,0.21010374408939123,0.19238840361557827,0.2144701197874357
RS,0.11874803885790275,0.03433988728001583,0.1453394672612489,0.13305804931189125,0.1098741120349012,0.10992547669542703,0.16473885561686646,0.15975010421533825,0.15088316536298108
SO2,0.09677020178412506,0.040873478861863315,0.07108935570392545,0.1442898651425054,0.05088836511529114,0.03448271362514377,0.001799300146571158,0.3732999870794643,
TMP,0.12929451610869508,0.09709174799478304,0.062011453347229246,0.16203311178928445,0.13682629813605612,0.05562729134855508,0.12581315040852112,0.040647748108647505,0.1336050441583999
VEL,0.16629729768020046,0.018952859439442565,0.03627928828822493,0.13628507999756456,0.11662686032543862,0.03856896194698742,0.3065406759525029,0.3179872423226165,0.2386044851465554
CO,0.12232943526058898,0.0739387003686643,0.17798452703305429,0.15498471508951334,0.0900916928436231,0.022286310179938856,0.2593545903879917,,0.13617473791923937
DIR,0.1467776176365087,0.05083946286616366,0.2019503264878285,0.16773677283393035,0.11329557075782799,0.0052828117245874336,0.04897271817103335,0.09137203418024238,0.13508376403682554
HUM,0.012055279527730117,0.05520775717765769,0.16778725836331843,0.05702518916282984,-0.03816179479846402,-0.025182711726564812,0.07218213362035164,0.16262254133379406,0.08639112097512033
LLU,0.09935828142976623,-0.044574955246313955,0.2045028752842132,-0.014195700507028048,0.021195071739558608,0.0035430403228379134,0.1819029929930482,-0.11893307623734847,0.09604639793002848
