,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
NO2,0.0970085039398,0.05073249555965722,0.47250436720399186,0.26317252841771505,0.19573002336952536,-0.5233710969427826,0.1079133925726407,,0.9736283073072615
O3,-0.165537230600129,0.35609285592168005,-0.19855222602875894,0.16353336278718017,-0.28126126536427815,-0.6299030810444588,0.7257985743124767,-0.9464229987290858,-0.6929271647246287
PM25,-0.3472411895027147,-0.3333589339620707,-0.10624601889079982,0.6491968617447611,-0.42925978169965423,-0.9289557216850257,-0.12789147602591913,0.4444721793516624,-0.3366616103271262
PRE,0.48835671847185835,0.04713766351899258,-0.4348461396160367,0.14078722650513456,-0.41050907742212245,0.6511285395761894,-0.7665165927467517,-0.12227721216213594,-0.7482293950404106
RS,-0.007946694085990061,0.2684974559082027,0.9987349698952284,-0.5117909844975403,-0.60340436030973,0.5847051940060776,-0.46675425504825724,0.10731951710312933,-0.8215121754774324
SO2,-0.06924543442768416,0.011027040702845239,0.7286684786356505,-0.0816249341421814,0.11471002669800495,-0.38811447163155477,0.1521940929213584,,
TMP,0.5276665927795838,0.5484204498097098,0.24948838221404973,0.014032651380036261,-0.13836581904945625,-0.5238759776165709,0.10900513844983802,-0.5320479593244399,-0.4526141150296542
VEL,-0.04583964057573585,0.23209965240947805,-0.43714048225673185,-0.19068203030577893,0.12000820985092336,0.1715178382504256,-0.5178310242176409,0.23069928375386148,-0.2675051518092445
CO,-0.6353369150140621,-0.13172185157389454,0.7871491191422209,0.0317544893812765,-0.16114746705575944,-0.5491418394431384,-0.585002506003299,,0.9029346133581798
DIR,-0.419548175040875,-0.31140866657454325,0.9752466355166176,0.48988731820420134,-0.07292554489318277,0.0932237365301874,-0.33177251049150625,-0.8278109846180363,-0.35348281863538683
HUM,-0.16959908965946957,-0.3331125788042844,-0.9606829206430855,0.03482778316953239,-0.07600272931028616,0.6041033713066385,0.2572168125069146,0.4593772132353383,0.47683518308308465
LLU,0.5871603806481446,-0.36407638784999924,-0.8129612501082947,-0.12323846147141684,0.20971553733004777,-0.6059214338612289,0.28377283534965764,-0.7005037864357578,0.9888438336016243
