,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
NO2,-0.19051456165144035,0.09219576653697466,-0.06926217341188047,0.06674140194669895,-0.15904144145424343,-0.21391167165946298,-0.005936761106564291,,0.10447771784378203
O3,-0.23213882368407884,-0.0964388311223674,-0.11205725877257253,-0.1100607576918142,-0.15551184812169644,-0.20396424404230118,0.02821098623116195,-0.2097611539763134,-0.23174842868891923
PM25,-0.006127488180898314,-0.16826676653530068,-0.06453228864181738,-0.16669456193165152,-0.02850457966035365,-0.08002639979309138,-0.03158748818818644,-0.31984159917684185,0.019241090427923657
PRE,0.1585439062335394,0.0713389786248129,-0.16468291414566805,0.060340664442504716,0.22132399060876343,0.23199438374776765,0.014156401808965184,0.22303309666502544,-0.0027340634158940142
RS,0.3342771429300989,0.20860224630896004,0.30399649767579123,0.2847815844186209,0.13753068009797836,0.19059886898985726,-0.1585945219896507,-0.2713235140178456,-0.09919035598333012
SO2,-0.046109169231552574,0.15748907247834532,-0.03149013122620207,0.13746608274783897,-0.08489472373325219,0.05438694566514008,-0.03524116902704403,,
TMP,0.15399987376293786,-0.03044157430761676,-0.25603604722353834,0.12040860212249627,0.07021800212519923,-0.010475522817974346,-0.05066997583586986,0.13847610351857592,-0.11253705976046156
VEL,0.0006882741627652385,-0.045150547553868985,-0.4206889074786577,-0.08556064981344826,-0.09877612703242736,0.2978756057985058,-0.12402630089267176,-0.01850413932318655,-0.29265254041123856
CO,-0.07831723952616086,0.20633525191408036,0.2623188983557383,0.09866738253492671,0.0012109494719249277,0.0874714480489972,-0.16468484911622888,,0.3362587584465755
DIR,0.15844968175426152,-0.14893876612996815,0.010374899203060282,0.1324712182247834,0.028086169312955822,0.22181190533114023,0.06948948175168261,-0.08188518694776703,0.3934685943003341
HUM,-0.12931036280325886,-0.25279825908863224,0.23927187026737234,-0.2951518869063755,-0.15792684864071604,-0.20293554595385146,0.009343575906884368,0.06611501689084963,0.10210254886717268
LLU,0.006408861029142177,-0.1666067981138504,-0.13071096611851327,-0.2595660348754387,-0.2104062577242724,-0.07941165378705888,0.04415609861371866,-0.06575245991102216,0.28467712214051594
