,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
NO2,-0.07846431890326191,0.16942425401614306,-0.15520385096317663,-0.026661690502026728,0.04152494590065975,0.29134231086242013,0.14439707547394576,,0.4029081170154146
O3,0.053085801624420705,0.29648468144830165,0.22023380798154815,0.17173007402901136,-0.04714597917979689,0.19232336768267416,0.31978260554782995,0.31278672928461115,0.21033097400080378
PM25,-0.016579639268592454,0.032101148534181535,-0.10819156900875854,0.22809951367734926,0.22581411539895857,-0.11603859434774909,-0.02605507776650951,0.03806871954501373,0.12690214710053221
PRE,0.19883000892374175,0.05799318730608539,-0.30477347682298594,0.01832231437568807,-0.2694728448182091,0.14478797546240663,-0.4170574617162224,0.13142664412074223,-0.39135182052448586
RS,-0.20444561579756043,-0.02458671772714629,-0.06084147825178077,-0.0673678199333608,-0.23475928955804626,-0.07830494151266791,-0.042263694772072244,-0.0874884250713744,-0.28728758740010635
SO2,0.014274938446088382,0.09319117560547573,-0.148327391044641,-0.2215758304870137,-0.03288173209570782,0.19235735147899752,0.11001699293398569,,
TMP,0.07854744502964718,0.07634753896093292,0.1390869869320792,0.12499787959982347,0.061381208416060914,-0.09922197974390551,0.13823614078067856,-0.3637016712769106,-0.2714076644463221
VEL,0.03186000204315925,0.14187415728657218,-0.092089317246523,0.20211659853522518,-0.08137034778181443,-0.13570476229555678,0.13022414758857903,0.3540237790740976,0.4474401531537245
CO,-0.19856586144588612,-0.028212390207782205,-0.0410013224903878,-0.005825708560182092,-0.032807168340080066,0.21870121866208234,-0.2528775705185201,,0.2492830045129557
DIR,-0.1722726316036306,-0.11222198255211287,0.34097046802325287,-0.02646417914429232,-0.24155805592976218,0.03523760949273307,0.0781427221348972,0.009207870187388435,-0.18034701455586258
HUM,0.08892003469715734,0.03607711314481383,-0.2233006846547794,0.16980363040428695,0.19334243940210089,0.04336927612487691,-0.05410352223608835,0.18013025219898227,-0.10957439004309912
LLU,0.15471330999549127,0.05385506174797207,-0.0829511941403717,-0.1141429712742829,-0.09878951270857343,0.15882010638461388,-0.06286042492293557,0.24778656808876473,-0.18234886243605755
