,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
NO2,-0.3082576367969506,0.11562638993011651,-0.16571090130135807,0.02344184487336647,-0.08191182142969099,-0.23446372659383352,0.1572428809980729,,0.41500258625438424
O3,-0.26229747174412116,-0.04132170225085617,0.1765831601505356,-0.11850316368986324,-0.2548582868077764,-0.15795175454640104,0.04577093031309571,-0.40854319747051426,-0.3792895237643635
PM25,0.10588408517231301,-0.19746159674856362,-0.3459176993515968,-0.0916755016915921,0.13589417541674279,0.07792946789736199,-0.037068115923607405,-0.5182472239443164,-0.7296620942830583
PRE,0.17267754705688307,0.09551718710913638,0.11257638442555759,-0.01778354078043262,0.25051978979673983,0.3160055055547411,0.2281345211290569,0.7638062020144167,0.09771441312338736
RS,0.2793082954878616,0.21872325878010074,0.5409211073691617,0.3802880488445107,0.21658041600190878,0.12249905485261864,0.0556025651785443,-0.09517124456166035,0.39175792961057
SO2,-0.05761265847357462,0.08320861848105118,-0.15085622362520212,0.17498882564660337,-0.1734979952574131,0.48707519838502394,0.1726746008057321,,
TMP,0.31794959665091477,0.0481647485817255,-0.2940991246221008,0.3534571731527224,0.1348053312675953,0.22412098948902645,-0.3394487631385334,0.12634130241474356,-0.18417952928717038
VEL,-0.024165555658444613,-0.031571747433085356,-0.21151128419010284,0.016963621938193996,-0.1823433343273088,0.5990779991876497,-0.0028241007303907986,-0.3899162475594196,-0.23487479335536565
CO,-0.15025010057213964,0.3395193672987734,-0.2947375078145727,0.18246859161323417,0.10713016802787077,0.11527481175492515,-0.05991455804512689,,0.5331853136930605
DIR,0.2469333300186956,-0.2054620027803067,0.24445061863384868,0.11415059507171174,-0.007852248530422675,0.44790783976415927,0.04892402098550329,0.3333559351655818,0.20171995360611672
HUM,-0.3827574011462967,-0.5925936648836104,-0.3880008526372596,-0.4471617016942548,-0.13611470820854926,-0.45771219364398275,-0.05188998470456872,-0.43163736891411747,-0.45626946422150805
LLU,-0.2827141824478957,-0.4654508456717318,-0.17924241030234955,-0.5618861425283661,-0.43026114275144395,-0.3324473187321332,-0.04568807222080428,-0.33736138888863965,-0.2587290488732269
