,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
NO2,-0.09755350556056884,0.009895463302789531,0.002838034947617232,0.05345347331419172,-0.11517370479788724,-0.030447167513585217,-0.03398652319094832,,0.07680577068782436
O3,-0.1322532196980032,-0.021263356404101697,0.016952555340081756,-0.08968378330657888,-0.08875373663102801,0.04568250811223809,0.04044906898634891,-0.09472240322285791,-0.08318583322569326
PM25,0.035186873134949406,-0.07109390544054923,-0.05214326227940574,-0.08178716833090785,-0.01298393767192685,-0.18926219171832157,-0.06500161804893166,-0.10901469075131275,-0.03759765214121205
PRE,0.0718431297453643,0.03266272720869167,-0.08957187397934716,0.034232759810043055,0.07552787547020129,0.016682730409407806,-0.09560345571531255,0.02982519205547829,-0.16784110459549037
RS,0.0931907486592798,0.0826990245344442,0.06961349201688012,0.1189144086431208,-0.027459672817370148,0.04949398499081929,-0.041918113200439366,-0.11671373856510132,0.04559532452767548
SO2,-0.041463425430865994,0.06004192120020402,-0.05887082869342928,0.06536851135549565,-0.05823753422148241,0.010007470977732105,-0.03994962708248827,,
TMP,0.07695202312283922,-0.027391662864590285,-0.15506000452134547,0.04236183276093495,0.016116108395840507,0.07380976828970895,0.0005484576999027611,0.027506647719493484,0.060243467007653456
VEL,-0.028225098369970277,-0.008799983240592597,-0.2224004043234444,-0.06116466905263714,-0.0574600660134864,0.14172499236802572,0.0793087307594921,-0.05010497346457751,0.11304847552179022
CO,0.0024847033406245984,0.049369097105631386,0.06153406746383858,0.05206367353804798,-0.028272894980446245,0.04224739858105004,-0.07949879024981622,,0.1378562333452942
DIR,0.13090528182754563,-0.053215769604752196,0.055850103827944364,0.04303753136868381,0.027605376939271443,0.060292059742075334,-0.021864153702924365,-0.07349943659919296,0.22756082510832848
HUM,-0.05264839777272737,-0.11733784581367028,0.10431490763063206,-0.12691365920740286,-0.07131624663400496,-0.17382486622922097,-0.09326870594448909,-0.030087069625799708,-0.20619685582501363
LLU,0.030510661604255338,-0.0727642529188487,0.04393922737193077,-0.09686760204194411,-0.06350549523032324,-0.053639855125732015,-0.0664057766784677,0.05944970041038548,-0.11295309736937727
