,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
NO2,-0.06139797200279147,0.06913232367153571,-0.07881901641489227,-0.05298648407859896,0.06963920874145936,0.14910578160240534,0.12488389357168263,,0.1389669909660519
O3,0.05819274313599826,0.17697847406317888,0.07911719040563009,0.08121802026441728,-0.08449913609096665,0.12219940998603435,0.29111809727254867,0.19223680224738093,0.26187151862982383
PM25,0.010894077075848975,0.09443253803002892,-0.001125764064921877,0.1144293247560535,0.14358566774844458,-0.08516232811476256,0.11687544711191998,0.0369249285136706,0.06704729530492587
PRE,0.1048696438227629,0.05578860785672007,-0.22512542374042654,-0.019278594061649987,-0.1844217901989363,0.023338744184119624,-0.19178030222239761,-0.23550528989334793,-0.12811977908993397
RS,-0.07813994290536715,-0.11400863107391736,0.06772666140513245,-0.08766371368232562,-0.13872166954958504,-0.07790335793809058,-0.014668093219069976,-0.0646870913571892,0.04964791291086206
SO2,0.023485926330049336,-0.048327400164006745,-0.14610939894732775,-0.11467303530759368,-0.11546473049956738,0.09469353124978577,0.15356042764464398,,
TMP,0.0842382021450706,0.05322434480517986,-0.05367861020993439,0.07713146706486622,-0.061540595177863026,-0.012136791631656981,0.11961537211748342,0.043981868108861864,-0.08651940814425937
VEL,-0.0005393319984052053,0.11368469630408587,-0.20657701176386803,0.1475218893811474,-0.09021442973696199,-0.015395030023267892,0.16870691898044168,0.12585450028132095,0.26872217074637145
CO,-0.1356334779363237,-0.04803732250406847,0.053264745047592835,0.018653059195968484,-0.06357233944129886,0.12537115835050516,-0.22108944116502716,,0.07406583231023477
DIR,-0.06257197028419054,-0.10785504265400084,0.2475092106780347,-0.05061230548410176,-0.024513296233706305,0.07540474588581163,0.10532907875645027,-0.04838145219007281,-0.17360565739418554
HUM,0.052621020271498696,0.06343726937583172,-0.02039595372442293,0.12589614003713379,0.1775828093555551,-0.06052477319816174,-0.1151123271122057,-0.004575621491213502,0.06472107613858434
LLU,0.05825349725225816,0.09547799817834808,-0.0510252443014046,-0.004637908247174668,-0.03172216165248365,0.053744805234055275,-0.014917239608962777,-0.020689756008277285,-0.09323698364385605
