,modified_Carapungo,modified_SanAntonio,modified_Tumbaco,modified_Guamani,modified_Cotocollao,modified_Belisario,modified_Centro,modified_LosChillos,modified_ElCamal
NO2,0.12188071481778384,,0.21895173721994185,0.34199478022942575,0.058853759986962025,0.1557793880124553,0.14282311749289672,0.25652124442743424,0.1427872040904153
O3,0.060695072820351414,0.11564991228973102,0.45959814971998014,0.20878367324477634,-0.04314191880183586,0.09984840102363564,0.22613404334800363,0.15126222081699997,0.23790906092963118
PM25,-0.1098794946996114,-0.09097148167478007,0.04180924349976212,0.3290782252951448,0.05215835314483416,0.01839448409246417,0.05282102256183506,0.31115794086249826,0.039666869827515154
PRE,-0.029208642525266882,-0.27738897861448564,-0.30346931959763657,-0.13931228185943695,0.009858490714813683,0.0056562116743606216,-0.29310679505874043,-0.21942030626858716,-0.23115806916088832
RS,-0.09127912753673649,0.16538984576533688,0.3765049348764683,-0.05790494770700589,0.0510020145610729,-0.0711078509178318,0.06686788371482436,0.16202460676419117,0.10151287559870996
SO2,-0.06411178398500766,0.020020089278517308,,0.28361130079363417,-0.07744168960967542,-0.012674896647332835,-0.023797188040999392,0.2148651441631495,-0.11932966753938311
TMP,0.03074917028312687,0.10884066079988218,0.036615528261082886,-0.10123662828294439,0.01778706936480644,-0.028886220354747617,-0.028882920685558422,0.1896798907508731,0.01530270523456084
VEL,0.013490679430155347,0.1680962698205887,0.16665596773951896,-0.061948426943785787,0.05849690265026383,0.06229411342201325,0.1407283822118865,0.10757049884778123,0.14801889498989806
CO,-0.09795798273723345,,0.05614888100663114,0.04285061504585153,0.08328334775464631,0.0702228041961432,-0.003380605444130299,-0.08308670757276354,-0.1257276988893772
DIR,0.00822753976318529,0.20766310813213992,-0.2374581566531445,-0.20327847103377086,-0.06040194913741624,-0.14194059081060642,0.11470891370003394,-0.014381311149161406,-0.028742335754744042
HUM,0.1508551351056817,-0.24166672612381385,-0.1961095803818028,0.05190006281473134,0.16547289984426938,0.1199611062926137,-0.1826334859886431,-0.10744357419666252,0.08844094001701347
LLU,0.10357862557601141,-0.2248491964656133,0.14993539175970777,-0.13408614190414975,0.06387058625352153,0.09672012200776814,-0.00869884071051422,-5.254084336535337e-05,0.04676433058653587
