,modified_Carapungo,modified_SanAntonio,modified_Tumbaco,modified_Guamani,modified_Cotocollao,modified_Belisario,modified_Centro,modified_LosChillos,modified_ElCamal
NO2,0.058679747716278194,,0.18754094547404598,-0.3450127663115629,0.051672226357700884,-0.12545550147845633,-0.15222004956140817,0.05292238243085021,-0.009592727383298142
O3,0.08921896260205868,0.0540188978223125,0.27089033316936456,0.043555986338588405,-0.0727478281063457,-0.2001165703013075,0.06114516008149418,0.22452383643005278,0.04742737782069154
PM25,0.4504811058729488,0.3979835698623104,0.18029477785063142,0.040744341034869055,0.11667268369479336,-0.06705150665282739,-0.025635455974274787,-0.079583423495962,0.16235825151163108
PRE,0.07099249177578908,-0.14611111279544756,-0.37359284533062875,-0.004516042196022319,-0.12006591052414584,0.014763618036810668,-0.02448402898661118,-0.24174045184236004,-0.0036742806443921176
RS,0.0011431763887589617,0.02895766416343904,0.4027967630203683,0.21507719427246225,0.17593079067320114,0.0028887569026946037,0.17973923119981855,0.39172036969018276,0.13368955722978648
SO2,0.1473248385400178,0.10130457737039618,,-0.10452097265339788,0.15159483015228986,-0.07138844291397269,-0.3140516362851409,-0.04424150007253115,-0.10833364104197674
TMP,0.22082535057105251,0.06296967030563354,-0.10210422854038581,0.20515113617903577,0.2920055810516058,0.03466012563844331,0.24048535392123613,0.12664596234505396,0.3656247819201494
VEL,0.02572360538491269,-0.13408388780092556,0.27822987544640265,0.5492918885025135,0.1312517598296426,0.023203990849138326,-0.0735903443423471,0.24054087095254423,-0.07163922013574593
CO,0.11634613078565179,,0.1757348197553209,-0.3881468919410515,-0.0849739869753857,-0.0545986354918513,-0.10481291668923166,0.1366341538895312,0.02961910596820435
DIR,-0.2075023192520235,0.5766196682339216,-0.034423630640336655,0.2696085006330337,0.1338711523266865,0.2964149222189813,0.2769608942660043,-0.01866370524748149,0.025943903199875863
HUM,-0.4432852180771257,-0.4465146885990566,-0.5144946232479185,-0.433917174091862,-0.47464476664768757,-0.34553693851601197,-0.6670928829698289,-0.5814610477629559,-0.6074050059263375
LLU,-0.26015602128854376,-0.16736249235551037,-0.02376577789682828,-0.4249838168076621,-0.36941468783569137,-0.21987557371411973,-0.1926166138851305,-0.24974913390261871,-0.3481802885044091
