,modified_Carapungo,modified_SanAntonio,modified_Tumbaco,modified_Guamani,modified_Cotocollao,modified_Belisario,modified_Centro,modified_LosChillos,modified_ElCamal
NO2,0.11580745641715895,,0.054853209079791895,0.0518000424536968,0.03567462607174734,0.21125345617423688,0.19107205243583664,0.2278115021301607,0.2895643584829971
O3,0.17131522012271272,0.09911755609764959,0.4048097980046721,0.3318153282135474,0.025280035705185607,0.2415195663240334,0.20486545839816767,0.23587289915231419,0.29214883433214917
PM25,-0.13299654050838594,0.0417225774144207,0.05053549052735627,0.4043433890003143,0.16362930693835467,0.058573150388902644,0.28337289951382383,0.27732274348515495,0.09915649954326379
PRE,-0.0721591803453022,-0.425685462511914,-0.38234099232766666,-0.38110291881144426,-0.0717137683015672,-0.07147781869401845,0.0581059165471576,-0.19343337559798196,-0.15322326576217082
RS,-0.01572488033892096,0.4689928207489259,0.45020990372511016,0.3360091626349227,0.24383272890527413,-0.026062750815913326,-0.25773691304924345,0.5405206070695826,0.025646616681870203
SO2,-0.011141195575771205,0.39324304350446476,,0.22337715469540284,-0.021939556160448456,0.14963224434007658,0.26357373966605185,0.34812537313931985,-0.1255941257210343
TMP,0.02946180084360956,0.3001591154763827,0.08890258321989039,0.34767931830645005,-0.043560031607970784,-0.16431079496154274,-0.17930371174498852,0.4270584383409577,-0.15019609447986898
VEL,0.09319194641906678,0.3808721272448928,0.3470526046612224,0.16770018361886935,0.27391076277443027,0.09775592353064184,-0.34957774544310566,0.2179993865807083,0.11752512959417256
CO,-0.14375489647094233,,0.03141055678980175,-0.13056814998140429,0.1640183449485989,0.119192458296063,0.37617400774395265,-0.35800365517779575,-0.043752712018534284
DIR,-0.029849931578216436,0.19779929816293168,-0.18082487167038339,-0.16871669559496477,-0.09446018919543542,-0.3301138051843863,0.3511979924199481,0.07095843737613305,0.18836107242064162
HUM,0.19613477666498294,-0.11668812706706416,-0.22104047842448946,-0.15070186061160323,0.20125952807291983,0.20172861703042866,-0.2786100627483407,-0.2562474595549126,0.14900244844927396
LLU,0.13500148248144406,-0.04339231751308162,0.06391746942588615,-0.4658552045458751,0.005257766403313128,0.1045176186817292,0.06709993978787787,0.008435198348441326,0.0706423682364615
