,modified_Carapungo,modified_SanAntonio,modified_Tumbaco,modified_Guamani,modified_Cotocollao,modified_Belisario,modified_Centro,modified_LosChillos,modified_ElCamal,Method,Frequency,AOD_Filter,Max_Belisario,Max_Carapungo,Max_Centro,Max_Cotocollao,Max_ElCamal,Max_Guamani,Max_LosChillos,Max_SanAntonio,Max_Tumbaco
NO2,0.0733566724739766,,0.0614368256721928,0.1829360235495364,0.0352676314634479,0.1192836397582046,0.1311593012622676,0.1429589996650228,0.0558154808328852,mean,weekly,NoZeroAOD,,,,,,,,,
O3,0.1093400300100757,0.0773458215784316,0.277039082501718,0.2187485266257139,0.0512395687517246,0.1234998249331639,0.1612117727970921,0.0957407325335235,0.2939882404351709,mean,weekly,NoZeroAOD,,,,,,,,,
PM25,-0.094530384840449,0.0209160987791164,0.0395364407699899,0.2058515649193387,0.0238380377014074,0.0039197824225011,0.1777597092520113,0.1411850298424031,-0.0361450501025647,mean,weekly,NoZeroAOD,,,,,,,,,
PRE,-0.0195979662264227,-0.1207860872166361,-0.1465616861459754,-0.0839544367253255,0.0028923397461207,0.0115480182010271,-0.1162674929934234,-0.0997328368158662,-0.175965330174601,mean,weekly,NoZeroAOD,,,,,,,,,
RS,0.0023248383081039,0.0178481927256727,0.1272540104668831,0.0627748814808017,0.062900841564559,-0.020907064180111,-0.04892066915115,0.0432528113066312,0.1072448950658539,mean,weekly,NoZeroAOD,,,,,,,,,
SO2,-0.0497809192223278,0.0081187638096787,,0.13510228717546,-0.0698260295837854,0.0161028471745662,0.0722783346950171,0.1598563819828203,-0.0687383599543006,mean,weekly,NoZeroAOD,,,,,,,,,
TMP,0.0066058625512221,0.0931028558821516,0.0525167749694383,-0.0211096084337822,-0.0024393102941035,-0.0448881093349498,-0.0139542184698077,0.015846102410534,-0.0024868630771622,mean,weekly,NoZeroAOD,,,,,,,,,
VEL,0.1196113856115545,0.0556270178488664,0.1116824910415253,-0.0319007847461391,0.1341235127490103,0.0354907307590626,-0.0033261691053769,-0.0266468937330493,0.0609221914656948,mean,weekly,NoZeroAOD,,,,,,,,,
CO,-0.0752097508791014,,-0.0003940269511951,-0.0658679493447225,0.059657200840168,0.0512899496565944,0.0849238123056038,-0.0071686221920496,-0.1151660807284501,mean,weekly,NoZeroAOD,,,,,,,,,
DIR,-0.012295420725329,-0.0577301767686508,-0.0672013015728722,-0.1299630407777774,-0.0575041881119969,-0.1381177709280521,0.0218455935916823,0.043832021263443,0.0677773896279817,mean,weekly,NoZeroAOD,,,,,,,,,
HUM,0.1223026073767391,-0.1231596785043198,-0.0529667094064605,0.0171679042259438,0.1459907985851217,0.1039551153594453,-0.0322332378537405,-0.0560472642628343,0.0554118108699258,mean,weekly,NoZeroAOD,,,,,,,,,
LLU,0.0663669819275722,-0.063688078149601,-0.0054880139209837,-0.1833923718741897,0.0729027957102352,0.0614286707702809,0.0623734972323814,0.0352540598376487,-0.0137177592551187,mean,weekly,NoZeroAOD,,,,,,,,,
NO2,0.0586797477162781,,0.1875409454740459,-0.3450127663115629,0.0516722263577008,-0.1254555014784563,-0.1522200495614081,0.0529223824308502,-0.0095927273832981,mean,seasonal,AllAOD,,,,,,,,,
O3,0.0892189626020586,0.0540188978223125,0.2708903331693645,0.0435559863385884,-0.0727478281063457,-0.2001165703013075,0.0611451600814941,0.2245238364300527,0.0474273778206915,mean,seasonal,AllAOD,,,,,,,,,
PM25,0.4504811058729488,0.3979835698623104,0.1802947778506314,0.040744341034869,0.1166726836947933,-0.0670515066528273,-0.0256354559742747,-0.079583423495962,0.162358251511631,mean,seasonal,AllAOD,,,,,,,,,
PRE,0.070992491775789,-0.1461111127954475,-0.3735928453306287,-0.0045160421960223,-0.1200659105241458,0.0147636180368106,-0.0244840289866111,-0.24174045184236,-0.0036742806443921,mean,seasonal,AllAOD,,,,,,,,,
RS,0.0011431763887589,0.028957664163439,0.4027967630203683,0.2150771942724622,0.1759307906732011,0.0028887569026946,0.1797392311998185,0.3917203696901827,0.1336895572297864,mean,seasonal,AllAOD,,,,,,,,,
SO2,0.1473248385400178,0.1013045773703961,,-0.1045209726533978,0.1515948301522898,-0.0713884429139726,-0.3140516362851409,-0.0442415000725311,-0.1083336410419767,mean,seasonal,AllAOD,,,,,,,,,
TMP,0.2208253505710525,0.0629696703056335,-0.1021042285403858,0.2051511361790357,0.2920055810516058,0.0346601256384433,0.2404853539212361,0.1266459623450539,0.3656247819201494,mean,seasonal,AllAOD,,,,,,,,,
VEL,0.0257236053849126,-0.1340838878009255,0.2782298754464026,0.5492918885025135,0.1312517598296426,0.0232039908491383,-0.0735903443423471,0.2405408709525442,-0.0716392201357459,mean,seasonal,AllAOD,,,,,,,,,
CO,0.1163461307856517,,0.1757348197553209,-0.3881468919410515,-0.0849739869753857,-0.0545986354918513,-0.1048129166892316,0.1366341538895312,0.0296191059682043,mean,seasonal,AllAOD,,,,,,,,,
DIR,-0.2075023192520235,0.5766196682339216,-0.0344236306403366,0.2696085006330337,0.1338711523266865,0.2964149222189813,0.2769608942660043,-0.0186637052474814,0.0259439031998758,mean,seasonal,AllAOD,,,,,,,,,
HUM,-0.4432852180771257,-0.4465146885990566,-0.5144946232479185,-0.433917174091862,-0.4746447666476875,-0.3455369385160119,-0.6670928829698289,-0.5814610477629559,-0.6074050059263375,mean,seasonal,AllAOD,,,,,,,,,
LLU,-0.2601560212885437,-0.1673624923555103,-0.0237657778968282,-0.4249838168076621,-0.3694146878356913,-0.2198755737141197,-0.1926166138851305,-0.2497491339026187,-0.3481802885044091,mean,seasonal,AllAOD,,,,,,,,,
NO2,0.1158074564171589,,0.0548532090797918,0.0518000424536968,0.0356746260717473,0.2112534561742368,0.1910720524358366,0.2278115021301607,0.2895643584829971,mean,seasonal,NoZeroAOD,,,,,,,,,
O3,0.1713152201227127,0.0991175560976495,0.4048097980046721,0.3318153282135474,0.0252800357051856,0.2415195663240334,0.2048654583981676,0.2358728991523141,0.2921488343321491,mean,seasonal,NoZeroAOD,,,,,,,,,
