Unnamed: 0,Max_Belisario,Max_Carapungo,Max_Centro,Max_Cotocollao,Max_ElCamal,Max_Guamani,Max_LosChillos,Max_SanAntonio,Max_Tumbaco,Category,Period,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
NO2,-0.3255849625888085,-0.0906218937159669,0.9802541883143616,0.3005626880823853,0.82253366154425,0.7025196238831721,0.3782510232108155,,0.092719867694035,Max,Annual,,,,,,,,,
O3,-0.0843101322827711,0.072888749282114,0.5341136096492657,0.1982024737778247,0.7516982591411931,0.5685089488418505,0.7205460395483749,-0.6413768719844573,-0.8278552512607915,Max,Annual,,,,,,,,,
PM25,-0.1848885363548479,0.2227484796967655,0.7308884018376854,0.0397333191072328,0.7351111114489666,0.5043850058073427,-0.6186424922981718,-0.878814556622444,0.0260751573194576,Max,Annual,,,,,,,,,
PRE,-0.390614394166758,0.1685442224027791,0.7602066762302309,0.2100544053330425,-0.082478877712387,-0.5254092991094411,-0.3924420805988972,0.996969633601406,0.6821968691666839,Max,Annual,,,,,,,,,
RS,-0.2421643414172934,0.0511161623659443,0.7066830668445608,-0.0086017660524881,0.3724138792594645,-0.5650955340741961,-0.3470338965218219,-0.9852395845476064,0.1013246807520948,Max,Annual,,,,,,,,,
SO2,0.3473152710644353,-0.0637216097041815,0.5024559605428134,0.0742213742832709,-0.1501830339754416,-0.4381366332419654,0.6105130023194196,,,Max,Annual,,,,,,,,,
TMP,0.4931097956107381,0.3033306408710068,0.7709592883004598,0.4801891582738548,0.3613228042045211,0.7350437790328913,0.3955642303118981,0.4688701326040696,-0.9867212156375216,Max,Annual,,,,,,,,,
VEL,-0.7335002339269561,0.0403282960580617,0.6814748417974726,0.5145399221808122,0.7414026958345831,0.352523333413564,-0.1153349726902291,0.9979054398688116,0.4619497956290021,Max,Annual,,,,,,,,,
CO,-0.580317912841299,0.6467713144389817,0.946948443712436,0.4555780083178804,0.3657585254580744,0.3506680252880211,-0.1812650563209726,,-0.9086547034015472,Max,Annual,,,,,,,,,
DIR,0.3471858333363791,-0.0134841055995835,0.9659633991212884,-0.2211216770203676,0.6938765215080213,0.3647179599395734,-0.7057222831336608,0.9655940504585576,0.0019439366276539,Max,Annual,,,,,,,,,
HUM,-0.2653563541752328,-0.1973460500788349,0.9961238137356012,0.3969206303992088,0.3994541296579921,0.3319896107862908,0.549079260198905,,-0.260755725171719,Max,Annual,,,,,,,,,
LLU,0.2951032372220458,-0.0566258960096029,0.973164324435532,-0.132545059594209,0.2948926703619011,-0.1933188806371924,0.1594369473743224,-0.4064654086597418,-0.7572001229797902,Max,Annual,,,,,,,,,
NO2,-0.1860425466623774,0.0601040917848091,-0.1246448960129308,0.152342717877342,0.1989234019146389,-0.1864644792040637,0.1781394201530802,,0.117642038475657,Max,Monthly,,,,,,,,,
O3,-0.082127622080106,0.0386139352364486,-0.0717546208832356,0.0076422345135875,0.002074478093984,-0.2105146166093804,0.1657413540073619,-0.3774377855494823,-0.0180983597904669,Max,Monthly,,,,,,,,,
PM25,0.0265836043263162,-0.0220435151745534,0.1454048706850088,0.061657842845989,0.198750809215698,-0.2565373202382868,-0.0129333919132067,0.2418638901550815,-0.0716405080705132,Max,Monthly,,,,,,,,,
PRE,-0.0217967806183802,-0.0060871914173438,0.2595458648932055,-0.0017489918386807,0.1519798171112935,0.3056122834879073,0.2187488014603061,0.3777525571344406,0.2902471147041884,Max,Monthly,,,,,,,,,
RS,-0.0554623568037851,-0.0735713678708156,-0.1073047708679422,0.0285261305216714,-0.006514247330952,-0.1368293829124203,0.0388315291316105,-0.0759633614158499,-0.2324077770002769,Max,Monthly,,,,,,,,,
SO2,0.17246946037039,0.0696610346961318,-0.0324983707531379,0.0895661589185861,-0.1463028567680037,0.0687872052396454,0.0319085053033362,,,Max,Monthly,,,,,,,,,
TMP,0.1453943330928407,0.1882533219494474,-0.0009521922958227,0.2470332711107927,0.2060835602636335,-0.0649844984074035,0.120281810483678,-0.1931207653779332,-0.1583854596916671,Max,Monthly,,,,,,,,,
VEL,-0.0833408448883809,-0.0912020968671403,0.2978571671763855,0.2286464397931658,0.0747856931904596,0.2312940184170852,0.1735634312217042,-0.0383934724075629,-0.139200518752185,Max,Monthly,,,,,,,,,
CO,-0.1442839816197212,0.2305454166978962,0.3473804722212133,-0.0144280305638793,0.1504887146678221,0.0488916043810743,0.0713797326910915,,0.367925555864261,Max,Monthly,,,,,,,,,
DIR,0.1007070478647546,-0.0206584031121243,0.3109808448517882,0.0505550903700783,-0.0677704781313876,0.0783675693509653,0.319507193092676,-0.2105396160596369,0.5512668667046261,Max,Monthly,,,,,,,,,
HUM,-0.0411542745656869,-0.0970073429632888,0.5580746603298786,-0.1604936998691875,0.0581998033927391,0.0386735051402257,0.2178163511725082,0.485214369567868,0.5463753258946306,Max,Monthly,,,,,,,,,
LLU,-0.0302836770116213,-0.2031682623126074,0.2107421490331298,-0.3117762366704568,-0.0767218076927139,0.0786125077061188,0.2638830426843009,0.0683296838065329,0.5978540204522018,Max,Monthly,,,,,,,,,
NO2,-0.0343545257144957,0.1613075719784232,0.1341995508096077,0.0635713291587104,0.1437697203807148,-0.0417673545707355,0.4591758784900326,,0.7236975617968373,Max,Seasonal,,,,,,,,,
O3,0.1903069630227508,0.1157577205788674,0.1092171234238407,-0.1246876140579306,0.1372715052735773,0.1414995886965667,0.3058409855594645,-0.4594188242117081,0.7237768920535284,Max,Seasonal,,,,,,,,,
PM25,0.2546607911014138,0.0956785688865265,-0.1620679234025473,0.1404057330672921,0.2627174070627166,-0.0403915089562254,0.3367587089192946,-0.2729145450995654,-0.0676638777390761,Max,Seasonal,,,,,,,,,
PRE,0.176844529501567,0.0625775472603032,-0.2710964524546964,0.056382653658683,0.3598982336715547,0.2641525799087626,0.4357976098873847,0.0213578999163131,0.2136620217476805,Max,Seasonal,,,,,,,,,
RS,0.0996060835270723,-0.1231837834608323,0.2248311110178925,-0.0806059789289199,-0.2311909016233293,0.2711686066299375,0.2890314087614735,0.0085691134671905,0.2207848301262715,Max,Seasonal,,,,,,,,,
