,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
CO,0.9990061337841256,-0.9964023468679879,0.823057938607458,1.0,0.8955979058899426,-0.9993609590294563,0.0438662701098747,,0.9510796061958686
DIR,-0.6052432799831177,0.39684565538323985,-0.4605488095966125,1.0,-0.8988217676611575,0.7513404215515073,0.9416321990235599,-0.9839202310561389,0.7968159601820552
HUM,0.9662999881157988,0.8675022744878459,-0.6236940324043686,1.0,0.48645307266095955,-0.9051644094581405,0.04405800520720409,0.3552441570393581,0.49448823611263604
LLU,0.9272219494723943,0.9795777566444759,0.476230925754697,-1.0,-0.948799435131373,-0.6369223605480184,0.28458948763674624,-0.7522138083820136,0.5764760883823972
NO2,0.9646519673380867,0.9777792617135702,0.31254899298983535,1.0,0.8077321611268341,-0.975903032513229,0.13389533648194019,,0.9592473135634773
O3,-0.9557309767374674,0.0301260650533299,-0.8906099879750856,1.0,-0.598996673423962,0.7355764503299764,0.7509441604970287,0.1896596854548964,-0.2302907524697109
PM25,0.8213616082809201,0.038284665025087934,0.9504245328581241,-0.9999999999999999,0.6247497718300372,0.4957772126877138,0.25775829447839793,0.8725760376593353,0.48323570536980304
PRE,-0.9191189234784652,-0.8778982921305323,-0.6553135713381961,-0.9999999999998247,-0.9506411991799639,0.023962300231495506,-0.4295502437237147,-0.579801521761894,-0.5520637737289975
RS,-0.5744947584117486,-0.9477504768900771,-0.037221556042576216,0.9999999999999998,-0.518572707243843,0.9368987418184955,-0.2747545276398806,-0.3668126504717725,-0.06522766927101348
SO2,-0.8857342105804648,0.23828693384753272,0.45849237464106773,1.0000000000000004,0.4965818922447821,0.9532220302312127,-0.6062203956757911,,0.2784730021775064
TMP,-0.295580859223416,-0.7571958421614617,0.6664942132450398,-0.9999999999999986,0.3803849991644606,0.9962147624993535,0.43424956929927183,-0.3148973737052162,-0.838346964656504
VEL,0.38305341868026005,-0.665284754400682,0.2898851054107119,-0.9999999999999954,-0.18985394857804996,0.9940616200026929,0.8246473165644044,-0.17341684088307452,-0.20647574485244838
