,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
CO,0.33395187032668744,-0.07630183824073763,0.31116248120518153,0.15220393349004185,0.1741385273217713,0.3381959722602162,0.05742915622837348,,-0.016615926605631926
DIR,-0.2995587389982209,0.26999798344603054,-0.3477313002888543,-0.09340553645365912,-0.22236808098299618,-0.13567890418836326,0.29530520360265466,-0.26435674206672505,-0.04763181714621924
HUM,0.525356147818793,0.4826870564414203,0.5192530323704901,0.559549734853178,0.480083463660144,0.5289719038537264,0.5142288531480808,0.4040390138650156,0.4834435643546982
LLU,0.24709901117874125,0.20876037733097352,0.1309746910696693,0.195951508357473,0.1426699625885583,0.2646881736767828,0.19395550618464338,0.09118037238998533,0.1897952114572415
NO2,0.17080416001234053,-0.1179125177887689,0.21154971454295105,0.29583636778655215,0.13455970229242964,0.42846342412416255,0.0793189201846921,,-0.03761014223209456
O3,-0.29397042073098933,0.030885368249551015,-0.252306243871388,-0.20706343695500395,-0.24803030662841843,-0.18806886384508464,-0.15831578744667735,-0.11277011531167556,-0.014269864155470987
PM25,0.24127078328214066,-0.14410862324682866,0.20823363136921497,0.04418615495467788,0.11379680690908854,0.14793931431349175,0.00950876695300206,-0.25923737148877735,-0.09965089501880621
PRE,0.01248078201632887,0.0601366170962036,0.033283595567702655,0.05679890284203986,0.004444639797090704,0.05894530067803124,0.050486292901307975,0.0485394512832647,0.09718557405945843
RS,-0.4829126318589303,-0.32394824021119506,-0.45721609732918683,-0.3215287454818096,-0.4431112609419804,-0.5193396717021737,-0.43256543883687565,-0.2656806507165602,-0.5068873092122621
SO2,-0.061395600884934634,-0.06245549973697167,0.05312084335418261,0.04932370802882497,-0.09101349545558393,-0.0007498681990270499,0.07575637596100035,,-0.17242986642893338
TMP,-0.3081328733189189,-0.30520249241846054,-0.2977962488030802,-0.3324655039487744,-0.27284553884356755,-0.2873980940001438,-0.20790507225555074,-0.20938249683864524,-0.24029413906264502
VEL,-0.39341325381157655,-0.08785528036227903,-0.3846772691422455,-0.286394913771796,-0.2529708701248163,-0.4485590675990464,-0.2824468393907032,0.17682873798412238,-0.21177312734307394
