,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
CO,0.37426906260945125,-0.33531295138943684,-0.2485137073986646,0.8401669140253175,0.16388674025383923,0.11580289490898263,0.12039617163378236,,-0.314817825886749
DIR,-0.5895780196359438,0.5485866008702756,-0.8100618095408301,0.30610798444825105,-0.10422012389385779,-0.506979195398724,0.5369996350815532,-0.2900084428694748,-0.39807504132402655
HUM,0.6419243296232003,0.8030080699092569,-0.06435421307738301,0.9631631338142228,0.41813432477962176,0.49227355039092213,0.17885922392346548,0.6027494112992717,0.7717959649782585
LLU,0.47369648276474796,0.8640136292232138,0.2444109373585222,0.9540527747919749,0.16470573747777284,0.12972275635680816,0.40963264076126427,-0.20209823622781564,0.6185808926807831
NO2,0.17784425523879538,-0.07118931389175358,0.15072947414483376,0.32978836374560916,0.25829364888690626,0.5640050516114213,0.44161483877265634,,0.04271569978828803
O3,-0.43299724846200316,0.027859468821077323,-0.26401105765492144,0.06864124352438039,-0.07575311171088671,0.2956799686162078,0.5811790265729229,-0.4425353674363581,0.1619398195101374
PM25,0.22014516144330332,-0.34430571022597173,0.5260344233790523,0.546662417882466,0.36465920798055473,0.2548996523432859,0.4659859898648503,-0.5607371598384681,-0.5643430462964925
PRE,-0.585500649878261,-0.5322219084949826,-0.41623102340149415,-0.7034775637225105,-0.8095010930097463,-0.6461610648126219,-0.4877832663138786,-0.4108086869251123,-0.27117618584560355
RS,-0.3755555931679965,-0.25663196559029966,0.009132740569876598,0.5596829030924562,0.2496500117483475,0.404713505391589,0.35212448106111305,0.12835426194983723,-0.4713668832494384
SO2,-0.38889800033340055,-0.04960335468525501,-0.04451271293689381,0.5583915362382462,0.0668253092479714,0.5147546916411716,0.25803340080307635,,-0.38674850503440983
TMP,-0.13632114095316272,-0.2745397552257164,-0.08212330930355838,-0.6862824616781932,-0.2676200299342285,0.05670807738772428,-0.0038626369989053035,0.1352570185111983,-0.4805657616596843
VEL,-0.317076657907743,0.11191461006706808,0.5659676343407939,-0.9623527701384325,0.5120205145337806,-0.6384268503320918,0.3879695674250334,0.5081722124558102,-0.5177521850797807
