,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
CO,0.15415426557653178,-0.07421123557710074,-0.023167799911918304,0.4666841641193989,-0.08530336298052558,0.14636698572312867,-0.1349300253056382,,-0.12575898292709925
DIR,-0.1679694076923812,0.35023274071206323,-0.2052219796715689,0.11784363041374459,-0.13877634017877782,-0.22074737430053568,0.09283492133723678,-0.14965141220441944,0.08253030074867936
HUM,0.2885547378422367,0.5443553877280973,0.24164327697266785,0.7773740773589503,0.3161293805711012,0.4538595511714941,0.31597549551477777,0.440232739134959,0.5524372359138903
LLU,-0.017311461938876973,0.4755683029805874,0.2278682905193597,0.6167251948374203,-0.1208695022048281,0.21346352190022286,0.3296524374485427,0.08904234270973499,0.11554676760156009
NO2,0.13845887954876068,-0.05553052711552004,0.057776973713183744,0.2144947274759582,0.001980242950682583,0.32393828549426423,0.13887504943581852,,-0.007009783675273675
O3,0.06060647403579331,0.20175494474590117,-0.13427599085639294,0.34563144977315513,0.047390501961383155,0.19938375717394763,0.3682343273096568,-0.11917373850978032,0.24169327663978035
PM25,0.18247912360589924,-0.14047971441290283,0.20966452112508607,0.040217273374350195,0.2754193834891805,0.2525229820470429,0.06970446289553693,-0.41051396396703244,-0.29194616537268253
PRE,-0.2620729074478881,-0.4177131389921122,-0.4030398245159954,-0.3702794154247732,-0.4341863588524103,-0.31880007858811515,-0.21943875479823657,-0.20261243719299787,-0.0796044952984203
RS,-0.06373110489491589,0.008600572978904004,-0.02623382919977863,0.5766346217358077,-0.17415144238796051,-0.10797435238552917,0.10404805751169803,0.23504429182572306,-0.4589391695297055
SO2,-0.2366286939983506,-0.08560033741389392,0.041709710927983625,0.31348160679556397,-0.2082060398058245,0.20200499382824036,-0.07456126690555677,,-0.42704842328739145
TMP,-0.09932519664915866,-0.09258871894137267,-0.07399245116359729,-0.39851384180802324,-0.22600422714649052,-0.028137701452370562,-0.09356431498407744,0.11246927565660957,-0.08482018896787695
VEL,-0.18405474458173562,0.19510944961202004,0.1664890465667294,-0.4294799742662591,0.2556649713712636,-0.5208374845946728,0.009780256729892219,0.36091450635331257,-0.28748345486322585
