,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
CO,0.16644936354010778,-0.1224040645327104,0.2598218736974589,0.02285452783510371,0.12669750534316626,0.279319204275885,0.033467206162318575,,0.023061575049621766
DIR,-0.25093524784527504,0.33771901762675044,-0.26780909377255324,-0.3430502387572724,-0.17318693020145745,-0.14779859498951062,0.1469851432373016,-0.19940817283867782,0.03887393792813826
HUM,0.4021230944890601,0.4566878439026383,0.31236431920585717,0.5361638746971196,0.4564238472528349,0.4900513634598109,0.27626980521305533,0.3117121769178598,0.45859307569618407
LLU,0.1796326519939387,0.1754421760539631,0.20241034433518776,0.3394661777661021,0.29689964820501735,0.31904403373341167,0.10510037193328761,0.04612093030750228,0.18429304658300139
NO2,0.15114370427982474,-0.10356717977613031,0.21739656006970393,0.20384694983827076,0.1280480118941659,0.3986386470671847,0.14151270918478925,,-0.0573155921688993
O3,-0.048552157810401404,0.05438665842832926,-0.21826587264077887,0.15072074098637744,-0.15873335709945294,-0.06411136449870615,0.05001473171043313,-0.08707499902447094,0.028502352156426866
PM25,0.22345715201829933,-0.27214257820100873,0.18999548019205267,-0.10821093654740162,0.0844956991401022,0.2658085156568207,0.08142261370378212,-0.21366210906682884,-0.189007830946169
PRE,-0.05938684854924757,-0.08332216531099886,-0.16460141435247364,-0.027700703639805736,-0.12081558181691265,-0.07397415357535053,-0.05041822129610867,-0.09357477175339236,0.011758564428694059
RS,-0.15447036007254236,-0.26441466831409804,-0.4502674343895923,0.183757112985036,-0.395387763275212,-0.4372990473265848,-0.25482215353749665,0.006677680719208712,-0.2919634540623006
SO2,-0.19503539380743753,-0.15176678960537424,0.14199578781255776,-0.0383084440906066,-0.0673710555007461,0.21644826916166524,0.008841438255327082,,-0.3803302320862583
TMP,-0.14824814670753317,-0.18560313275521084,-0.22119226564777006,-0.43125256629867387,-0.28924580833941166,-0.28572310309425825,-0.07377622895048112,-0.03084230961455769,-0.11012130620610494
VEL,-0.16375696115787503,0.09992773099553935,-0.09827935911174605,0.1687859317891538,-0.07014792943901625,-0.454819733827751,-0.24767259363753588,0.30542955970791325,-0.15308205137229067
